review_id_prefix,episode_key,task_success,source_episode_abspath_audit_only,artifact_recursive_sha256
review_000,libero_10|5|2|0|CLEAN,False,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_10_t05_s02,
review_001,libero_10|5|4|0|CLEAN,True,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_10_t05_s04,
review_002,libero_10|0|5|0|CLEAN,False,/data/liuyu/outputs/cross_suite_clean_300_20260619_waveb_worker15_6379397/B/waveB_libero_10_t00_s05,
review_003,libero_10|1|8|0|CLEAN,True,/data/liuyu/outputs/cross_suite_clean_300_20260619_waveb_worker15_6379397/B/waveB_libero_10_t01_s08,
review_004,libero_goal|6|4|0|CLEAN,False,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_goal_t06_s04,
review_005,libero_goal|1|2|0|CLEAN,True,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_goal_t01_s02,
review_006,libero_goal|5|3|0|CLEAN,False,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_goal_t05_s03,
review_007,libero_goal|7|2|0|CLEAN,True,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_goal_t07_s02,
review_008,libero_goal|3|9|0|CLEAN,False,/data/liuyu/outputs/cross_suite_clean_300_20260619_waveb_worker15_6379397/B/waveB_libero_goal_t03_s09,
review_009,libero_goal|3|2|0|CLEAN,True,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_goal_t03_s02,
review_010,libero_spatial|7|9|0|CLEAN,False,/data/liuyu/outputs/cross_suite_clean_300_20260619_spatial_tail_parallel_6379397_20260619/B/waveB_libero_spatial_t07_s09,
review_011,libero_spatial|8|7|0|CLEAN,True,/data/liuyu/outputs/cross_suite_clean_300_20260619_spatial_tail_parallel_6379397_20260619/B/waveB_libero_spatial_t08_s07,
review_012,libero_10|5|5|0|CLEAN,False,/data/liuyu/outputs/cross_suite_clean_300_20260619_waveb_worker15_6379397/B/waveB_libero_10_t05_s05,
review_013,libero_10|5|6|0|CLEAN,True,/data/liuyu/outputs/cross_suite_clean_300_20260619_waveb_worker15_6379397/B/waveB_libero_10_t05_s06,
review_014,libero_10|4|3|0|CLEAN,False,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_10_t04_s03,
review_015,libero_10|0|9|0|CLEAN,True,/data/liuyu/outputs/cross_suite_clean_300_20260619_waveb_worker15_6379397/B/waveB_libero_10_t00_s09,
review_016,libero_goal|2|8|0|CLEAN,False,/data/liuyu/outputs/cross_suite_clean_300_20260619_waveb_worker15_6379397/B/waveB_libero_goal_t02_s08,
review_017,libero_goal|1|8|0|CLEAN,True,/data/liuyu/outputs/cross_suite_clean_300_20260619_waveb_worker15_6379397/B/waveB_libero_goal_t01_s08,
review_018,libero_goal|0|3|0|CLEAN,False,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_goal_t00_s03,
review_019,libero_goal|7|9|0|CLEAN,True,/data/liuyu/outputs/cross_suite_clean_300_20260619_waveb_worker15_6379397/B/waveB_libero_goal_t07_s09,
review_020,libero_goal|3|4|0|CLEAN,False,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_goal_t03_s04,
review_021,libero_goal|3|8|0|CLEAN,True,/data/liuyu/outputs/cross_suite_clean_300_20260619_waveb_worker15_6379397/B/waveB_libero_goal_t03_s08,
review_022,libero_spatial|3|7|0|CLEAN,False,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/B/waveB_libero_spatial_t03_s07,
review_023,libero_spatial|3|1|0|CLEAN,True,/data/liuyu/outputs/cross_suite_clean_300_20260619_r1_6379397/A/waveA_libero_spatial_t03_s01,
