split,episode_key,mechanism_type,teacher_status,object_binding_status,target_binding_status,abstain_reason,binding_decision_reason
dev,libero_10|5|8|0|CLEAN,single_object_pick_place,TARGET_BINDING_AMBIGUOUS,BOUND_STRUCTURED_FALLBACK,FAILED,required object or target binding failed,
dev,libero_10|5|0|0|CLEAN,single_object_pick_place,TARGET_BINDING_AMBIGUOUS,BOUND_STRUCTURED_FALLBACK,FAILED,required object or target binding failed,
dev,libero_10|9|6|0|CLEAN,mixed_articulated_pick_place,RESOLVER_NOT_IMPLEMENTED_FOR_MECHANISM,NOT_APPLICABLE,AMBIGUOUS,supplementary_event_segmentation_not_reliably_resolved,
dev,libero_10|1|5|0|CLEAN,multi_object_transfer,RESOLVER_NOT_IMPLEMENTED_FOR_MECHANISM,NOT_APPLICABLE,AMBIGUOUS,supplementary_event_segmentation_not_reliably_resolved,
diagnostic,libero_10|5|2|0|CLEAN,single_object_pick_place,TARGET_BINDING_AMBIGUOUS,BOUND_STRUCTURED_FALLBACK,FAILED,required object or target binding failed,
diagnostic,libero_10|5|4|0|CLEAN,single_object_pick_place,TARGET_BINDING_AMBIGUOUS,BOUND_STRUCTURED_FALLBACK,FAILED,required object or target binding failed,
diagnostic,libero_10|0|5|0|CLEAN,multi_object_transfer,RESOLVER_NOT_IMPLEMENTED_FOR_MECHANISM,NOT_APPLICABLE,AMBIGUOUS,supplementary_event_segmentation_not_reliably_resolved,
diagnostic,libero_10|1|8|0|CLEAN,multi_object_transfer,RESOLVER_NOT_IMPLEMENTED_FOR_MECHANISM,NOT_APPLICABLE,AMBIGUOUS,supplementary_event_segmentation_not_reliably_resolved,
diagnostic,libero_goal|3|9|0|CLEAN,mixed_articulated_pick_place,RESOLVER_NOT_IMPLEMENTED_FOR_MECHANISM,NOT_APPLICABLE,FAILED,supplementary_event_segmentation_not_reliably_resolved,
diagnostic,libero_goal|3|2|0|CLEAN,mixed_articulated_pick_place,RESOLVER_NOT_IMPLEMENTED_FOR_MECHANISM,NOT_APPLICABLE,FAILED,supplementary_event_segmentation_not_reliably_resolved,
diagnostic,libero_10|5|5|0|CLEAN,single_object_pick_place,TARGET_BINDING_AMBIGUOUS,BOUND_STRUCTURED_FALLBACK,FAILED,required object or target binding failed,
diagnostic,libero_10|5|6|0|CLEAN,single_object_pick_place,TARGET_BINDING_AMBIGUOUS,BOUND_STRUCTURED_FALLBACK,FAILED,required object or target binding failed,
diagnostic,libero_10|4|3|0|CLEAN,multi_object_transfer,RESOLVER_NOT_IMPLEMENTED_FOR_MECHANISM,NOT_APPLICABLE,FAILED,supplementary_event_segmentation_not_reliably_resolved,
diagnostic,libero_10|0|9|0|CLEAN,multi_object_transfer,RESOLVER_NOT_IMPLEMENTED_FOR_MECHANISM,NOT_APPLICABLE,AMBIGUOUS,supplementary_event_segmentation_not_reliably_resolved,
diagnostic,libero_goal|3|4|0|CLEAN,mixed_articulated_pick_place,RESOLVER_NOT_IMPLEMENTED_FOR_MECHANISM,NOT_APPLICABLE,FAILED,supplementary_event_segmentation_not_reliably_resolved,
diagnostic,libero_goal|3|8|0|CLEAN,mixed_articulated_pick_place,RESOLVER_NOT_IMPLEMENTED_FOR_MECHANISM,NOT_APPLICABLE,FAILED,supplementary_event_segmentation_not_reliably_resolved,
