parent,task,sid,ws,we,cmd_label,pV,pR,risk_rand,tier,oracle_exists,visrand_status
k5_rand_cmd_drift_tomato_sauce_s2_w150_160_env2,tomato_sauce,2,150,160,stable_cmd_specific,1.0,0.0,0.6,A,N,untested
k5_rand_phys_flip_tomato_sauce_s2_w90_100_env2,tomato_sauce,2,90,100,stable_cmd_specific,1.0,0.0,0.0,A,N,untested
k5b_contrast_tomato_far_tomato_sauce_s0_w55_65_env0,tomato_sauce,0,55,65,stable_cmd_specific,1.0,0.0,0.0,A,N,untested
k5b_contrast_tomato_late_tomato_sauce_s2_w155_165_env2,tomato_sauce,2,155,165,stable_cmd_specific,1.0,0.0,0.2,A,N,untested
k5b_strict_phys_cream_cream_cheese_s2_w50_60_env2,cream_cheese,2,50,60,stable_cmd_specific,1.0,0.0,1.0,A,N,untested
k5c_cmd_butter,butter,0,80,90,stable_cmd_specific,1.0,0.0,0.0,A,N,untested
k5c_cmd_tomato_early,tomato_sauce,0,50,60,stable_cmd_specific,1.0,0.0,0.0,A,N,untested
k5b_contrast_tomato_early_tomato_sauce_s2_w95_105_env2,tomato_sauce,2,95,105,stable_cmd_specific,0.8,0.0,0.8,A,N,untested
k5b_neg_cream_cream_cheese_s0_w85_95_env0,cream_cheese,0,85,95,stable_cmd_specific,0.8,0.0,0.4,A,N,untested
k5c_cmd_salad_neg,salad_dressing,0,55,65,stable_cmd_specific,0.8,0.0,0.0,A,N,untested
k5b_rand_salad2_salad_dressing_s1_w50_60_env1,salad_dressing,1,50,60,stable_cmd_specific,0.6,0.0,1.0,A,N,untested
k5_clean_negative_expansion_alphabet_soup_s1_w65_75_env1,alphabet_soup,1,65,75,stable_negative,0.0,0.0,0.0,B,N,untested
k5_hn_surprise_bbq_sauce_s2_w100_110_env2,bbq_sauce,2,100,110,stable_negative,0.0,0.0,0.0,B,N,untested
k5_neg_drift_salad_dressing_s2_w120_130_env2,salad_dressing,2,120,130,stable_negative,0.0,0.0,0.0,B,N,untested
k5b_neg_bbq_bbq_sauce_s0_w60_70_env0,bbq_sauce,0,60,70,stable_negative,0.0,0.0,0.8,B,N,untested
k5b_strict_phys_cream2_cream_cheese_s1_w145_155_env1,cream_cheese,1,145,155,stable_negative,0.0,0.0,0.2,B,N,untested
k5b_strict_phys_tomato_tomato_sauce_s2_w165_175_env2,tomato_sauce,2,165,175,stable_rand_sensitive,1.0,0.6,1.0,C,Y,untested
k5c_rand_butter1,butter,0,90,100,stable_rand_sensitive,1.0,0.6,0.8,C,Y,untested
k5_strict_phys_master_tomato_sauce_s2_w115_125_env2,tomato_sauce,2,115,125,stable_rand_sensitive,0.8,0.8,0.8,C,N,untested
k5c_rand_butter2,butter,0,95,105,stable_rand_sensitive,0.8,1.0,1.0,C,N,untested
k5c_phys_salad,salad_dressing,0,75,85,stable_rand_sensitive,0.6,0.2,0.6,C,N,untested
k5c_phys_tomato,tomato_sauce,0,85,95,stable_rand_sensitive,0.6,0.4,0.6,C,N,untested
k5b_neg_alpha_alphabet_soup_s1_w50_60_env1,alphabet_soup,1,50,60,unstable_or_unknown,0.4,0.0,0.4,C,N,untested
k5b_rand_salad_salad_dressing_s2_w80_90_env2,salad_dressing,2,80,90,unstable_or_unknown,0.4,0.0,0.8,C,N,untested
k5c_cmd_cream,cream_cheese,0,85,95,stable_rand_sensitive,0.4,0.0,1.0,C,N,untested
k5c_phys_butter,butter,0,135,145,stable_rand_sensitive,0.4,0.2,0.6,C,N,untested
k5b_rand_alpha_alphabet_soup_s0_w60_70_env0,alphabet_soup,0,60,70,stable_rand_sensitive,0.2,0.4,1.0,C,N,untested
k5c_cmd_alpha,alphabet_soup,0,65,75,stable_rand_sensitive,0.2,1.0,1.0,C,N,untested
k5c_rand_alpha,alphabet_soup,0,55,65,unstable_or_unknown,0.2,0.0,0.2,C,N,untested
k5c_rand_cream,cream_cheese,0,65,75,stable_rand_sensitive,0.2,0.2,0.4,C,Y,untested
k5b_strict_phys_salad_salad_dressing_s2_w70_80_env2,salad_dressing,2,70,80,stable_rand_sensitive,0.0,1.0,1.0,C,N,untested
k5c_phys_bbq,bbq_sauce,0,70,80,stable_rand_sensitive,0.0,0.0,0.4,C,N,untested
k5c_rand_oj,orange_juice,0,50,60,stable_rand_sensitive,0.0,0.6,1.0,C,N,untested
