group,window,attack_seed,condition,decoded_open_count,expected_window_size,actual_window_steps,open_rate,label,infra_status,provenance
B,bbq_sauce_s2_w100_110,10,VIS,8,10,11,0.8,cmd_hit,ok,original
B,bbq_sauce_s2_w100_110,10,RAND,0,10,11,0.0,cmd_hit,ok,original
B,bbq_sauce_s2_w100_110,9,VIS,8,10,11,0.8,cmd_hit,ok,original
B,bbq_sauce_s2_w100_110,9,RAND,0,10,11,0.0,cmd_hit,ok,original
B,butter_s0_w90_100,10,VIS,10,10,11,1.0,cmd_rand,ok,original
B,butter_s0_w90_100,10,RAND,11,10,11,1.1,cmd_rand,ok,original
B,butter_s0_w90_100,9,VIS,8,10,11,0.8,cmd_rand,ok,original
B,butter_s0_w90_100,9,RAND,10,10,11,1.0,cmd_rand,ok,original
H,cream_cheese_s0_w65_75,10,VIS,4,10,11,0.4,rand_only,ok,original
H,cream_cheese_s0_w65_75,10,RAND,11,10,11,1.1,rand_only,ok,original
H,cream_cheese_s0_w65_75,9,VIS,4,10,11,0.4,rand_only,ok,original
H,cream_cheese_s0_w65_75,9,RAND,11,10,11,1.1,rand_only,ok,original
B,cream_cheese_s0_w85_95,10,VIS,3,10,11,0.3,no_effect,ok,original
B,cream_cheese_s0_w85_95,10,RAND,0,10,11,0.0,no_effect,ok,original
B,cream_cheese_s0_w85_95,9,VIS,0,10,11,0.0,no_effect,ok,original
B,cream_cheese_s0_w85_95,9,RAND,0,10,11,0.0,no_effect,ok,original
B,milk_s0_w230_240,10,VIS,11,10,11,1.1,cmd_hit,ok,original
B,milk_s0_w230_240,10,RAND,0,10,11,0.0,cmd_hit,ok,original
B,milk_s0_w230_240,9,VIS,11,10,11,1.1,cmd_hit,ok,original
B,milk_s0_w230_240,9,RAND,0,10,11,0.0,cmd_hit,ok,original
H,milk_s0_w70_80,10,VIS,9,10,11,0.9,cmd_hit,ok,original
H,milk_s0_w70_80,10,RAND,2,10,11,0.2,cmd_hit,ok,original
H,milk_s0_w70_80,9,VIS,8,10,11,0.8,cmd_hit,ok,original
H,milk_s0_w70_80,9,RAND,0,10,11,0.0,cmd_hit,ok,original
H,salad_dressing_s1_w50_60,10,VIS,6,10,11,0.6,cmd_hit,ok,original
H,salad_dressing_s1_w50_60,10,RAND,1,10,11,0.1,cmd_hit,ok,original
H,salad_dressing_s1_w50_60,9,VIS,5,10,11,0.5,cmd_hit,ok,original
H,salad_dressing_s1_w50_60,9,RAND,0,10,11,0.0,cmd_hit,ok,original
H,tomato_sauce_s2_w165_175,10,VIS,8,10,11,0.8,cmd_rand,ok,retry
H,tomato_sauce_s2_w165_175,10,RAND,8,10,11,0.8,cmd_rand,ok,retry
H,tomato_sauce_s2_w165_175,9,VIS,8,10,11,0.8,cmd_rand,ok,retry
H,tomato_sauce_s2_w165_175,9,RAND,6,10,11,0.6,cmd_rand,ok,retry
