run_name,run_status,skip_reason,n_train_rows,n_val_rows,n_test_rows,checkpoint_sha256,tau_corridor,tau_release,val_event_f1,val_false_trigger_episode_rate,val_median_latency,test_event_f1,test_event_precision,test_event_recall,test_false_trigger_episode_rate,test_no_emit_rate,test_positive_event_no_emit_rate,test_negative_episode_false_emit_rate,test_primary_positive_emit_recall,test_supplementary_positive_emit_recall,test_primary_positive_episode_count,test_supplementary_positive_episode_count,test_frame_auroc,test_frame_auprc
M1_in_domain_libero_spatial_seed1,COMPLETED,,13184,3912,18259,ca7953e6e1102de30adedfc4fab5bcdfd4797dddd20763ba25db56afc8bb79f7,0.1,0.1,0.9189189189189189,0.15,17.0,0.8666666666666667,0.8041237113402062,0.9397590361445783,0.19,0.03,0.012048192771084338,0.8823529411764706,0.9397590361445783,0.0,83,0,0.977371729335562,0.9065320168854134
M1_in_domain_libero_spatial_seed2,COMPLETED,,13184,3912,18259,b8600516edd14bf2a24fe44915241f194076841b825cbc9fc2324c8498a569d0,0.1,0.1,0.9189189189189189,0.15,18.0,0.8777777777777778,0.8144329896907216,0.9518072289156626,0.18,0.03,0.0,0.8235294117647058,0.9518072289156626,0.0,83,0,0.9791507732754984,0.9074548540996441
M1_in_domain_libero_spatial_seed3,COMPLETED,,13184,3912,18259,603026880fd4aae8b9ab393e6df6f3b5484afa3f1f9ac221f67ebe074c23900a,0.1,0.1,0.9189189189189189,0.15,17.0,0.8777777777777778,0.8144329896907216,0.9518072289156626,0.18,0.03,0.0,0.8235294117647058,0.9518072289156626,0.0,83,0,0.9798738193992669,0.9164301684771684
M1_in_domain_libero_goal_seed1,COMPLETED,,13465,1911,16326,ed09ac6a5815b4ab3140c9b6ff28788e934d47fcb9070bc5763153f4fe36416b,0.7,0.1,0.8571428571428572,0.1111111111111111,16.0,0.8431372549019608,0.7962962962962963,0.8958333333333334,0.12222222222222222,0.4,0.0625,0.21428571428571427,0.8958333333333334,0.0,48,0,0.9782158356943702,0.8812215321012774
M1_in_domain_libero_goal_seed2,COMPLETED,,13465,1911,16326,a4a0f1d1a506c64f05aee326f00bd740f8f18bb09fe7128eff7ff5d61d2f42b3,0.8,0.1,0.8571428571428572,0.1111111111111111,17.0,0.816326530612245,0.8,0.8333333333333334,0.1111111111111111,0.4444444444444444,0.10416666666666667,0.16666666666666666,0.8333333333333334,0.0,48,0,0.981427514841998,0.8864407513136725
M1_in_domain_libero_goal_seed3,COMPLETED,,13465,1911,16326,5eb0201f618ef895409409938d58b8cd42b08e541ad27c608851e68e5d24c3ae,0.6,0.1,0.8571428571428572,0.1111111111111111,16.0,0.8653846153846154,0.8035714285714286,0.9375,0.12222222222222222,0.37777777777777777,0.020833333333333332,0.21428571428571427,0.9375,0.0,48,0,0.9782735101925318,0.8705156773923444
M1_in_domain_libero_10_seed1,COMPLETED,,24576,5891,31922,97c0ba22c57d3b5e3aa5cbb40cfd963767847c2f7c3298beba3ab19aac7c3f90,0.9,0.1,0.9,0.05555555555555555,23.0,0.868421052631579,0.9428571428571428,0.8048780487804879,0.022222222222222223,0.6111111111111112,0.17073170731707318,0.02040816326530612,0.0,0.8048780487804879,0,41,0.967172464297255,0.8350446747601731
M1_in_domain_libero_10_seed2,COMPLETED,,24576,5891,31922,eabaab384c23825b4b15bba61d89b87de0a410e6cfd5543b7175f61e4cfdac6f,0.7,0.1,0.9523809523809523,0.05555555555555555,20.5,0.8764044943820225,0.8125,0.9512195121951219,0.1,0.4666666666666667,0.024390243902439025,0.16326530612244897,0.0,0.9512195121951219,0,41,0.9674833888785972,0.8417746170431756
M1_in_domain_libero_10_seed3,COMPLETED,,24576,5891,31922,006c6bef2824d26f76957fde783c9f6ffc5c4eb2c0e8b610a3497b1bd4d06404,0.8,0.1,0.9,0.05555555555555555,18.0,0.9024390243902439,0.9024390243902439,0.9024390243902439,0.044444444444444446,0.5444444444444444,0.07317073170731707,0.061224489795918366,0.0,0.9024390243902439,0,41,0.9645450429224303,0.8338244655878492
M2_leave_one_suite_out_test_libero_spatial_seed1,COMPLETED,,38041,7802,18259,d229e3db0a3b15cf68712a4582817c30a1bedd9f424b1ea7c68120f00e61134a,0.9,0.1,0.9268292682926829,0.05555555555555555,16.0,0.5882352941176471,0.7547169811320755,0.4819277108433735,0.13,0.47,0.4457831325301205,0.4117647058823529,0.4819277108433735,0.0,83,0,0.9024049002420204,0.6897600265074582
M2_leave_one_suite_out_test_libero_spatial_seed2,COMPLETED,,38041,7802,18259,8d24d8e23e60c6144d0d96a5f3dbbbe2d08ba796c895f179c0cbfa33cc3a3957,0.9,0.1,0.9047619047619048,0.08333333333333333,17.0,0.6222222222222222,0.8076923076923077,0.5060240963855421,0.1,0.48,0.46987951807228917,0.47058823529411764,0.5060240963855421,0.0,83,0,0.9471530344590308,0.7808066529063812
M2_leave_one_suite_out_test_libero_spatial_seed3,COMPLETED,,38041,7802,18259,e5551f10ebc1a6179ab6f91bbd807208d5906dda7a1e313235bb4fbe3df7b475,0.9,0.1,0.9,0.05555555555555555,17.5,0.6344827586206897,0.7419354838709677,0.5542168674698795,0.16,0.38,0.3132530120481928,0.29411764705882354,0.5542168674698795,0.0,83,0,0.917523980086463,0.6644141100953014
M2_leave_one_suite_out_test_libero_spatial_seed4,COMPLETED,,38041,7802,18259,928792eacdff917507833104fa8915039b9610571d39d4bcc9db9e2c48780fb0,0.9,0.1,0.8780487804878048,0.08333333333333333,16.5,0.6031746031746031,0.8837209302325582,0.4578313253012048,0.05,0.57,0.5421686746987951,0.29411764705882354,0.4578313253012048,0.0,83,0,0.9528004604217236,0.7974971920789178
M2_leave_one_suite_out_test_libero_spatial_seed5,COMPLETED,,38041,7802,18259,38664088f615995af6efc09922857ac8957e8498d404d7d56cfa5a8d73a28c1f,0.9,0.1,0.9047619047619048,0.08333333333333333,16.0,0.7361111111111112,0.8688524590163934,0.6385542168674698,0.08,0.39,0.3373493975903614,0.35294117647058826,0.6385542168674698,0.0,83,0,0.9157358658704996,0.7055890189475779
M2_leave_one_suite_out_test_libero_goal_seed1,COMPLETED,,37760,9803,16326,8a7181457e23dcd23b40763594236de862a10000d97dc8444558e1b21a03126c,0.8,0.1,0.9310344827586207,0.10526315789473684,17.0,0.8571428571428572,0.7894736842105263,0.9375,0.13333333333333333,0.36666666666666664,0.020833333333333332,0.23809523809523808,0.9375,0.0,48,0,0.9694260939745433,0.8193857322994486
M2_leave_one_suite_out_test_libero_goal_seed2,COMPLETED,,37760,9803,16326,f9337c998de686f0f48f1b01731a852a075d9f89e65d2bd3cee9f3f6ade354d1,0.4,0.1,0.9152542372881356,0.13157894736842105,17.0,0.838095238095238,0.7719298245614035,0.9166666666666666,0.14444444444444443,0.36666666666666664,0.0,0.21428571428571427,0.9166666666666666,0.0,48,0,0.9537574642239808,0.7697023947145749
M2_leave_one_suite_out_test_libero_goal_seed3,COMPLETED,,37760,9803,16326,3826a64530d25078441c214e2667d25b32eee98a05581da943bb978ff6bfee98,0.9,0.1,0.9473684210526316,0.07894736842105263,17.0,0.8737864077669902,0.8181818181818182,0.9375,0.1111111111111111,0.3888888888888889,0.020833333333333332,0.19047619047619047,0.9375,0.0,48,0,0.9693879942257577,0.81000888089782
M2_leave_one_suite_out_test_libero_goal_seed4,COMPLETED,,37760,9803,16326,e5704e4714f83fcf7e749cbe5b79e9ae47b79b6b9a2bb1cfe395173ab36901d1,0.7,0.1,0.9310344827586207,0.10526315789473684,17.0,0.8571428571428572,0.7894736842105263,0.9375,0.13333333333333333,0.36666666666666664,0.0,0.21428571428571427,0.9375,0.0,48,0,0.9703183814461016,0.8052634711351467
M2_leave_one_suite_out_test_libero_goal_seed5,COMPLETED,,37760,9803,16326,352418d4b4ebc0f9a591876978f4edf28610c3adb38a463fde8030fedd8e2e90,0.4,0.1,0.9152542372881356,0.13157894736842105,17.0,0.838095238095238,0.7719298245614035,0.9166666666666666,0.14444444444444443,0.36666666666666664,0.0,0.21428571428571427,0.9166666666666666,0.0,48,0,0.9700802734536913,0.8033957590523133
M2_leave_one_suite_out_test_libero_10_seed1,COMPLETED,,26649,5823,31922,9f6759b916b0ab612a1b3ebcef4186677197a27c73e55ee4c1653d7828c30df9,0.8,0.1,0.896551724137931,0.13157894736842105,17.0,0.625,0.6410256410256411,0.6097560975609756,0.15555555555555556,0.5666666666666667,0.36585365853658536,0.2653061224489796,0.0,0.6097560975609756,0,41,0.780916562300723,0.27873724077630957
M2_leave_one_suite_out_test_libero_10_seed2,COMPLETED,,26649,5823,31922,3841d1b4b4387d298c28c4f91d60b18e1ed003b0978d2f1a3bce0925009186cf,0.9,0.1,0.896551724137931,0.13157894736842105,17.0,0.5454545454545454,0.46551724137931033,0.6585365853658537,0.34444444444444444,0.35555555555555557,0.21951219512195122,0.5306122448979592,0.0,0.6585365853658537,0,41,0.7863741667461027,0.3486336142006203
M2_leave_one_suite_out_test_libero_10_seed3,COMPLETED,,26649,5823,31922,d35f48920e1f2538e250b4154c39a237886c5b49f0fb434c2dec78510a0783ea,0.8,0.1,0.8620689655172414,0.15789473684210525,17.0,0.5684210526315789,0.5,0.6585365853658537,0.3,0.4,0.1951219512195122,0.42857142857142855,0.0,0.6585365853658537,0,41,0.7998874331613318,0.4364045694947469
M2_leave_one_suite_out_test_libero_10_seed4,COMPLETED,,26649,5823,31922,8311da7282355575650733a861b9233c67c74e2e79c55186a9de32b096aac684,0.9,0.1,0.8620689655172414,0.15789473684210525,18.0,0.6067415730337078,0.5625,0.6585365853658537,0.23333333333333334,0.4666666666666667,0.2682926829268293,0.3673469387755102,0.0,0.6585365853658537,0,41,0.7981909869790871,0.4329985216951929
M2_leave_one_suite_out_test_libero_10_seed5,COMPLETED,,26649,5823,31922,f96d4ae9afd55e5f1b181e71dca89755a96b69a5cf895b45df40e3946136b8c4,0.8,0.1,0.896551724137931,0.13157894736842105,17.0,0.5192307692307693,0.42857142857142855,0.6585365853658537,0.4,0.3,0.17073170731707318,0.5918367346938775,0.0,0.6585365853658537,0,41,0.8041884815969218,0.35836621512354583
