task,state_id,clean_success,clean_steps,source_confidence,recommended_rank,reason,suggested_window_source,notes
ketchup,1,True,157,high,1,clean_success=True; steps=157; runner=v4_full10x10_raw; confidence=high,Use v4_full10x10 step_records/video to locate grasp/contact/transport windows.,Raw object_full_10x10 run dir with episode_records.jsonl.
tomato_sauce,3,True,135,high,2,clean_success=True; steps=135; runner=v4_full10x10_raw; confidence=high,Use v4_full10x10 step_records/video to locate grasp/contact/transport windows.,Raw object_full_10x10 run dir with episode_records.jsonl.
ketchup,3,True,142,high,3,clean_success=True; steps=142; runner=v4_full10x10_raw; confidence=high,Use v4_full10x10 step_records/video to locate grasp/contact/transport windows.,Raw object_full_10x10 run dir with episode_records.jsonl.
tomato_sauce,5,True,171,high,4,clean_success=True; steps=171; runner=v4_full10x10_raw; confidence=high,Use v4_full10x10 step_records/video to locate grasp/contact/transport windows.,Raw object_full_10x10 run dir with episode_records.jsonl.
ketchup,0,True,155,high,5,clean_success=True; steps=155; runner=v4_full10x10_raw; confidence=high,Use v4_full10x10 step_records/video to locate grasp/contact/transport windows.,Raw object_full_10x10 run dir with episode_records.jsonl.
ketchup,2,True,160,high,6,clean_success=True; steps=160; runner=v4_full10x10_raw; confidence=high,Use v4_full10x10 step_records/video to locate grasp/contact/transport windows.,Raw object_full_10x10 run dir with episode_records.jsonl.
ketchup,4,True,155,high,7,clean_success=True; steps=155; runner=v4_full10x10_raw; confidence=high,Use v4_full10x10 step_records/video to locate grasp/contact/transport windows.,Raw object_full_10x10 run dir with episode_records.jsonl.
ketchup,5,True,142,high,8,clean_success=True; steps=142; runner=v4_full10x10_raw; confidence=high,Use v4_full10x10 step_records/video to locate grasp/contact/transport windows.,Raw object_full_10x10 run dir with episode_records.jsonl.
ketchup,6,True,148,high,9,clean_success=True; steps=148; runner=v4_full10x10_raw; confidence=high,Use v4_full10x10 step_records/video to locate grasp/contact/transport windows.,Raw object_full_10x10 run dir with episode_records.jsonl.
ketchup,7,True,154,high,10,clean_success=True; steps=154; runner=v4_full10x10_raw; confidence=high,Use v4_full10x10 step_records/video to locate grasp/contact/transport windows.,Raw object_full_10x10 run dir with episode_records.jsonl.
ketchup,8,True,125,high,11,clean_success=True; steps=125; runner=v4_full10x10_raw; confidence=high,Use v4_full10x10 step_records/video to locate grasp/contact/transport windows.,Raw object_full_10x10 run dir with episode_records.jsonl.
ketchup,9,True,144,high,12,clean_success=True; steps=144; runner=v4_full10x10_raw; confidence=high,Use v4_full10x10 step_records/video to locate grasp/contact/transport windows.,Raw object_full_10x10 run dir with episode_records.jsonl.
tomato_sauce,0,True,159,high,13,clean_success=True; steps=159; runner=v4_full10x10_raw; confidence=high,Use v4_full10x10 step_records/video to locate grasp/contact/transport windows.,Raw object_full_10x10 run dir with episode_records.jsonl.
tomato_sauce,1,True,153,high,14,clean_success=True; steps=153; runner=v4_full10x10_raw; confidence=high,Use v4_full10x10 step_records/video to locate grasp/contact/transport windows.,Raw object_full_10x10 run dir with episode_records.jsonl.
tomato_sauce,2,True,191,high,15,clean_success=True; steps=191; runner=v4_full10x10_raw; confidence=high,Use v4_full10x10 step_records/video to locate grasp/contact/transport windows.,Raw object_full_10x10 run dir with episode_records.jsonl.
tomato_sauce,4,True,163,high,16,clean_success=True; steps=163; runner=v4_full10x10_raw; confidence=high,Use v4_full10x10 step_records/video to locate grasp/contact/transport windows.,Raw object_full_10x10 run dir with episode_records.jsonl.
tomato_sauce,6,True,149,high,17,clean_success=True; steps=149; runner=v4_full10x10_raw; confidence=high,Use v4_full10x10 step_records/video to locate grasp/contact/transport windows.,Raw object_full_10x10 run dir with episode_records.jsonl.
tomato_sauce,8,True,175,high,18,clean_success=True; steps=175; runner=v4_full10x10_raw; confidence=high,Use v4_full10x10 step_records/video to locate grasp/contact/transport windows.,Raw object_full_10x10 run dir with episode_records.jsonl.
