stage,commit,condition,attack_seed,candidate_id,candidate_source,candidate_seed,official_tokens,official_gripper_token,official_target31744_score,official_best_competitor_token,official_best_competitor_score,official_target31744_margin,official_target31744_best_competitor_margin,official_target31744_logratio_margin,surrogate_target31744_margin,arm_prefix_match_count,arm_prefix_match_denominator,score_invariant_status,processor_linf,delta_sha256,processor_input_sha256,budget_quantized_correction_count,feasible,selected,selection_reason
M3_STEP78_TRUE_PGD_LOGRATIO_ARM_V4_HARD_FEASIBLE_SELECTION,b2c1dc0abe20dde03b308301060e7ba3637658e4,TRUE_PGD_TRAJECTORY21_SELECTIVE,83,0,delta0,,"[31900, 31870, 31915, 31882, 31862, 31913, 31872]",31872,41.5,31872,41.75,-0.25,-0.25,-0.25,,6,6,PASS,0.023529052734375,75f49b5bbb59047f61b33c26693d5288332c5c3a452e73438e92f7045f166315,8ceefd89ef1f44f9bba31361a07762438424e9329d300660189a383cb4409db0,0,0,0,not_feasible
M3_STEP78_TRUE_PGD_LOGRATIO_ARM_V4_HARD_FEASIBLE_SELECTION,b2c1dc0abe20dde03b308301060e7ba3637658e4,TRUE_PGD_TRAJECTORY21_SELECTIVE,83,1,pgd_iteration,,"[31900, 31870, 31915, 31882, 31862, 31913, 31744]",31744,43.5,31872,40.0,3.5,3.5,3.5,,6,6,PASS,0.023529052734375,a81c315d0179cf8dfc6a544b76214480f1a5571e2de8d6f01ce01b3239c97f43,593942531ae29dc525c798ce1d2d5a46564f3a1dd69d2651474d4f7893e81a0b,1615,1,0,feasible_not_selected
M3_STEP78_TRUE_PGD_LOGRATIO_ARM_V4_HARD_FEASIBLE_SELECTION,b2c1dc0abe20dde03b308301060e7ba3637658e4,TRUE_PGD_TRAJECTORY21_SELECTIVE,83,2,pgd_iteration,,"[31900, 31870, 31915, 31882, 31862, 31913, 31744]",31744,45.25,31872,38.75,6.5,6.5,6.5,,6,6,PASS,0.023529052734375,b458a7de74f01bfc075413b76532c3622ed9779272327fbe01129751c281ce62,5ab9238a84e6aa1df8ca6c5950efe42a21f210e68ee5b3e3e53dfc01f0e0aa78,3033,1,0,feasible_not_selected
M3_STEP78_TRUE_PGD_LOGRATIO_ARM_V4_HARD_FEASIBLE_SELECTION,b2c1dc0abe20dde03b308301060e7ba3637658e4,TRUE_PGD_TRAJECTORY21_SELECTIVE,83,3,pgd_iteration,,"[31914, 31870, 31932, 31882, 31887, 31848, 31744]",31744,56.0,31872,33.25,22.75,22.75,22.75,,2,6,PASS,0.023529052734375,d464baf5529a936fffcf996cc0e51e10b99492da6b6b3dc933133fe442d412d8,3c5383c4eb47f3ea542ee5ae90c6e5c6e8367e909e91da2ef51b63cf67924693,4366,0,0,not_feasible
M3_STEP78_TRUE_PGD_LOGRATIO_ARM_V4_HARD_FEASIBLE_SELECTION,b2c1dc0abe20dde03b308301060e7ba3637658e4,TRUE_PGD_TRAJECTORY21_SELECTIVE,83,4,pgd_iteration,,"[31914, 31870, 31932, 31882, 31887, 31876, 31744]",31744,58.5,31872,25.875,32.62188720703125,32.625,32.62188720703125,,2,6,PASS,0.023529052734375,c54654defd00940b3ecfc7f2925450116abf75b2a376ad1119b4f3c4fb2574a1,086f4c00c28b871fc63d4a30f66482139997275b64c1a9416d045cf09ade9200,5178,0,0,not_feasible
M3_STEP78_TRUE_PGD_LOGRATIO_ARM_V4_HARD_FEASIBLE_SELECTION,b2c1dc0abe20dde03b308301060e7ba3637658e4,TRUE_PGD_TRAJECTORY21_SELECTIVE,83,5,pgd_iteration,,"[31914, 31870, 31932, 31882, 31887, 31848, 31744]",31744,57.0,31872,30.375,26.624998092651367,26.625,26.624998092651367,,2,6,PASS,0.023529052734375,d979da06eee55bc308216439006c4962b1931460053334fb75ddf5e43cad6814,d0be9fd68de10fa8a4af12d50a4c44d5e5f3e0934b287b132cbe9ccff51b248b,5769,0,0,not_feasible
M3_STEP78_TRUE_PGD_LOGRATIO_ARM_V4_HARD_FEASIBLE_SELECTION,b2c1dc0abe20dde03b308301060e7ba3637658e4,TRUE_PGD_TRAJECTORY21_SELECTIVE,83,6,pgd_iteration,,"[31914, 31870, 31940, 31891, 31928, 31868, 31744]",31744,61.0,31749,21.375,39.104644775390625,39.625,39.104644775390625,,1,6,PASS,0.023529052734375,2451734cef36aa09c0bff03bd42598403c2e137db9245f2cd3fdce35539f73e3,6d7975ad7c02969f90f834d1ad24721d754b31559646afde3de8ead279780349,6429,0,0,not_feasible
M3_STEP78_TRUE_PGD_LOGRATIO_ARM_V4_HARD_FEASIBLE_SELECTION,b2c1dc0abe20dde03b308301060e7ba3637658e4,TRUE_PGD_TRAJECTORY21_SELECTIVE,83,7,pgd_iteration,,"[31900, 31870, 31915, 31882, 31862, 31913, 31744]",31744,48.75,31872,36.75,12.0,12.0,12.0,,6,6,PASS,0.023529052734375,1be917e8c06df8420fad9b73f3c34def20c72d4a763d00c9e69ec258ca80a84e,6586560f38326b2dc6553cd2c5566fc614ee2af2439088c67ca999c4f245d322,7048,1,0,feasible_not_selected
M3_STEP78_TRUE_PGD_LOGRATIO_ARM_V4_HARD_FEASIBLE_SELECTION,b2c1dc0abe20dde03b308301060e7ba3637658e4,TRUE_PGD_TRAJECTORY21_SELECTIVE,83,8,pgd_iteration,,"[31914, 31870, 31940, 31891, 31928, 31868, 31744]",31744,63.0,31749,21.125,41.07512664794922,41.875,41.07512664794922,,1,6,PASS,0.023529052734375,91637212b671d0d6a2b041731cd7facbf79946eb989fe48a871d5cc83f264f6c,9e5ef3661fec923cfd91f1fc983553194c0cd124f0e252d87a0aef3f474b63a3,7452,0,0,not_feasible
M3_STEP78_TRUE_PGD_LOGRATIO_ARM_V4_HARD_FEASIBLE_SELECTION,b2c1dc0abe20dde03b308301060e7ba3637658e4,TRUE_PGD_TRAJECTORY21_SELECTIVE,83,9,pgd_iteration,,"[31900, 31870, 31915, 31882, 31862, 31913, 31744]",31744,50.25,31872,35.75,14.499996185302734,14.5,14.499996185302734,,6,6,PASS,0.023529052734375,6a8a4bb368aa2b3a0979defb2f379a0d46e9fa5929a69e3433d8e2d5d1687de7,1049f9f85798323d58a8c0c33f4c2561f8bed03a36dab6a7211d5efa78e47510,7935,1,0,feasible_not_selected
