stage,commit,attack_seed,condition,candidate_id,candidate_seed,selection_metric,surrogate_target31744_margin,surrogate_target31744_best_competitor_margin,surrogate_target31744_logratio_margin,delta_sha256,processor_input_sha256,budget_quantized_correction_count,selected
M3_STEP78_TRUE_PGD_LOGRATIO_ARM_V3_CANARY,480c95f5d02d2674e7165827300aadf901c9c3d9,82,RAND20,0,1182085251,surrogate_target_objective_margin,0.25,0.25,0.25,c310934d97b34e0c030de30cbba7c4b75e3777e898169be0c1cbf76efe99d0ba,56b5303fc92bce4a74457b2f40895641ae932ef1b1be293908721b0b0524e7d7,119,1
M3_STEP78_TRUE_PGD_LOGRATIO_ARM_V3_CANARY,480c95f5d02d2674e7165827300aadf901c9c3d9,82,RAND20,1,378016194,surrogate_target_objective_margin,0.0,0.0,0.0,3cc8870cd30122c3003acddbae4f66ec346b4c420c14e83f284080e19ef43457,0cb496c4720f135707fc6d266c8fe9ee9f6b1d1a405fe1e5019f7d4ab16b3d69,118,0
M3_STEP78_TRUE_PGD_LOGRATIO_ARM_V3_CANARY,480c95f5d02d2674e7165827300aadf901c9c3d9,82,RAND20,2,597991556,surrogate_target_objective_margin,-0.5,-0.5,-0.5,094afe2817880e94fdf34fbe9665d0c171ebe66d6fa6b303e8231283b399cdf7,80d187925c7376ee85429071fe822f6c8db7034dd8c2ce6548ff146a23693b0d,104,0
M3_STEP78_TRUE_PGD_LOGRATIO_ARM_V3_CANARY,480c95f5d02d2674e7165827300aadf901c9c3d9,82,RAND20,3,1714125211,surrogate_target_objective_margin,0.25,0.25,0.25,12c69bb2ee173baf34ce6c8362dab27e7740a35d2bd4b5d33b4e73f3c454f6ae,aff627678bf4ad50e749b31caf09708fd77046c72111c9b00857e9c1ad013cf4,113,0
M3_STEP78_TRUE_PGD_LOGRATIO_ARM_V3_CANARY,480c95f5d02d2674e7165827300aadf901c9c3d9,82,RAND20,4,532143054,surrogate_target_objective_margin,0.0,0.0,0.0,92b5edb9a4f407bc9de596dd568a40cf025ff48cb8ea019ea248af0a3c5926cb,00234f74280817e2ca3afed95f59279ec9d69304a9813d5803e311386ed96d58,127,0
M3_STEP78_TRUE_PGD_LOGRATIO_ARM_V3_CANARY,480c95f5d02d2674e7165827300aadf901c9c3d9,82,RAND20,5,1205357918,surrogate_target_objective_margin,0.0,0.0,0.0,2424659e13a5875ed3b8053b9dd9d796acc3c6d80085c928501f8362a301944e,91b4aa2e231e1a827fc358a03339ea8fb72a4f1b58fa54b649ed2ecd76cd5ede,117,0
M3_STEP78_TRUE_PGD_LOGRATIO_ARM_V3_CANARY,480c95f5d02d2674e7165827300aadf901c9c3d9,82,RAND20,6,1194182615,surrogate_target_objective_margin,0.0,0.0,0.0,6c7e5788f6b362a66c87300e31f3b088a92397819efd6267ac373eef404066ad,89c36ae75e0f83c74b7c13b29fb41819c2c69e50ff70990b4236b383d746e7aa,103,0
M3_STEP78_TRUE_PGD_LOGRATIO_ARM_V3_CANARY,480c95f5d02d2674e7165827300aadf901c9c3d9,82,RAND20,7,1184349728,surrogate_target_objective_margin,-0.25,-0.25,-0.25,915ff3e78827f5cb565fba906d3e7334073a6bd528de4c8e4cb0c9918abe91b8,b87ef0c27f0e36464f2cb08a119d05871751bf70f0f04ddabec7cf06811e9219,114,0
M3_STEP78_TRUE_PGD_LOGRATIO_ARM_V3_CANARY,480c95f5d02d2674e7165827300aadf901c9c3d9,82,RAND20,8,2053481954,surrogate_target_objective_margin,0.25,0.25,0.25,d6ee8b7b24f8f55cf107db074c034000a5f0aa08522297ccc649c8900aac5af1,64eaf15e7546df4c17bb56d6560aa84dd2d4e9ac857fb41553433ddf8840b2c8,109,0
M3_STEP78_TRUE_PGD_LOGRATIO_ARM_V3_CANARY,480c95f5d02d2674e7165827300aadf901c9c3d9,82,RAND20,9,668374639,surrogate_target_objective_margin,0.0,0.0,0.0,ca98c15303113b28b87747f87c1225aac6cb265766c410adcf752e5f66d46a9f,738c3518b0ff3acd5d00a3951af48c9d526327885eda42d2be29becb9a1bb41e,100,0
M3_STEP78_TRUE_PGD_LOGRATIO_ARM_V3_CANARY,480c95f5d02d2674e7165827300aadf901c9c3d9,82,RAND20,10,1971965009,surrogate_target_objective_margin,-0.5,-0.5,-0.5,f5eec823b17564183d9f700bc3021e9b1e406aff5d8518a6dcaf914972723542,5b5717be6ff16f41e4ae77011cc67cffd81df01ff4028aade7ff7ed562c0d203,106,0
M3_STEP78_TRUE_PGD_LOGRATIO_ARM_V3_CANARY,480c95f5d02d2674e7165827300aadf901c9c3d9,82,RAND20,11,1967609807,surrogate_target_objective_margin,0.0,0.0,0.0,2612c48c29de2e987a39f6e56c23e36e1d937e86a90a66b88921297a37743b96,f38673715a6c990ff0f9ac25ad30d280d03cbbd4ccbd21e897bfdbb722f295ab,107,0
M3_STEP78_TRUE_PGD_LOGRATIO_ARM_V3_CANARY,480c95f5d02d2674e7165827300aadf901c9c3d9,82,RAND20,12,2136463659,surrogate_target_objective_margin,-0.5,-0.5,-0.5,9af7e49a9d2cdad86fc7eaca12b18c504b53ce62d05d7e7bb90795c9dc4f099f,b82ddfd191b912cbee34a96b8e1df4ded03f39daac23b2ca7ae275c3d12832ba,120,0
