iteration,update_step,official_tokens,official_gripper_token,official_target31744_score,official_best_competitor_token,official_best_competitor_score,official_target31744_margin,official_target31744_best_competitor_margin,official_target31744_logratio_margin,score_invariant_status,official_arm_prefix,clean_arm_prefix,arm_prefix_match_count,arm_prefix_match_denominator,surrogate_arm_prefix_pre_update,surrogate_logratio_margin_pre_update,surrogate_best_competitor_margin_pre_update,gradient_l1,gradient_l2,gradient_linf,delta_sha256,processor_input_sha256,processor_linf,reconstruction_status
0,delta0,"[31900,31870,31915,31882,31862,31913,31872]",31872,40.75,31872,41.0,-0.25,-0.25,-0.25,PASS,"[31900,31870,31915,31882,31862,31913]","[31900,31870,31915,31882,31862,31913]",6,6,[],,,,,,03676888a9627bc55088e7ce7d282f18105aa2b7e5d8e4b0521ed0da4b7d4ffb,15d76301539c2231978e420703ea22d99fc1f9623d8170c8b4a83b10015e8922,0.023529052734375,RECONSTRUCTION_INVALID
1,0,"[31900,31870,31915,31882,31862,31913,31744]",31744,43.5,31872,40.0,3.5,3.5,3.5,PASS,"[31900,31870,31915,31882,31862,31913]","[31900,31870,31915,31882,31862,31913]",6,6,"[31900,31870,31915,31882,31862,31913]",-0.25,-0.25,1994.4420166015625,10.162444114685059,0.7734375,cf80c3bddc3633e549d337a9a8761cb0e2ab17882dfed76a79916982017e550e,76d55dcda51a2061fe556c3bbafab9c9ea2765ba56f8f6873a540d18a7aa434d,0.023529052734375,RECONSTRUCTION_INVALID
2,1,"[31900,31870,31915,31882,31862,31913,31744]",31744,45.0,31872,38.75,6.25,6.25,6.25,PASS,"[31900,31870,31915,31882,31862,31913]","[31900,31870,31915,31882,31862,31913]",6,6,"[31900,31870,31915,31882,31862,31913]",3.5,3.5,2011.4656982421875,10.335953712463379,0.73046875,165e0c01e68db9e9e1edc19c352f695d718467a15c79fc3bcbdb0e6801c5204f,809246933e48a6a44d79ea272f9b55572c18cd188f09beb287dd23221324cf0f,0.023529052734375,RECONSTRUCTION_INVALID
3,2,"[31900,31870,31915,31882,31862,31913,31744]",31744,46.5,31872,36.5,10.0,10.0,10.0,PASS,"[31900,31870,31915,31882,31862,31913]","[31900,31870,31915,31882,31862,31913]",6,6,"[31900,31870,31915,31882,31862,31913]",6.25,6.25,2077.7353515625,10.892082214355469,0.75390625,eafcbf922d9e000ed0fb4a6e7f2ae2a7cfaa605c77b485667fcf72a0a5bdff7f,c15b1e88190abd50bae78d75d5b6532000bd5626953bd430a27e23af38997ff7,0.023529052734375,RECONSTRUCTION_INVALID
4,3,"[31914,31870,31932,31882,31887,31848,31744]",31744,56.25,31872,32.0,24.25,24.25,24.25,PASS,"[31914,31870,31932,31882,31887,31848]","[31900,31870,31915,31882,31862,31913]",2,6,"[31900,31870,31915,31882,31862,31913]",10.0,10.0,2181.711669921875,11.587305068969727,0.71875,29937a93b1e49401a6f001be253efcf77034bfde2b09f8e5191608512f15c6b6,8ab9de6dff5bedfcf886491136f6b92f42850c4747c863cbbde6e7c003df9215,0.023529052734375,RECONSTRUCTION_INVALID
5,4,"[31914,31870,31940,31891,31928,31868,31744]",31744,60.25,31749,21.125,38.57213592529297,39.125,38.57213592529297,PASS,"[31914,31870,31940,31891,31928,31868]","[31900,31870,31915,31882,31862,31913]",1,6,"[31914,31870,31932,31882,31887,31848]",24.25,24.25,1573.562255859375,7.2858781814575195,0.349609375,c7cf91fd485bdb29a0062705347c196c6fd191529c837ba03bc443604f77863c,132fbe0c653fd0e75adfd2e1438861d8082578c737e2c78ae3c7bb7f80ee1524,0.023529052734375,RECONSTRUCTION_INVALID
6,5,"[31914,31870,31940,31891,31928,31868,31744]",31744,62.25,31872,20.5,40.74140930175781,41.75,40.74140930175781,PASS,"[31914,31870,31940,31891,31928,31868]","[31900,31870,31915,31882,31862,31913]",1,6,"[31914,31870,31940,31891,31928,31868]",38.57213592529297,39.125,1632.92578125,7.224147796630859,0.60546875,d578204cccb06001a4cdebeffd4d486dc237aafce134ac51d37a7e2c63d4bbad,cab9574a4e31c7f2963461496433ceb00f70485aca919a427faf276b31ce82b1,0.023529052734375,RECONSTRUCTION_INVALID
7,6,"[31900,31870,31915,31882,31862,31913,31744]",31744,48.5,31872,35.5,12.999984741210938,13.0,12.999984741210938,PASS,"[31900,31870,31915,31882,31862,31913]","[31900,31870,31915,31882,31862,31913]",6,6,"[31914,31870,31940,31891,31928,31868]",40.74140930175781,41.75,1330.11376953125,5.669151782989502,0.35546875,b09ab8978fad8ed22923f2ef4d77226c3ecb4fe6dcb78ce9fb0595109186a0f4,28eab0e80f4f8acb51b4d42032ad526e774d9a422a6ad39d7842e0100affb063,0.023529052734375,RECONSTRUCTION_INVALID
8,7,"[31914,31870,31940,31891,31928,31868,31744]",31744,64.0,31872,20.625,42.22892761230469,43.375,42.22892761230469,PASS,"[31914,31870,31940,31891,31928,31868]","[31900,31870,31915,31882,31862,31913]",1,6,"[31900,31870,31915,31882,31862,31913]",12.999984741210938,13.0,2397.564697265625,13.194690704345703,0.86328125,5121c55ab3561eea5f648e1e348d3446e82612d3497c4ca9d967b76ea746df4b,211e9f13acae1020967c2f0ae46862480414766277dd8d03a94b1b8622635d3f,0.023529052734375,RECONSTRUCTION_INVALID
9,8,"[31914,31870,31940,31891,31928,31868,31744]",31744,66.0,31872,22.0,43.67996597290039,44.0,43.67996597290039,PASS,"[31914,31870,31940,31891,31928,31868]","[31900,31870,31915,31882,31862,31913]",1,6,"[31914,31870,31940,31891,31928,31868]",42.22892761230469,43.375,1272.6697998046875,5.440667629241943,0.34375,1373da6678e049517165f7f763049b253c8a07cd4f52662c926f776fa5cff728,5e3f204b268ec44175b0ff54246ff0fea06f497ca0970359cbdc137364de9f3f,0.023529052734375,RECONSTRUCTION_INVALID
