iteration,surrogate_logratio_margin,surrogate_best_competitor_margin,arm_prefix,arm_match_count,gradient_l1,gradient_l2,gradient_linf
0,-0.25,NOT_RECORDED,"[31900,31870,31915,31882,31862,31913]",6,1994.4420166015625,10.162444114685059,0.7734375
1,3.5,NOT_RECORDED,"[31900,31870,31915,31882,31862,31913]",6,2011.4656982421875,10.335953712463379,0.73046875
2,6.25,NOT_RECORDED,"[31900,31870,31915,31882,31862,31913]",6,2077.756591796875,10.892226219177246,0.75390625
3,9.5,NOT_RECORDED,"[31900,31870,31915,31882,31862,31913]",6,2177.60400390625,11.583264350891113,0.72265625
4,24.25,NOT_RECORDED,"[31914,31870,31932,31882,31887,31848]",2,1611.1767578125,7.515048027038574,0.34765625
5,38.730010986328125,NOT_RECORDED,"[31914,31870,31940,31891,31928,31868]",1,1675.6190185546875,7.438385009765625,0.6171875
6,26.5,NOT_RECORDED,"[31914,31870,31932,31882,31887,31848]",2,1601.1932373046875,7.399350166320801,0.337890625
7,40.64076232910156,NOT_RECORDED,"[31914,31870,31940,31891,31928,31868]",1,1483.38525390625,6.294598579406738,0.4921875
8,43.051185607910156,NOT_RECORDED,"[31914,31870,31940,31891,31928,31868]",1,1286.6129150390625,5.613826751708984,0.392578125
9,44.479156494140625,NOT_RECORDED,"[31914,31870,31940,31891,31928,31868]",1,1287.906494140625,5.435716152191162,0.271484375
10,13.249996185302734,NOT_RECORDED,"[31900,31870,31915,31882,31862,31913]",6,2501.779296875,13.911372184753418,0.98828125
11,45.616180419921875,NOT_RECORDED,"[31914,31870,31940,31891,31928,31868]",1,1095.15966796875,4.623547554016113,0.341796875
12,14.499992370605469,NOT_RECORDED,"[31938,31876,31937,31882,31977,31915]",1,2525.279541015625,12.840932846069336,0.95703125
13,22.249954223632812,NOT_RECORDED,"[31938,31870,31937,31882,31982,31916]",2,2404.4462890625,12.852254867553711,0.9609375
14,25.87407684326172,NOT_RECORDED,"[31938,31870,31937,31882,31982,31916]",2,2228.146728515625,11.254270553588867,0.84375
15,12.249992370605469,NOT_RECORDED,"[31938,31870,31939,31882,31981,31914]",2,2633.569091796875,14.545528411865234,1.0625
16,16.12493324279785,NOT_RECORDED,"[31938,31870,31939,31882,31981,31914]",2,2426.427734375,12.909745216369629,1.0234375
17,19.374618530273438,NOT_RECORDED,"[31938,31870,31939,31882,31981,31914]",2,2134.228515625,10.90552806854248,0.94140625
18,28.499988555908203,NOT_RECORDED,"[31938,31870,31938,31882,31999,31926]",2,1584.683837890625,7.814998149871826,0.4609375
19,27.624799728393555,NOT_RECORDED,"[31938,31870,31938,31882,31999,31915]",2,1852.9970703125,9.178251266479492,0.640625
