window_id,task_key,state_id,seed,window_start,window_end,object100_clean_trace_path,object100_episode_found,clean_trace_exists,clean_success,shadow_trace_available,online_features_available,vis_label_available,vis_3r_available,vis_1r_available,random_label_available,command_susceptible_label_available,teacher_window_found,teacher_window_start,teacher_window_end,teacher_mechanism,teacher_eligible,label_status,taxonomy,vis_open_count,phys_resp,provenance_status,eligible_for_training,class_match,missing_reason,recommended_action
ketchup_s0_w16_33,ketchup,0,0,16,33,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_ketchup_and_place_it_in_the_basket_state0/step_records.jsonl,True,True,True,True,True,True,False,False,False,True,True,145,154,pick_place_transfer,True,positive,action_positive_physical_strong_task_positive,18,1,complete,True,exact_match_clean_and_label,,use directly; extract online features + attach label
butter_s0_w29_46,butter,0,0,29,46,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_butter_and_place_it_in_the_basket_state0/step_records.jsonl,True,True,True,False,False,True,False,False,False,True,True,130,139,pick_place_transfer,True,positive,action_positive_physical_strong_task_positive,18,1,split groups; merged via manual_trace_merge.csv,False,exact_match_clean_and_label,provenance not clean; audit before use,provenance not clean; audit before use
alphabet_soup_s0_w3_20,alphabet_soup,0,0,3,20,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket_state0/step_records.jsonl,True,True,True,True,True,True,False,False,False,True,True,134,143,pick_place_transfer,True,ignore,weak_physical_uncertain,18,0.5,random completed; claim=False because qpos<0.03,True,exact_match_clean_and_label,,use directly; extract online features + attach label
alphabet_soup_s3_w21_38,alphabet_soup,3,0,21,38,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket_state3/step_records.jsonl,True,True,True,False,False,False,False,False,False,False,True,128,137,pick_place_transfer,True,ignore,polluted,0,0,unknown,False,exact_match_clean_and_label,provenance not clean; audit before use,provenance not clean; audit before use
alphabet_soup_s4_w4_21,alphabet_soup,4,0,4,21,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket_state4/step_records.jsonl,True,True,True,False,False,True,False,False,False,True,True,132,141,pick_place_transfer,True,positive,claim_usable,18,1,unknown,False,exact_match_clean_and_label,provenance not clean; audit before use,provenance not clean; audit before use
alphabet_soup_s8_w29_46,alphabet_soup,8,0,29,46,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket_state8/step_records.jsonl,True,True,True,False,False,False,False,False,False,False,True,131,140,pick_place_transfer,True,ignore,polluted,0,0,unknown,False,exact_match_clean_and_label,provenance not clean; audit before use,provenance not clean; audit before use
bbq_sauce_s0_w30_47,bbq_sauce,0,0,30,47,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket_state0/step_records.jsonl,True,True,True,True,True,False,False,False,False,False,True,157,166,pick_place_transfer,True,ignore,polluted,0,0,unknown,False,exact_match_clean_and_label,provenance not clean; audit before use,provenance not clean; audit before use
bbq_sauce_s5_w27_44,bbq_sauce,5,0,27,44,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket_state5/step_records.jsonl,True,True,True,False,False,True,False,False,False,True,True,180,189,pick_place_transfer,True,negative,action_positive_physical_positive_task_negative,18,1,unknown,False,exact_match_clean_and_label,provenance not clean; audit before use,provenance not clean; audit before use
bbq_sauce_s9_w22_39,bbq_sauce,9,0,22,39,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket_state9/step_records.jsonl,True,True,True,False,False,True,False,False,False,True,True,128,137,pick_place_transfer,True,positive,claim_usable,18,1,unknown,False,exact_match_clean_and_label,provenance not clean; audit before use,provenance not clean; audit before use
butter_s3_w29_46,butter,3,0,29,46,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_butter_and_place_it_in_the_basket_state3/step_records.jsonl,True,True,True,False,False,False,False,False,False,False,True,223,232,pick_place_transfer,True,ignore,polluted,0,0,unknown,False,exact_match_clean_and_label,provenance not clean; audit before use,provenance not clean; audit before use
butter_s5_w25_42,butter,5,0,25,42,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_butter_and_place_it_in_the_basket_state5/step_records.jsonl,True,True,True,False,False,True,False,False,False,True,True,150,159,pick_place_transfer,True,positive,claim_usable,18,1,unknown,False,exact_match_clean_and_label,provenance not clean; audit before use,provenance not clean; audit before use
cream_cheese_s4_w28_45,cream_cheese,4,0,28,45,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket_state4/step_records.jsonl,True,True,True,False,False,True,False,False,False,True,True,166,175,pick_place_transfer,True,positive,claim_usable,18,1,unknown,False,exact_match_clean_and_label,provenance not clean; audit before use,provenance not clean; audit before use
ketchup_s1_w21_38,ketchup,1,0,21,38,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_ketchup_and_place_it_in_the_basket_state1/step_records.jsonl,True,True,True,True,True,True,True,True,False,True,True,160,169,pick_place_transfer,True,positive,claim_usable,18,1,unknown,False,exact_match_clean_and_label,provenance not clean; audit before use,provenance not clean; audit before use
ketchup_s2_w39_56,ketchup,2,0,39,56,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_ketchup_and_place_it_in_the_basket_state2/step_records.jsonl,True,True,True,False,False,False,False,False,False,False,True,123,132,pick_place_transfer,True,ignore,polluted,0,0,unknown,False,exact_match_clean_and_label,provenance not clean; audit before use,provenance not clean; audit before use
ketchup_s5_w9_26,ketchup,5,0,9,26,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_ketchup_and_place_it_in_the_basket_state5/step_records.jsonl,True,True,True,False,False,True,False,False,False,True,True,102,111,pick_place_transfer,True,negative,action_positive_physical_positive_task_negative,18,1,unknown,False,exact_match_clean_and_label,provenance not clean; audit before use,provenance not clean; audit before use
milk_s1_w8_25,milk,1,0,8,25,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_milk_and_place_it_in_the_basket_state1/step_records.jsonl,True,True,True,True,True,True,True,True,False,True,True,111,120,pick_place_transfer,True,positive,claim_usable,18,1,unknown,False,exact_match_clean_and_label,provenance not clean; audit before use,provenance not clean; audit before use
milk_s4_w19_36,milk,4,0,19,36,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_milk_and_place_it_in_the_basket_state4/step_records.jsonl,True,True,True,False,False,True,False,False,False,True,True,108,117,pick_place_transfer,True,positive,claim_usable,18,1,unknown,False,exact_match_clean_and_label,provenance not clean; audit before use,provenance not clean; audit before use
milk_s5_w25_42,milk,5,0,25,42,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_milk_and_place_it_in_the_basket_state5/step_records.jsonl,True,True,True,False,False,True,False,False,False,True,True,199,208,pick_place_transfer,True,negative,action_positive_physical_positive_task_negative,18,1,unknown,False,exact_match_clean_and_label,provenance not clean; audit before use,provenance not clean; audit before use
milk_s9_w5_22,milk,9,0,5,22,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_milk_and_place_it_in_the_basket_state9/step_records.jsonl,True,True,True,False,False,False,False,False,False,False,True,125,134,pick_place_transfer,True,ignore,polluted,0,0,unknown,False,exact_match_clean_and_label,provenance not clean; audit before use,provenance not clean; audit before use
