window_id,task_key,state_id,window_start,window_end,clean_trace_exists,object100_exact_task_state_seed_match,step_records_available,object100_step_records_path,rgb_available,online_features_available,existing31_vis_label_available,existing31_vis_open_count,existing31_phys_resp,matched_random_label_available,source_batch,teacher_window_found,teacher_window_start,teacher_window_end,teacher_mechanism_type,teacher_mechanism_eligible,teacher_clean_success,window_alignment_type,vis_teacher_overlap_frac,vis_teacher_center_distance,eligible_for_legacy_existing31_diagnostic,eligible_for_main_teacher_window_training,exclude_reason_legacy,exclude_reason_main,label_status,taxonomy
ketchup_s0_w16_33,ketchup,0,16,33,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_ketchup_and_place_it_in_the_basket_state0/step_records.jsonl,True,True,True,18,1,False,batch1,True,145,154,pick_place_transfer,True,True,same_episode_different_window,0.0,125.0,True,True,,,positive,action_positive_physical_strong_task_positive
butter_s0_w29_46,butter,0,29,46,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_butter_and_place_it_in_the_basket_state0/step_records.jsonl,True,True,True,18,1,False,batch1,True,130,139,pick_place_transfer,True,True,same_episode_different_window,0.0,97.0,True,True,,,positive,action_positive_physical_strong_task_positive
alphabet_soup_s0_w3_20,alphabet_soup,0,3,20,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket_state0/step_records.jsonl,True,True,True,18,0.5,False,batch1,True,134,143,pick_place_transfer,True,True,same_episode_different_window,0.0,127.0,True,True,,,ignore,weak_physical_uncertain
alphabet_soup_s3_w21_38,alphabet_soup,3,21,38,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket_state3/step_records.jsonl,True,True,False,0,0,False,batch3,True,128,137,pick_place_transfer,True,True,same_episode_different_window,0.0,103.0,False,True,no_vis_label,,ignore,polluted
alphabet_soup_s4_w4_21,alphabet_soup,4,4,21,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket_state4/step_records.jsonl,True,True,True,18,1,False,batch3,True,132,141,pick_place_transfer,True,True,same_episode_different_window,0.0,124.0,True,True,,,positive,claim_usable
alphabet_soup_s8_w29_46,alphabet_soup,8,29,46,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket_state8/step_records.jsonl,True,True,False,0,0,False,batch3,True,131,140,pick_place_transfer,True,True,same_episode_different_window,0.0,98.0,False,True,no_vis_label,,ignore,polluted
bbq_sauce_s0_w30_47,bbq_sauce,0,30,47,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket_state0/step_records.jsonl,True,True,False,0,0,False,batch3,True,157,166,pick_place_transfer,True,True,same_episode_different_window,0.0,123.0,False,True,no_vis_label,,ignore,polluted
bbq_sauce_s5_w27_44,bbq_sauce,5,27,44,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket_state5/step_records.jsonl,True,True,True,18,1,False,batch3,True,180,189,pick_place_transfer,True,True,same_episode_different_window,0.0,149.0,True,True,,,negative,action_positive_physical_positive_task_negative
bbq_sauce_s9_w22_39,bbq_sauce,9,22,39,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket_state9/step_records.jsonl,True,True,True,18,1,False,batch3,True,128,137,pick_place_transfer,True,True,same_episode_different_window,0.0,102.0,True,True,,,positive,claim_usable
butter_s3_w29_46,butter,3,29,46,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_butter_and_place_it_in_the_basket_state3/step_records.jsonl,True,True,False,0,0,False,batch3,True,223,232,pick_place_transfer,True,True,same_episode_different_window,0.0,190.0,False,True,no_vis_label,,ignore,polluted
butter_s5_w25_42,butter,5,25,42,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_butter_and_place_it_in_the_basket_state5/step_records.jsonl,True,True,True,18,1,False,batch3,True,150,159,pick_place_transfer,True,True,same_episode_different_window,0.0,121.0,True,True,,,positive,claim_usable
cream_cheese_s4_w28_45,cream_cheese,4,28,45,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket_state4/step_records.jsonl,True,True,True,18,1,False,batch3,True,166,175,pick_place_transfer,True,True,same_episode_different_window,0.0,134.0,True,True,,,positive,claim_usable
ketchup_s1_w21_38,ketchup,1,21,38,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_ketchup_and_place_it_in_the_basket_state1/step_records.jsonl,True,True,True,18,1,False,batch3,True,160,169,pick_place_transfer,True,True,same_episode_different_window,0.0,135.0,True,True,,,positive,claim_usable
ketchup_s2_w39_56,ketchup,2,39,56,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_ketchup_and_place_it_in_the_basket_state2/step_records.jsonl,True,True,False,0,0,False,batch3,True,123,132,pick_place_transfer,True,True,same_episode_different_window,0.0,80.0,False,True,no_vis_label,,ignore,polluted
ketchup_s5_w9_26,ketchup,5,9,26,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_ketchup_and_place_it_in_the_basket_state5/step_records.jsonl,True,True,True,18,1,False,batch3,True,102,111,pick_place_transfer,True,True,same_episode_different_window,0.0,89.0,True,True,,,negative,action_positive_physical_positive_task_negative
milk_s1_w8_25,milk,1,8,25,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_milk_and_place_it_in_the_basket_state1/step_records.jsonl,True,True,True,18,1,False,batch3,True,111,120,pick_place_transfer,True,True,same_episode_different_window,0.0,99.0,True,True,,,positive,claim_usable
milk_s4_w19_36,milk,4,19,36,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_milk_and_place_it_in_the_basket_state4/step_records.jsonl,True,True,True,18,1,False,batch3,True,108,117,pick_place_transfer,True,True,same_episode_different_window,0.0,85.0,True,True,,,positive,claim_usable
milk_s5_w25_42,milk,5,25,42,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_milk_and_place_it_in_the_basket_state5/step_records.jsonl,True,True,True,18,1,False,batch3,True,199,208,pick_place_transfer,True,True,same_episode_different_window,0.0,170.0,True,True,,,negative,action_positive_physical_positive_task_negative
milk_s9_w5_22,milk,9,5,22,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_milk_and_place_it_in_the_basket_state9/step_records.jsonl,True,True,False,0,0,False,batch3,True,125,134,pick_place_transfer,True,True,same_episode_different_window,0.0,116.0,False,True,no_vis_label,,ignore,polluted
salad_dressing_s0_w31_48,salad_dressing,0,31,48,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket_state0/step_records.jsonl,True,True,False,0,0,False,batch3,True,111,120,pick_place_transfer,True,True,same_episode_different_window,0.0,76.0,False,True,no_vis_label,,ignore,polluted
salad_dressing_s0_w7_24,salad_dressing,0,7,24,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket_state0/step_records.jsonl,True,True,True,18,1,False,batch3,True,111,120,pick_place_transfer,True,True,same_episode_different_window,0.0,100.0,True,True,,,negative,action_positive_physical_positive_task_negative
alphabet_soup_s6_w40_57,alphabet_soup,6,40,57,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket_state6/step_records.jsonl,True,True,False,0,0,False,batch3b,True,136,145,pick_place_transfer,True,True,same_episode_different_window,0.0,92.0,False,True,no_vis_label,,negative,no_action_bridge
bbq_sauce_s0_w15_32,bbq_sauce,0,15,32,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket_state0/step_records.jsonl,True,True,False,0,0,False,batch3b,True,157,166,pick_place_transfer,True,True,same_episode_different_window,0.0,138.0,False,True,no_vis_label,,ignore,polluted
bbq_sauce_s0_w5_22,bbq_sauce,0,5,22,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket_state0/step_records.jsonl,True,True,True,1,0,False,batch3b,True,157,166,pick_place_transfer,True,True,same_episode_different_window,0.0,148.0,True,True,,,negative,no_action_bridge
ketchup_s4_w28_45,ketchup,4,28,45,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_ketchup_and_place_it_in_the_basket_state4/step_records.jsonl,True,True,False,0,0,False,batch3b,True,116,125,pick_place_transfer,True,True,same_episode_different_window,0.0,84.0,False,True,no_vis_label,,negative,no_action_bridge
milk_s1_w18_35,milk,1,18,35,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_milk_and_place_it_in_the_basket_state1/step_records.jsonl,True,True,False,0,0,False,batch3b,True,111,120,pick_place_transfer,True,True,same_episode_different_window,0.0,89.0,False,True,no_vis_label,,negative,no_action_bridge
milk_s8_w8_25,milk,8,8,25,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_milk_and_place_it_in_the_basket_state8/step_records.jsonl,True,True,False,0,0,False,batch3b,True,141,150,pick_place_transfer,True,True,same_episode_different_window,0.0,129.0,False,True,no_vis_label,,negative,no_action_bridge
orange_juice_s2_w17_34,orange_juice,2,17,34,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket_state2/step_records.jsonl,True,True,False,0,0,False,batch3b,True,123,132,pick_place_transfer,True,True,same_episode_different_window,0.0,102.0,False,True,no_vis_label,,negative,no_action_bridge
salad_dressing_s5_w28_45,salad_dressing,5,28,45,True,True,True,/data/liuyu/outputs/milestone_2e2_object100_privileged_artifact_rich_20260527/runs/libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket_state5/step_records.jsonl,True,True,False,0,0,False,batch3b,True,149,158,pick_place_transfer,True,True,same_episode_different_window,0.0,117.0,False,True,no_vis_label,,negative,no_action_bridge
