job_id,task_key,state_id,seed,window_start,window_end,stratum,condition,matched_random,window_len,mechanism_type,parent_teacher_window,paired_vis_job_id,worker_id
1000,cream_cheese,2,0,100,110,teacher_high,vis_pgd,yes,10,pick_place_transfer,125-134,,0
1001,cream_cheese,2,0,100,110,teacher_high,random_linf,yes,10,pick_place_transfer,125-134,1000,0
1002,cream_cheese,2,0,46,56,early_control,vis_pgd,yes,10,pick_place_transfer,125-134,,1
1003,cream_cheese,2,0,46,56,early_control,random_linf,yes,10,pick_place_transfer,125-134,1002,1
1004,cream_cheese,6,0,85,95,teacher_high,vis_pgd,yes,10,pick_place_transfer,110-119,,2
1005,cream_cheese,6,0,85,95,teacher_high,random_linf,yes,10,pick_place_transfer,110-119,1004,2
1006,cream_cheese,6,0,124,134,adjacent_hard_control,vis_pgd,yes,10,pick_place_transfer,110-119,,0
1007,cream_cheese,6,0,124,134,adjacent_hard_control,random_linf,yes,10,pick_place_transfer,110-119,1006,0
1008,milk,7,0,93,103,teacher_high,vis_pgd,yes,10,pick_place_transfer,118-127,,1
1009,milk,7,0,93,103,teacher_high,random_linf,yes,10,pick_place_transfer,118-127,1008,1
1010,milk,7,0,30,40,early_control,vis_pgd,yes,10,pick_place_transfer,118-127,,2
1011,milk,7,0,30,40,early_control,random_linf,yes,10,pick_place_transfer,118-127,1010,2
1012,alphabet_soup,4,0,107,117,teacher_high,vis_pgd,yes,10,pick_place_transfer,132-141,,0
1013,alphabet_soup,4,0,107,117,teacher_high,random_linf,yes,10,pick_place_transfer,132-141,1012,0
1014,alphabet_soup,4,0,25,35,early_control,vis_pgd,yes,10,pick_place_transfer,132-141,,1
1015,alphabet_soup,4,0,25,35,early_control,random_linf,yes,10,pick_place_transfer,132-141,1014,1
1016,butter,3,0,198,208,teacher_high,vis_pgd,yes,10,pick_place_transfer,223-232,,2
1017,butter,3,0,198,208,teacher_high,random_linf,yes,10,pick_place_transfer,223-232,1016,2
1018,butter,3,0,39,49,early_control,vis_pgd,yes,10,pick_place_transfer,223-232,,0
1019,butter,3,0,39,49,early_control,random_linf,yes,10,pick_place_transfer,223-232,1018,0
1020,tomato_sauce,6,0,98,108,teacher_high,vis_pgd,yes,10,pick_place_transfer,123-132,,1
1021,tomato_sauce,6,0,98,108,teacher_high,random_linf,yes,10,pick_place_transfer,123-132,1020,1
1022,tomato_sauce,6,0,137,147,adjacent_hard_control,vis_pgd,yes,10,pick_place_transfer,123-132,,2
1023,tomato_sauce,6,0,137,147,adjacent_hard_control,random_linf,yes,10,pick_place_transfer,123-132,1022,2
1024,tomato_sauce,6,0,59,69,early_control,vis_pgd,yes,10,pick_place_transfer,123-132,,0
1025,tomato_sauce,6,0,59,69,early_control,random_linf,yes,10,pick_place_transfer,123-132,1024,0
1026,milk,1,0,86,96,teacher_high,vis_pgd,yes,10,pick_place_transfer,111-120,,1
1027,milk,1,0,86,96,teacher_high,random_linf,yes,10,pick_place_transfer,111-120,1026,1
1028,milk,1,0,43,53,early_control,vis_pgd,yes,10,pick_place_transfer,111-120,,2
1029,milk,1,0,43,53,early_control,random_linf,yes,10,pick_place_transfer,111-120,1028,2
1030,tomato_sauce,1,0,177,187,teacher_high,vis_pgd,yes,10,pick_place_transfer,157-166,,0
1031,tomato_sauce,1,0,177,187,teacher_high,random_linf,yes,10,pick_place_transfer,157-166,1030,0
1032,alphabet_soup,9,0,59,69,early_control,vis_pgd,yes,10,pick_place_transfer,146-155,,1
1033,alphabet_soup,9,0,59,69,early_control,random_linf,yes,10,pick_place_transfer,146-155,1032,1
1034,ketchup,9,0,36,46,early_control,vis_pgd,yes,10,pick_place_transfer,148-157,,2
