job_id,task_key,state_id,seed,window_start,window_end,stratum,condition,matched_random,window_len,mechanism_type,parent_teacher_window,paired_vis_job_id,worker_id
0,tomato_sauce,0,0,199,208,teacher_high,vis_pgd,yes,10,pick_place_transfer,199-208,,0
1,tomato_sauce,0,0,199,208,teacher_high,random_linf,yes,10,pick_place_transfer,199-208,0,0
2,tomato_sauce,0,0,184,194,adjacent_hard_control,vis_pgd,yes,10,pick_place_transfer,199-208,,1
3,tomato_sauce,0,0,184,194,adjacent_hard_control,random_linf,yes,10,pick_place_transfer,199-208,2,2
4,butter,8,0,151,160,teacher_high,vis_pgd,yes,10,pick_place_transfer,151-160,,2
5,butter,8,0,151,160,teacher_high,random_linf,yes,10,pick_place_transfer,151-160,4,1
6,butter,8,0,136,146,adjacent_hard_control,vis_pgd,yes,10,pick_place_transfer,151-160,,0
7,butter,8,0,136,146,adjacent_hard_control,random_linf,yes,10,pick_place_transfer,151-160,6,0
8,ketchup,6,0,226,235,teacher_high,vis_pgd,yes,10,pick_place_transfer,226-235,,1
9,ketchup,6,0,226,235,teacher_high,random_linf,yes,10,pick_place_transfer,226-235,8,2
10,ketchup,6,0,211,221,adjacent_hard_control,vis_pgd,yes,10,pick_place_transfer,226-235,,2
11,ketchup,6,0,211,221,adjacent_hard_control,random_linf,yes,10,pick_place_transfer,226-235,10,1
12,bbq_sauce,0,0,157,166,teacher_high,vis_pgd,yes,10,pick_place_transfer,157-166,,0
13,bbq_sauce,0,0,157,166,teacher_high,random_linf,yes,10,pick_place_transfer,157-166,12,0
14,bbq_sauce,0,0,142,152,adjacent_hard_control,vis_pgd,yes,10,pick_place_transfer,157-166,,1
15,bbq_sauce,0,0,142,152,adjacent_hard_control,random_linf,yes,10,pick_place_transfer,157-166,14,2
16,alphabet_soup,9,0,146,155,teacher_high,vis_pgd,yes,10,pick_place_transfer,146-155,,2
17,alphabet_soup,9,0,146,155,teacher_high,random_linf,yes,10,pick_place_transfer,146-155,16,1
18,alphabet_soup,9,0,131,141,adjacent_hard_control,vis_pgd,yes,10,pick_place_transfer,146-155,,0
19,alphabet_soup,9,0,131,141,adjacent_hard_control,random_linf,yes,10,pick_place_transfer,146-155,18,0
20,salad_dressing,2,0,101,110,teacher_high,vis_pgd,yes,10,pick_place_transfer,101-110,,1
21,salad_dressing,2,0,101,110,teacher_high,random_linf,yes,10,pick_place_transfer,101-110,20,2
22,salad_dressing,2,0,86,96,adjacent_hard_control,vis_pgd,yes,10,pick_place_transfer,101-110,,2
23,salad_dressing,2,0,86,96,adjacent_hard_control,random_linf,yes,10,pick_place_transfer,101-110,22,1
24,tomato_sauce,5,0,136,145,teacher_high,vis_pgd,yes,10,pick_place_transfer,136-145,,0
25,tomato_sauce,5,0,136,145,teacher_high,random_linf,yes,10,pick_place_transfer,136-145,24,0
26,tomato_sauce,5,0,121,131,adjacent_hard_control,vis_pgd,yes,10,pick_place_transfer,136-145,,1
27,tomato_sauce,5,0,121,131,adjacent_hard_control,random_linf,yes,10,pick_place_transfer,136-145,26,2
28,salad_dressing,3,0,108,117,teacher_high,vis_pgd,yes,10,pick_place_transfer,108-117,,2
29,salad_dressing,3,0,108,117,teacher_high,random_linf,yes,10,pick_place_transfer,108-117,28,1
30,salad_dressing,3,0,93,103,adjacent_hard_control,vis_pgd,yes,10,pick_place_transfer,108-117,,0
31,salad_dressing,3,0,93,103,adjacent_hard_control,random_linf,yes,10,pick_place_transfer,108-117,30,0
32,milk,4,0,108,117,teacher_high,vis_pgd,yes,10,pick_place_transfer,108-117,,1
33,milk,4,0,108,117,teacher_high,random_linf,yes,10,pick_place_transfer,108-117,32,2
