row_id,episode_key,task_key,state_id,seed,window_start,window_end,stratum,train_use,exclude_reason,mechanism_type,teacher_window_original,opportunity_label,window_start,window_end,gripper_qpos_mean,gripper_qpos_std,gripper_qpos_min,gripper_qpos_max,gripper_qpos_at_start,gripper_qpos_range,gripper_is_closed,gripper_width_mean,gripper_width_std,gripper_command_mean,gripper_command_std,gripper_command_open_rate,clean_open_count,clean_open_rate,clean_longest_open_streak,eef_displacement,eef_z_mean,eef_z_trend,qpos_delta_from_pre,grip_command_delta_from_pre,window_start_frac,window_len_frac,n_window_frames,n_total_steps
0,alphabet_soup_s0,alphabet_soup,0,0,134,143,teacher_positive,train,,pick_place_transfer,134-143,1,134,143,0.030519,2e-05,0.03046,0.030533,0.03046,7.4e-05,0.0,0.030519,2e-05,0.0,0.0,0.0,0,0.0,0,0.071626,0.2338,-0.0701,8.4e-05,0.0,0.8428,0.0629,10,159
1,alphabet_soup_s0,alphabet_soup,0,0,5,20,far_too_early_control,train,,,,0,5,20,0.038639,0.000783,0.036165,0.039228,0.036165,0.003063,0.0,0.026831,0.01809,0.684804,0.461695,0.6875,11,0.6875,11,0.007878,0.248,-0.0026,0.01175,0.6848,0.0314,0.1006,16,159
2,alphabet_soup_s0,alphabet_soup,0,0,74,104,early_pregrasp_control,train,,,,0,74,104,0.030287,2.6e-05,0.030257,0.030344,0.030278,8.7e-05,0.0,0.030287,2.6e-05,0.0,0.0,0.0,0,0.0,0,0.298619,0.2367,0.198,-0.002006,-0.3984,0.4654,0.195,31,159
3,alphabet_soup_s0,alphabet_soup,0,0,65,76,random_noncritical_control,train,,,,0,65,76,0.030348,0.000239,0.029851,0.030862,0.029851,0.001011,0.0,0.030348,0.000239,0.0,0.0,0.0,0,0.0,0,0.040496,0.0943,0.0402,-0.006158,-0.8467,0.4088,0.0755,12,159
4,alphabet_soup_s2,alphabet_soup,2,0,116,125,teacher_positive,train,,pick_place_transfer,116-125,1,116,125,0.030546,1.5e-05,0.030522,0.030569,0.030522,4.7e-05,0.0,0.030546,1.5e-05,0.0,0.0,0.0,0,0.0,0,0.096032,0.2888,-0.005,6.7e-05,0.0,0.8,0.069,10,145
5,alphabet_soup_s2,alphabet_soup,2,0,5,20,far_too_early_control,train,,,,0,5,20,0.03863,0.000778,0.036168,0.039215,0.036168,0.003047,0.0,0.026822,0.018083,0.684804,0.461695,0.6875,11,0.6875,11,0.021348,0.2657,-0.0002,0.011738,0.6848,0.0345,0.1103,16,145
6,alphabet_soup_s2,alphabet_soup,2,0,56,86,early_pregrasp_control,train,,,,0,56,86,0.034725,0.004492,0.030436,0.039846,0.039767,0.009411,0.0,0.034725,0.004492,0.353447,0.476588,0.3548,11,0.3548,11,0.044535,0.1127,0.0158,-0.004908,-0.6426,0.3862,0.2138,31,145
7,alphabet_soup_s2,alphabet_soup,2,0,25,39,random_noncritical_control,train,,,,0,25,39,0.039452,5.8e-05,0.039346,0.039538,0.039346,0.000193,0.0,0.039452,5.8e-05,0.996078,0.0,1.0,15,1.0,15,0.14779,0.2734,0.0013,0.000691,0.249,0.1724,0.1034,15,145
8,alphabet_soup_s3,alphabet_soup,3,0,128,137,teacher_positive,train,,pick_place_transfer,128-137,1,128,137,0.033594,0.001339,0.032784,0.036418,0.032797,0.003634,0.0,0.033594,0.001339,0.0,0.0,0.0,0,0.0,0,0.063939,0.2084,-0.0547,0.00084,0.0,0.7758,0.0606,10,165
9,alphabet_soup_s3,alphabet_soup,3,0,5,20,far_too_early_control,train,,,,0,5,20,0.038633,0.000779,0.036174,0.039229,0.036174,0.003055,0.0,0.026824,0.018086,0.684804,0.461695,0.6875,11,0.6875,11,0.01725,0.2487,-0.0026,0.011738,0.6848,0.0303,0.097,16,165
