auroc,auprc,p_at_10,p_at_20,r_at_20,n_pos,n,model,holdout_task
1.0,1.0,0.8,0.4,1.0,8,24,LR,alphabet_soup
1.0,1.0,0.8,0.4,1.0,8,24,RF,alphabet_soup
1.0,1.0,0.4,0.3333,1.0,4,12,LR,bbq_sauce
1.0,1.0,0.4,0.3333,1.0,4,12,RF,bbq_sauce
1.0,1.0,0.8,0.4,1.0,8,24,LR,butter
1.0,1.0,0.8,0.4,1.0,8,24,RF,butter
1.0,1.0,1.0,0.5,1.0,10,30,LR,cream_cheese
1.0,1.0,1.0,0.5,1.0,10,30,RF,cream_cheese
1.0,1.0,1.0,0.5,1.0,10,30,LR,ketchup
1.0,1.0,1.0,0.5,1.0,10,30,RF,ketchup
0.9766,0.9659,0.7,0.4,1.0,8,24,LR,milk
0.9766,0.9659,0.7,0.4,1.0,8,24,RF,milk
1.0,1.0,0.8,0.4,1.0,8,24,LR,orange_juice
1.0,1.0,0.8,0.4,1.0,8,24,RF,orange_juice
1.0,1.0,0.9,0.45,1.0,9,27,LR,salad_dressing
1.0,1.0,0.9,0.45,1.0,9,27,RF,salad_dressing
1.0,1.0,0.9,0.45,1.0,9,27,LR,tomato_sauce
1.0,1.0,0.9,0.45,1.0,9,27,RF,tomato_sauce
0.5,0.28,0.2,0.3,0.75,8,24,TaskOnly,alphabet_soup
0.5,0.3333,0.3,0.3333,1.0,4,12,TaskOnly,bbq_sauce
0.5,0.28,0.2,0.3,0.75,8,24,TaskOnly,butter
0.5,0.2858,0.2,0.3,0.6,10,30,TaskOnly,cream_cheese
0.5,0.2858,0.2,0.3,0.6,10,30,TaskOnly,ketchup
0.5,0.28,0.2,0.3,0.75,8,24,TaskOnly,milk
0.5,0.28,0.2,0.3,0.75,8,24,TaskOnly,orange_juice
0.5,0.3531,0.3,0.3,0.6667,9,27,TaskOnly,salad_dressing
0.5,0.3531,0.3,0.3,0.6667,9,27,TaskOnly,tomato_sauce
