task_key,state_id,window_start,window_end,vis_open,vis_streak,rand_open,rand_streak,qpos_delta,arm_l2,cmd_susceptible,random_confounded,pending_negative_1r,has_qpos_response
tomato_sauce,0,199,208,1,1,3,2,0.0,0.39564,0,0,1,0
alphabet_soup,3,103,113,2,1,3,2,0.0,0.361136,0,0,1,0
cream_cheese,7,91,101,11,11,0,0,0.0,0.28144,1,0,0,0
milk,7,30,40,2,1,4,2,0.0,0.601174,0,0,1,0
alphabet_soup,9,131,141,10,8,4,3,0.0,0.692607,1,0,0,0
salad_dressing,3,93,103,3,1,1,1,0.0,0.794616,0,0,1,0
butter,7,143,153,1,1,1,1,0.0,0.718677,0,0,1,0
cream_cheese,9,111,120,8,4,5,2,0.0,0.042073,1,0,0,0
tomato_sauce,1,177,187,2,1,10,10,0.0,0.514425,0,1,0,0
milk,1,43,53,0,0,2,2,0.0,0.559411,0,0,1,0
bbq_sauce,9,108,118,6,2,5,2,0.0,0.291927,1,0,0,0
ketchup,9,148,157,2,1,5,3,0.0,0.507331,0,0,1,0
butter,9,115,125,2,1,3,1,0.0,0.390284,0,0,1,0
tomato_sauce,4,136,146,0,0,5,2,0.0,0.585382,0,0,1,0
cream_cheese,8,95,105,1,1,0,0,0.0,0.31632,0,0,1,0
salad_dressing,7,122,131,1,1,0,0,0.0,0.205624,0,0,1,0
orange_juice,8,67,77,2,1,0,0,0.0,0.216262,0,0,1,0
cream_cheese,3,110,120,3,1,0,0,0.0,0.061995,0,0,1,0
milk,1,86,96,1,1,0,0,0.0,0.31264,0,0,1,0
ketchup,7,117,127,0,0,0,0,0.0,0.522203,0,0,1,0
milk,9,100,110,2,1,1,1,0.0,0.528418,0,0,1,0
alphabet_soup,9,59,69,0,0,2,2,0.0,0.803846,0,0,1,0
salad_dressing,6,114,124,1,1,3,3,0.0,0.395389,0,0,1,0
cream_cheese,6,124,134,11,11,0,0,0.0,0.73617,1,0,0,0
butter,0,105,115,0,0,0,0,0.0,0.892239,0,0,1,0
butter,7,106,116,2,1,0,0,0.0,0.438563,0,0,1,0
orange_juice,7,160,170,0,0,0,0,0.0,0.714512,0,0,1,0
milk,9,125,134,0,0,2,2,0.0,0.349626,0,0,1,0
salad_dressing,2,49,59,10,9,1,1,0.0,0.674054,1,0,0,0
orange_juice,0,188,198,9,7,0,0,0.0,0.342748,1,0,0,0
cream_cheese,2,46,56,0,0,0,0,0.0,0.222868,0,0,1,0
bbq_sauce,0,157,166,1,1,6,4,0.0,0.583065,0,1,0,0
ketchup,1,135,145,0,0,0,0,0.0,0.634725,0,0,1,0
butter,3,198,208,3,2,1,1,0.0,0.217294,0,0,1,0
tomato_sauce,6,137,147,0,0,0,0,0.0,0.606091,0,0,1,0
salad_dressing,4,86,96,8,4,6,6,0.0,0.196752,0,1,0,0
cream_cheese,6,85,95,9,6,0,0,0.0,0.581867,1,0,0,0
ketchup,2,98,108,10,8,11,11,0.0,0.075346,0,1,0,0
orange_juice,2,98,108,6,2,0,0,0.0,0.148341,1,0,0,0
salad_dressing,5,124,134,3,2,3,1,0.0,0.480578,0,0,1,0
butter,8,136,146,6,2,0,0,0.0,0.453529,1,0,0,0
alphabet_soup,4,135,145,11,11,4,3,0.0,0.122699,1,0,0,0
ketchup,0,130,140,0,0,5,2,0.0,0.594487,0,0,1,0
tomato_sauce,5,156,166,0,0,4,2,0.0,0.395556,0,0,1,0
salad_dressing,1,81,91,7,5,3,1,0.0,0.288532,1,0,0,0
alphabet_soup,2,128,138,10,5,7,4,0.0,0.887951,0,1,0,0
ketchup,9,36,46,8,3,10,8,0.0,0.562106,0,1,0,0
ketchup,2,59,69,9,6,11,11,0.0,0.360699,0,1,0,0
ketchup,2,126,136,6,3,11,11,0.0,0.428158,0,1,0,0
salad_dressing,0,111,120,4,2,1,1,0.0,0.307206,0,0,1,0
tomato_sauce,5,136,145,0,0,2,2,0.0,0.501852,0,0,1,0
butter,3,39,49,8,5,3,3,0.0,0.800986,1,0,0,0
cream_cheese,3,135,144,0,0,0,0,0.0,0.132856,0,0,1,0
alphabet_soup,4,107,117,2,1,0,0,0.0,0.686107,0,0,1,0
tomato_sauce,1,157,166,6,3,7,6,0.0,0.645136,0,1,0,0
milk,7,93,103,10,7,5,3,0.0,0.716066,1,0,0,0
alphabet_soup,0,129,139,8,4,7,4,0.0,0.52653,0,1,0,0
milk,0,105,115,0,0,0,0,0.0,0.465342,0,0,1,0
ketchup,3,112,122,11,11,11,11,0.0,0.0,0,1,0,0
orange_juice,6,98,108,0,0,0,0,0.0,0.739212,0,0,1,0
tomato_sauce,6,98,108,11,11,11,11,0.0,0.92061,0,1,0,0
butter,5,135,145,8,6,3,2,0.0,0.557629,1,0,0,0
orange_juice,2,123,132,3,2,0,0,0.0,0.330461,0,0,1,0
bbq_sauce,4,102,112,2,1,5,3,0.0,0.418842,0,0,1,0
cream_cheese,2,100,110,7,4,0,0,0.0,0.336443,1,0,0,0
tomato_sauce,6,59,69,2,1,4,1,0.0,0.594991,0,0,1,0
tomato_sauce,3,96,106,0,0,3,2,0.0,0.509717,0,0,1,0
cream_cheese,5,109,119,6,4,0,0,0.0,0.020341,1,0,0,0
alphabet_soup,2,91,101,0,0,3,3,0.0,0.534852,0,0,1,0
butter,6,182,192,6,5,0,0,0.0,0.159371,1,0,0,0
salad_dressing,7,97,107,7,3,5,2,0.0,0.607614,1,0,0,0
orange_juice,1,96,106,11,11,0,0,0.0,0.865683,1,0,0,0
alphabet_soup,4,25,35,9,6,7,3,0.0,0.614199,0,1,0,0
butter,6,207,216,4,2,3,2,0.0,0.296382,0,0,1,0
alphabet_soup,8,131,140,3,2,9,5,0.0,0.269432,0,1,0,0
