auroc,auprc,p_at_10,n_pos,n,model,label,holdout_task
0.537,0.5119,0.2,3,12,LR,cmd_susceptible,alphabet_soup
0.463,0.4907,0.2,3,12,RF,cmd_susceptible,alphabet_soup
0.5,0.2126,0.2,3,12,TaskOnly,cmd_susceptible,alphabet_soup
0.4815,0.3056,0.3,3,12,Shuffle,cmd_susceptible,alphabet_soup
0.625,0.8333,0.5,2,4,LR,cmd_susceptible,bbq_sauce
0.625,0.8333,0.5,2,4,RF,cmd_susceptible,bbq_sauce
0.5,0.75,0.5,2,4,TaskOnly,cmd_susceptible,bbq_sauce
0.0,0.4167,0.5,2,4,Shuffle,cmd_susceptible,bbq_sauce
0.4,0.4986,0.3,5,13,LR,cmd_susceptible,butter
0.5,0.4189,0.4,5,13,RF,cmd_susceptible,butter
0.5,0.6226,0.5,5,13,TaskOnly,cmd_susceptible,butter
0.525,0.4903,0.4,5,13,Shuffle,cmd_susceptible,butter
0.2,0.4867,0.5,7,12,LR,cmd_susceptible,cream_cheese
0.4857,0.7398,0.5,7,12,RF,cmd_susceptible,cream_cheese
0.5,0.7744,0.5,7,12,TaskOnly,cmd_susceptible,cream_cheese
0.5714,0.7228,0.5,7,12,Shuffle,cmd_susceptible,cream_cheese
0.3393,0.4867,0.3,4,11,LR,cmd_susceptible,orange_juice
0.6964,0.5792,0.4,4,11,RF,cmd_susceptible,orange_juice
0.5,0.5481,0.3,4,11,TaskOnly,cmd_susceptible,orange_juice
0.6071,0.6,0.4,4,11,Shuffle,cmd_susceptible,orange_juice
0.425,0.3284,0.2,4,14,LR,cmd_susceptible,salad_dressing
0.5875,0.3814,0.3,4,14,RF,cmd_susceptible,salad_dressing
0.5,0.5347,0.3,4,14,TaskOnly,cmd_susceptible,salad_dressing
0.725,0.4512,0.4,4,14,Shuffle,cmd_susceptible,salad_dressing
