window_id,task_key,state_id,teacher_window_start,teacher_window_end,mechanism_type,mechanism_eligible,clean_success,gripper_command_mean,gripper_qpos_mean,gripper_width_mean,clean_open_count_in_window,clean_open_rate_in_window,first_approach_open_step,final_release_step,object_lifted_in_window,eef_z_mean_window,ceiling_open,release_safe_or_too_late,holding_phase,window_alignment_vs_natural_open,reanchored_window_start,reanchored_window_end,recommended_use,n_total_steps
alphabet_soup_s0_teacher_w134_143,alphabet_soup,0,134,143,pick_place_transfer,True,True,0.0,0.030519,0.030519,0,0.0,10,-1,True,0.2338,False,False,False,between_approach_and_release,134,143,use_teacher_window,159
alphabet_soup_s2_teacher_w116_125,alphabet_soup,2,116,125,pick_place_transfer,True,True,0.0,0.030546,0.030546,0,0.0,10,-1,True,0.2888,False,False,False,between_approach_and_release,116,125,use_teacher_window,145
alphabet_soup_s3_teacher_w128_137,alphabet_soup,3,128,137,pick_place_transfer,True,True,0.0,0.033594,0.033594,0,0.0,10,-1,True,0.2084,False,False,False,between_approach_and_release,128,137,use_teacher_window,165
alphabet_soup_s4_teacher_w132_141,alphabet_soup,4,132,141,pick_place_transfer,True,True,0.0,0.029583,0.029583,0,0.0,10,-1,True,0.1729,False,False,True,between_approach_and_release,132,141,use_teacher_window,152
alphabet_soup_s6_teacher_w136_145,alphabet_soup,6,136,145,pick_place_transfer,True,True,0.0,0.035983,0.035983,0,0.0,10,-1,True,0.2059,False,False,False,between_approach_and_release,136,145,use_teacher_window,156
alphabet_soup_s7_teacher_w151_160,alphabet_soup,7,151,160,pick_place_transfer,True,True,0.0,0.031458,0.031458,0,0.0,10,-1,True,0.2879,False,False,False,between_approach_and_release,151,160,use_teacher_window,179
alphabet_soup_s8_teacher_w131_140,alphabet_soup,8,131,140,pick_place_transfer,True,True,0.0,0.030784,0.030784,0,0.0,10,-1,True,0.2419,False,False,False,between_approach_and_release,131,140,use_teacher_window,152
alphabet_soup_s9_teacher_w146_155,alphabet_soup,9,146,155,pick_place_transfer,True,True,0.0,0.031406,0.031406,0,0.0,10,-1,True,0.1868,False,False,False,between_approach_and_release,146,155,use_teacher_window,173
bbq_sauce_s0_teacher_w157_166,bbq_sauce,0,157,166,pick_place_transfer,True,True,0.0,0.013456,0.013456,0,0.0,10,-1,True,0.2709,False,False,True,between_approach_and_release,157,166,use_teacher_window,177
bbq_sauce_s4_teacher_w127_136,bbq_sauce,4,127,136,pick_place_transfer,True,True,0.0,0.017726,0.017726,0,0.0,10,-1,True,0.2463,False,False,True,between_approach_and_release,127,136,use_teacher_window,147
bbq_sauce_s5_teacher_w180_189,bbq_sauce,5,180,189,pick_place_transfer,True,True,0.0,0.006539,0.006539,0,0.0,10,-1,True,0.2797,False,False,True,between_approach_and_release,180,189,use_teacher_window,200
bbq_sauce_s9_teacher_w128_137,bbq_sauce,9,128,137,pick_place_transfer,True,True,0.0,0.014625,0.014625,0,0.0,10,-1,True,0.2262,False,False,True,between_approach_and_release,128,137,use_teacher_window,148
butter_s0_teacher_w130_139,butter,0,130,139,pick_place_transfer,True,True,0.0,0.019716,0.019716,0,0.0,10,-1,True,0.2079,False,False,True,between_approach_and_release,130,139,use_teacher_window,151
butter_s2_teacher_w161_170,butter,2,161,170,pick_place_transfer,True,True,0.2988,0.01964,0.01964,3,0.3,10,-1,True,0.1819,False,False,True,between_approach_and_release,161,170,use_teacher_window,208
butter_s3_teacher_w223_232,butter,3,223,232,pick_place_transfer,True,True,0.0,0.019787,0.019787,0,0.0,10,-1,True,0.2206,False,False,True,between_approach_and_release,223,232,use_teacher_window,243
butter_s5_teacher_w150_159,butter,5,150,159,pick_place_transfer,True,True,0.0,0.019746,0.019746,0,0.0,10,-1,True,0.2399,False,False,True,between_approach_and_release,150,159,use_teacher_window,177
butter_s6_teacher_w207_216,butter,6,207,216,pick_place_transfer,True,True,0.0,0.019438,0.019438,0,0.0,11,-1,True,0.2066,False,False,True,between_approach_and_release,207,216,use_teacher_window,235
butter_s7_teacher_w131_140,butter,7,131,140,pick_place_transfer,True,True,0.0,0.01975,0.01975,0,0.0,10,-1,True,0.2105,False,False,True,between_approach_and_release,131,140,use_teacher_window,160
butter_s8_teacher_w151_160,butter,8,151,160,pick_place_transfer,True,True,0.0,0.019682,0.019682,0,0.0,10,-1,True,0.2412,False,False,True,between_approach_and_release,151,160,use_teacher_window,180
butter_s9_teacher_w130_139,butter,9,130,139,pick_place_transfer,True,True,0.0,0.019723,0.019723,0,0.0,10,-1,True,0.2565,False,False,True,between_approach_and_release,130,139,use_teacher_window,150
cream_cheese_s0_teacher_w143_152,cream_cheese,0,143,152,pick_place_transfer,True,True,0.0,0.020065,0.020065,0,0.0,10,-1,True,0.2151,False,False,True,between_approach_and_release,143,152,use_teacher_window,163
cream_cheese_s1_teacher_w128_137,cream_cheese,1,128,137,pick_place_transfer,True,True,0.1992,0.020088,0.020088,2,0.2,10,-1,True,0.1944,False,False,True,between_approach_and_release,128,137,use_teacher_window,163
cream_cheese_s2_teacher_w125_134,cream_cheese,2,125,134,pick_place_transfer,True,True,0.0,0.01952,0.01952,0,0.0,10,-1,True,0.2094,False,False,True,between_approach_and_release,125,134,use_teacher_window,145
cream_cheese_s3_teacher_w135_144,cream_cheese,3,135,144,pick_place_transfer,True,True,0.0,0.021363,0.021363,0,0.0,10,-1,True,0.223,False,False,True,between_approach_and_release,135,144,use_teacher_window,155
cream_cheese_s4_teacher_w166_175,cream_cheese,4,166,175,pick_place_transfer,True,True,0.0,0.020286,0.020286,0,0.0,10,-1,True,0.2223,False,False,True,between_approach_and_release,166,175,use_teacher_window,187
cream_cheese_s5_teacher_w134_143,cream_cheese,5,134,143,pick_place_transfer,True,True,0.0,0.021256,0.021256,0,0.0,10,-1,True,0.2222,False,False,True,between_approach_and_release,134,143,use_teacher_window,163
cream_cheese_s6_teacher_w110_119,cream_cheese,6,110,119,pick_place_transfer,True,True,0.0,0.021628,0.021628,0,0.0,10,-1,True,0.2317,False,False,True,between_approach_and_release,110,119,use_teacher_window,144
cream_cheese_s7_teacher_w113_122,cream_cheese,7,113,122,pick_place_transfer,True,True,0.0,0.019485,0.019485,0,0.0,10,-1,True,0.2201,False,False,True,between_approach_and_release,113,122,use_teacher_window,143
cream_cheese_s8_teacher_w113_122,cream_cheese,8,113,122,pick_place_transfer,True,True,0.0,0.020131,0.020131,0,0.0,10,-1,True,0.2201,False,False,True,between_approach_and_release,113,122,use_teacher_window,140
cream_cheese_s9_teacher_w111_120,cream_cheese,9,111,120,pick_place_transfer,True,True,0.0,0.022529,0.022529,0,0.0,10,-1,True,0.1899,False,False,True,between_approach_and_release,111,120,use_teacher_window,131
ketchup_s0_teacher_w145_154,ketchup,0,145,154,pick_place_transfer,True,True,0.0,0.017672,0.017672,0,0.0,10,-1,True,0.2555,False,False,True,between_approach_and_release,145,154,use_teacher_window,169
