candidate_id,task_key,state_id,window_start,window_end,phase_bin_proxy,expected_role,source_reason,targeted_v2_error,qpos_phase_class,denominator_plan,precheck_status
adp_0001,milk,4,19,36,approach_near_closed_proxy,hard_negative,adaptive_pool: milk priority=3,,,clean_random_precheck_required,pending
adp_0002,milk,5,25,42,approach_far_closed_proxy,hard_negative,adaptive_pool: milk priority=3,,,clean_random_precheck_required,pending
adp_0003,milk,5,57,74,natural_open_or_release_proxy,control,adaptive_pool: milk priority=3,,,clean_random_precheck_required,pending
adp_0004,milk,5,67,84,natural_open_or_release_proxy,control,adaptive_pool: milk priority=3,,,clean_random_precheck_required,pending
adp_0005,milk,5,77,94,natural_open_or_release_proxy,control,adaptive_pool: milk priority=3,,,clean_random_precheck_required,pending
adp_0006,milk,8,8,25,approach_far_closed_proxy,hard_negative,adaptive_pool: milk priority=3,,,clean_random_precheck_required,pending
adp_0007,milk,1,8,25,approach_far_closed_proxy,hard_negative,adaptive_pool: milk priority=3,,,clean_random_precheck_required,pending
adp_0008,milk,1,18,35,approach_near_closed_proxy,hard_negative,adaptive_pool: milk priority=3,,,clean_random_precheck_required,pending
adp_0009,milk,1,23,40,approach_near_closed_proxy,hard_negative,adaptive_pool: milk priority=3,,,clean_random_precheck_required,pending
adp_0010,milk,1,28,45,approach_near_closed_proxy,hard_negative,adaptive_pool: milk priority=3,,,clean_random_precheck_required,pending
adp_0011,milk,9,5,22,approach_far_closed_proxy,hard_negative,adaptive_pool: milk priority=3,,,clean_random_precheck_required,pending
adp_0012,milk,9,15,32,approach_near_closed_proxy,hard_negative,adaptive_pool: milk priority=3,,,clean_random_precheck_required,pending
adp_0013,milk,9,20,37,approach_near_closed_proxy,hard_negative,adaptive_pool: milk priority=3,,,clean_random_precheck_required,pending
adp_0014,milk,9,25,42,approach_near_closed_proxy,hard_negative,adaptive_pool: milk priority=3,,,clean_random_precheck_required,pending
adp_0015,ketchup,0,16,33,approach_far_closed_proxy,hard_negative,adaptive_pool: ketchup priority=3,,,clean_random_precheck_required,pending
adp_0016,ketchup,1,8,25,approach_near_closed_proxy,hard_negative,adaptive_pool: ketchup priority=3,,,clean_random_precheck_required,pending
