task,state_id,seed,window_source,selector_type,phase,window_start,window_end,n_vis,n_random,n_clean,n_valid,random_OPEN_max,random_done_all_true,random_qpos_opening_delta_max,random_qpos_abs_delta_max,random_armL2_max,clean_OPEN_mean,duplicate_condition_count,vis_action_bridge,vis_physical_bridge,vis_task_failure,random_all_clean,clean_any_confounded,claim_usable,taxonomy_label,denominator_clean,natural_release_confounded,action_bridge_positive,physical_bridge_positive,task_failure_positive,vis_OPEN_min,vis_OPEN_max,vis_OPEN_mean,vis_qpos_opening_delta_mean,vis_qpos_opening_delta_min,vis_qpos_abs_delta_mean,vis_done_all_false,prefix_armL2_max
alphabet_soup,3,0,fixed,fixed,grasp_formation,21,38,0,1,1,2,0,False,0.0,0.000316,0.348652,0.0,0,False,False,False,False,False,False,no_action_bridge+denominator_polluted,False,False,False,False,False,,,,,,,,
alphabet_soup,4,0,fixed,fixed,grasp_formation,4,21,1,1,1,3,0,True,0.0,0.005327,0.145284,0.0,0,True,True,True,True,False,True,claim_usable,True,False,True,True,True,18,18,18.0,0.032241,0.032241,0.032241,True,0.0
alphabet_soup,8,0,fixed,fixed,grasp_formation,29,46,0,1,1,2,4,True,0.009481,0.009481,0.254309,0.2222,0,False,False,False,False,False,False,no_action_bridge+denominator_polluted,False,False,False,False,False,,,,,,,,
bbq_sauce,0,0,fixed,fixed,grasp_formation,30,47,0,1,1,2,2,True,0.002203,0.002203,0.257361,0.0,0,False,False,False,False,False,False,no_action_bridge+denominator_polluted,False,False,False,False,False,,,,,,,,
bbq_sauce,5,0,fixed,fixed,grasp_formation,27,44,1,1,1,3,0,True,0.0,0.0003,0.272949,0.0,0,True,True,False,True,False,False,action_positive_physical_positive_task_negative,True,False,True,True,False,18,18,18.0,0.038119,0.038119,0.038119,False,0.0
bbq_sauce,9,0,fixed,fixed,grasp_formation,22,39,1,1,1,3,0,True,0.0,0.000374,0.237595,0.0,0,True,True,True,True,False,True,claim_usable,True,False,True,True,True,18,18,18.0,0.038021,0.038021,0.038021,True,0.0
butter,3,0,fixed,fixed,grasp_formation,29,46,0,1,1,2,6,False,6.6e-05,0.027516,1.440851,0.5,0,False,False,False,False,False,False,no_action_bridge+denominator_polluted,False,False,False,False,False,,,,,,,,
butter,5,0,fixed,fixed,grasp_formation,25,42,1,1,1,3,0,True,0.0,0.000548,0.337937,0.0556,0,True,True,True,True,False,True,claim_usable,True,False,True,True,True,18,18,18.0,0.037568,0.037568,0.037568,True,0.0
cream_cheese,4,0,fixed,fixed,grasp_formation,28,45,1,1,1,3,0,True,0.0,0.00029,0.203554,0.0,0,True,True,True,True,False,True,claim_usable,True,False,True,True,True,18,18,18.0,0.038149,0.038149,0.038149,True,0.0
ketchup,1,0,fixed,fixed,grasp_formation,21,38,1,1,1,3,0,True,0.0,0.000568,0.210626,0.0,0,True,True,True,True,False,True,claim_usable,True,False,True,True,True,18,18,18.0,0.037871,0.037871,0.037871,True,0.0
ketchup,2,0,fixed,fixed,grasp_formation,39,56,0,1,1,2,11,True,0.016401,0.016401,0.217634,0.7222,0,False,False,False,False,True,False,no_action_bridge+natural_release_confounded+denominator_polluted,False,True,False,False,False,,,,,,,,
ketchup,5,0,fixed,fixed,grasp_formation,9,26,1,1,1,3,0,True,0.0,0.000641,0.156623,0.0,0,True,True,False,True,False,False,action_positive_physical_positive_task_negative,True,False,True,True,False,18,18,18.0,0.037403,0.037403,0.037403,False,0.0
milk,1,0,fixed,fixed,grasp_formation,8,25,1,1,1,3,0,True,0.0,0.000874,0.185577,0.0,0,True,True,True,True,False,True,claim_usable,True,False,True,True,True,18,18,18.0,0.036838,0.036838,0.036838,True,0.0
milk,4,0,fixed,fixed,grasp_formation,19,36,1,1,1,3,0,True,0.0,0.000466,0.168753,0.0,0,True,True,True,True,False,True,claim_usable,True,False,True,True,True,18,18,18.0,0.03789,0.03789,0.03789,True,0.0
milk,5,0,fixed,fixed,grasp_formation,25,42,1,1,1,3,0,True,0.0,0.000397,0.150369,0.0,0,True,True,False,True,False,False,action_positive_physical_positive_task_negative,True,False,True,True,False,18,18,18.0,0.03799,0.03799,0.03799,False,0.0
milk,9,0,fixed,fixed,grasp_formation,5,22,0,1,1,2,0,False,0.0,0.003119,0.324741,0.0,0,False,False,False,False,False,False,no_action_bridge+denominator_polluted,False,False,False,False,False,,,,,,,,
salad_dressing,0,0,fixed,fixed,grasp_formation,31,48,0,0,1,1,,,,,,0.0,0,False,False,False,False,False,False,no_action_bridge+denominator_polluted,False,False,False,False,False,,,,,,,,
salad_dressing,0,0,fixed,fixed,grasp_formation,7,24,1,1,1,3,0,True,0.0,0.001271,0.294331,0.0,0,True,True,False,True,False,False,action_positive_physical_positive_task_negative,True,False,True,True,False,18,18,18.0,0.036668,0.036668,0.036668,False,0.0
