task,state_id,seed,window_source,selector_type,phase,window_start,window_end,n_vis,n_random,n_clean,n_valid,vis_OPEN_min,vis_OPEN_max,vis_OPEN_mean,vis_qpos_opening_delta_mean,vis_qpos_opening_delta_min,vis_qpos_abs_delta_mean,vis_done_all_false,prefix_armL2_max,random_OPEN_max,random_done_all_true,random_qpos_opening_delta_max,random_qpos_abs_delta_max,random_armL2_max,clean_OPEN_mean,duplicate_condition_count,vis_action_bridge,vis_physical_bridge,vis_task_failure,random_all_clean,clean_any_confounded,claim_usable,taxonomy_label,denominator_clean,natural_release_confounded,action_bridge_positive,physical_bridge_positive,task_failure_positive
alphabet_soup,6,0,fixed,fixed,grasp_formation,40,57,1,1,1,3,0,0,0.0,0.0,0.0,0.000155,False,0.0,0,True,0.0,0.000225,0.222866,0.0,0,False,False,False,True,False,False,no_action_bridge,True,False,False,False,False
bbq_sauce,0,0,fixed,fixed,grasp_formation,15,32,0,1,1,2,,,,,,,,,0,False,0.0,0.000491,0.190791,0.0,0,False,False,False,False,False,False,no_action_bridge+denominator_polluted,False,False,False,False,False
bbq_sauce,0,0,fixed,fixed,grasp_formation,5,22,1,1,1,3,1,1,1.0,0.0,0.0,0.0029,False,0.868976,0,True,0.0,0.003125,0.223792,0.0,0,False,False,False,True,False,False,no_action_bridge,True,False,False,False,False
ketchup,4,0,fixed,fixed,grasp_formation,28,45,1,1,1,3,0,0,0.0,0.0,0.0,0.000318,False,0.0,0,True,0.0,0.000321,0.20842,0.0,0,False,False,False,True,False,False,no_action_bridge,True,False,False,False,False
milk,1,0,fixed,fixed,grasp_formation,18,35,1,1,1,3,0,0,0.0,0.0,0.0,0.000395,False,0.0,0,True,0.0,0.000509,0.223256,0.0,0,False,False,False,True,False,False,no_action_bridge,True,False,False,False,False
milk,8,0,fixed,fixed,grasp_formation,8,25,1,1,1,3,0,0,0.0,0.0,0.0,0.001782,False,0.0,0,True,0.0,0.001764,0.306227,0.0,0,False,False,False,True,False,False,no_action_bridge,True,False,False,False,False
orange_juice,2,0,fixed,fixed,grasp_formation,17,34,1,1,1,3,0,0,0.0,0.0,0.0,0.000444,False,0.0,0,True,0.0,0.000435,0.353834,0.0,0,False,False,False,True,False,False,no_action_bridge,True,False,False,False,False
salad_dressing,5,0,fixed,fixed,grasp_formation,28,45,1,1,1,3,0,0,0.0,0.0,0.0,0.000242,False,0.0,0,True,0.0,0.000241,0.222348,0.0,0,False,False,False,True,False,False,no_action_bridge,True,False,False,False,False
tomato_sauce,1,0,fixed,fixed,grasp_formation,23,40,1,1,1,3,1,1,1.0,4e-06,4e-06,0.000336,False,1.335516,0,True,0.0,0.000349,0.305467,0.0,0,False,False,False,True,False,False,no_action_bridge,True,False,False,False,False
tomato_sauce,3,0,fixed,fixed,grasp_formation,17,34,1,1,1,3,0,0,0.0,0.0,0.0,0.000423,False,0.0,0,True,0.0,0.000415,0.341874,0.0,0,False,False,False,True,False,False,no_action_bridge,True,False,False,False,False
