candidate_id,task_key,state_id,window_start,window_end,phase_bin_proxy,candidate_role,expected_role,reason_selected,denominator_plan,precheck_status
b4_01,milk,9,10,27,far_closed,approach_far_closed_proxy,hard_negative,"FP_fix: milk FPx3, state=9 unused",clean_random_precheck,pending
b4_02,milk,1,30,47,near_closed,approach_near_closed_proxy,hard_negative,"FP_fix: milk_s1 FP, shifted later",clean_random_precheck,pending
b4_03,milk,5,35,52,pre_lock,pre_lock_closed_proxy,hard_negative,"FP_fix: milk_s5 FP, pre_lock phase",clean_random_precheck,pending
b4_04,ketchup,2,15,32,far_closed,approach_far_closed_proxy,hard_negative,"FP_fix: ketchup FPx2, state=2",clean_random_precheck,pending
b4_05,ketchup,3,25,42,near_closed,approach_near_closed_proxy,hard_negative,"FP_fix: ketchup FPx2, state=3",clean_random_precheck,pending
b4_06,alphabet_soup,7,20,37,far_closed,approach_far_closed_proxy,hard_negative,"FP_fix: alphabet_s6 FP, state=7",clean_random_precheck,pending
b4_07,butter,6,12,29,far_closed,approach_far_closed_proxy,hard_negative,"task_balance: butter 0 neg, state=6",clean_random_precheck,pending
b4_08,butter,9,30,47,near_closed,approach_near_closed_proxy,hard_negative,"task_balance: butter neg, state=9",clean_random_precheck,pending
b4_09,orange_juice,6,15,32,far_closed,approach_far_closed_proxy,likely_positive,task_balance: orange_juice 0 pos,clean_random_precheck,pending
b4_10,orange_juice,7,25,42,near_closed,approach_near_closed_proxy,likely_positive,task_balance: orange_juice pos,clean_random_precheck,pending
b4_11,tomato_sauce,0,15,32,far_closed,approach_far_closed_proxy,likely_positive,task_balance: tomato_sauce 0 pos,clean_random_precheck,pending
b4_12,bbq_sauce,4,18,35,near_closed,approach_near_closed_proxy,likely_positive,FN_fix: bbq_sauce_s9 was FN,clean_random_precheck,pending
b4_13,ketchup,0,60,77,stable_post_lock,stable_post_lock_control,control,control: stable_post_lock ketchup s0,clean_random_precheck,pending
b4_14,milk,4,55,72,stable_post_lock,stable_post_lock_control,control,control: stable_post_lock milk s4,clean_random_precheck,pending
