source_batch,task_key,state_id,window_start,window_end,label_vulnerability_ready,label_status,exclusion_reason
batch1,alphabet_soup,0,3,20,,ignore,weak_physical_uncertain
batch2b,alphabet_soup,2,11,28,1,positive,
batch3,alphabet_soup,4,4,21,1,positive,
batch2b,bbq_sauce,0,25,42,0,negative,physical_strong_task_negative
batch2b,bbq_sauce,4,14,31,0,negative,physical_strong_task_negative
batch3,bbq_sauce,5,27,44,0,negative,physical_strong_task_negative
batch3,bbq_sauce,9,22,39,1,positive,
batch1,butter,0,29,46,1,positive,
batch2b,butter,0,32,49,0,negative,physical_strong_task_negative
batch2b,butter,2,23,40,1,positive,
batch3,butter,5,25,42,1,positive,
batch3,cream_cheese,4,28,45,1,positive,
batch1,ketchup,0,16,33,1,positive,
batch2b,ketchup,1,28,45,0,negative,physical_strong_task_negative
batch3,ketchup,1,21,38,1,positive,
batch3,ketchup,5,9,26,0,negative,physical_strong_task_negative
batch3,milk,1,8,25,1,positive,
batch3,milk,4,19,36,1,positive,
batch3,milk,5,25,42,0,negative,physical_strong_task_negative
batch3,salad_dressing,0,7,24,0,negative,physical_strong_task_negative
