window_id,task_key,state_id,window_start,window_end,feature_source,features_available,n_window_frames,n_total_steps,gripper_qpos_mean,gripper_qpos_std,gripper_qpos_min,gripper_qpos_max,gripper_qpos_at_start,gripper_qpos_range,gripper_is_closed,gripper_is_open,gripper_width_mean,gripper_width_std,gripper_command_mean,gripper_command_std,gripper_command_open_rate,grip_action_mean,grip_action_std,clean_open_count,clean_open_rate,clean_longest_open_streak,eef_displacement,eef_z_mean,eef_z_trend,qpos_delta_from_pre,grip_delta_from_pre,window_start_frac,window_center_frac,steps_remaining,vis_open_count,label_status,phys_resp
ketchup_s0_w16_33,ketchup,0,16,33,object100_step_records_legacy_vis_window,yes,18,169,0.039334,0.000131,0.039087,0.03951,0.039087,0.000423,0.0,1.0,0.039334,0.000131,0.996078,0.0,1.0,-1.0,0.0,18,1.0,18,0.087232,0.2599,-0.0038,0.00453,0.6225,0.0947,0.145,136,18,positive,1
butter_s0_w29_46,butter,0,29,46,object100_step_records_legacy_vis_window,yes,18,151,0.039557,7.9e-05,0.039429,0.03969,0.039429,0.000262,0.0,1.0,0.039557,7.9e-05,0.996078,0.0,1.0,-1.0,0.0,18,1.0,18,0.167112,0.2324,-0.0773,0.000421,0.0498,0.1921,0.2483,105,18,positive,1
alphabet_soup_s0_w3_20,alphabet_soup,0,3,20,object100_step_records_legacy_vis_window,yes,18,159,0.03791,0.002274,0.030225,0.039228,0.030225,0.009003,0.0,1.0,0.02385,0.019026,0.608715,0.485586,0.6111,-0.611111,0.487498,11,0.6111,11,0.007656,0.2481,-0.0024,0.014486,0.6087,0.0189,0.0723,139,18,ignore,0.5
alphabet_soup_s3_w21_38,alphabet_soup,3,21,38,object100_step_records_legacy_vis_window,yes,18,165,0.039439,9.1e-05,0.039263,0.039569,0.039263,0.000306,0.0,1.0,0.039439,9.1e-05,0.996078,0.0,1.0,-1.0,0.0,18,1.0,18,0.132695,0.245,-0.004,0.002861,0.4482,0.1273,0.1788,127,0,ignore,0
alphabet_soup_s4_w4_21,alphabet_soup,4,4,21,object100_step_records_legacy_vis_window,yes,18,152,0.038378,0.001304,0.033936,0.039194,0.033936,0.005258,0.0,1.0,0.025998,0.018383,0.664052,0.469556,0.6667,-0.666667,0.471405,12,0.6667,12,0.072617,0.2765,0.0024,0.013259,0.6641,0.0263,0.0822,131,18,positive,1
alphabet_soup_s8_w29_46,alphabet_soup,8,29,46,object100_step_records_legacy_vis_window,yes,18,152,0.039571,8.9e-05,0.039429,0.039716,0.039429,0.000286,0.0,1.0,0.039571,8.9e-05,0.996078,0.0,1.0,-1.0,0.0,18,1.0,18,0.137528,0.2256,-0.073,0.000433,0.0498,0.1908,0.2467,106,0,ignore,0
bbq_sauce_s0_w30_47,bbq_sauce,0,30,47,object100_step_records_legacy_vis_window,yes,18,177,0.039624,8.3e-05,0.039477,0.039746,0.039477,0.00027,0.0,1.0,0.039624,8.3e-05,0.996078,0.0,1.0,-1.0,0.0,18,1.0,18,0.127404,0.225,-0.0605,0.000446,0.0,0.1695,0.2175,130,0,ignore,0
bbq_sauce_s5_w27_44,bbq_sauce,5,27,44,object100_step_records_legacy_vis_window,yes,18,200,0.039572,7.7e-05,0.039429,0.03969,0.039429,0.000262,0.0,1.0,0.039572,7.7e-05,0.996078,0.0,1.0,-1.0,0.0,18,1.0,18,0.157691,0.2537,-0.008,0.000537,0.1494,0.135,0.1775,156,18,negative,1
bbq_sauce_s9_w22_39,bbq_sauce,9,22,39,object100_step_records_legacy_vis_window,yes,18,148,0.039475,9.5e-05,0.039294,0.039613,0.039294,0.000319,0.0,1.0,0.039475,9.5e-05,0.996078,0.0,1.0,-1.0,0.0,18,1.0,18,0.141029,0.2584,-0.0073,0.002083,0.3984,0.1486,0.2061,109,18,positive,1
butter_s3_w29_46,butter,3,29,46,object100_step_records_legacy_vis_window,yes,18,243,0.03958,7.1e-05,0.039453,0.0397,0.039453,0.000247,0.0,1.0,0.03958,7.1e-05,0.996078,0.0,1.0,-1.0,0.0,18,1.0,18,0.165108,0.2594,-0.03,0.000438,0.0498,0.1193,0.1543,197,0,ignore,0
butter_s5_w25_42,butter,5,25,42,object100_step_records_legacy_vis_window,yes,18,177,0.039164,0.000158,0.038882,0.039407,0.038882,0.000526,0.0,1.0,0.039164,0.000158,0.996078,0.0,1.0,-1.0,0.0,18,1.0,18,0.17317,0.2568,0.0011,0.000726,0.3486,0.1412,0.1893,135,18,positive,1
cream_cheese_s4_w28_45,cream_cheese,4,28,45,object100_step_records_legacy_vis_window,yes,18,187,0.039584,8e-05,0.039442,0.039706,0.039442,0.000264,0.0,1.0,0.039584,8e-05,0.996078,0.0,1.0,-1.0,0.0,18,1.0,18,0.167826,0.2308,-0.0458,0.000484,0.0996,0.1497,0.1952,142,18,positive,1
ketchup_s1_w21_38,ketchup,1,21,38,object100_step_records_legacy_vis_window,yes,18,190,0.039433,8.9e-05,0.039263,0.039563,0.039263,0.0003,0.0,1.0,0.039433,8.9e-05,0.996078,0.0,1.0,-1.0,0.0,18,1.0,18,0.166761,0.2445,-0.0046,0.002855,0.4482,0.1105,0.1553,152,18,positive,1
ketchup_s2_w39_56,ketchup,2,39,56,object100_step_records_legacy_vis_window,yes,18,150,0.039644,7.9e-05,0.039513,0.039763,0.039513,0.000251,0.0,1.0,0.039644,7.9e-05,0.996078,0.0,1.0,-1.0,0.0,18,1.0,18,0.09711,0.2341,-0.0676,0.000343,0.0,0.26,0.3167,94,0,ignore,0
ketchup_s5_w9_26,ketchup,5,9,26,object100_step_records_legacy_vis_window,yes,18,134,0.039095,0.000196,0.038721,0.039355,0.038721,0.000634,0.0,1.0,0.036943,0.008962,0.940741,0.228163,0.9444,-0.944444,0.229061,17,0.9444,17,0.09639,0.2546,-0.0062,0.007477,0.9407,0.0672,0.1306,108,18,negative,1
milk_s1_w8_25,milk,1,8,25,object100_step_records_legacy_vis_window,yes,18,133,0.039056,0.000235,0.038505,0.03935,0.038505,0.000845,0.0,1.0,0.034765,0.012293,0.885403,0.313037,0.8889,-0.888889,0.31427,16,0.8889,16,0.051854,0.2523,-0.0059,0.008287,0.8854,0.0602,0.1241,108,18,positive,1
milk_s4_w19_36,milk,4,19,36,object100_step_records_legacy_vis_window,yes,18,135,0.039002,0.000205,0.038606,0.039313,0.038606,0.000707,0.0,1.0,0.039002,0.000205,0.996078,0.0,1.0,-1.0,0.0,18,1.0,18,0.176264,0.2611,-0.0211,0.003618,0.5767,0.1407,0.2037,99,18,positive,1
milk_s5_w25_42,milk,5,25,42,object100_step_records_legacy_vis_window,yes,18,251,0.039544,8e-05,0.039385,0.039647,0.039385,0.000262,0.0,1.0,0.039544,8e-05,0.996078,0.0,1.0,-1.0,0.0,18,1.0,18,0.106255,0.2589,-0.0089,0.00077,0.249,0.0996,0.1335,209,18,negative,1
milk_s9_w5_22,milk,9,5,22,object100_step_records_legacy_vis_window,yes,18,166,0.038717,0.000773,0.036156,0.039297,0.036156,0.003141,0.0,1.0,0.028223,0.017504,0.71939,0.446147,0.7222,-0.722222,0.447903,13,0.7222,13,0.046159,0.257,-0.0029,0.01184,0.7194,0.0301,0.0813,144,0,ignore,0
salad_dressing_s0_w31_48,salad_dressing,0,31,48,object100_step_records_legacy_vis_window,yes,18,131,0.039627,7.6e-05,0.03949,0.039736,0.03949,0.000246,0.0,1.0,0.039627,7.6e-05,0.996078,0.0,1.0,-1.0,0.0,18,1.0,18,0.128948,0.2241,-0.0697,0.000415,0.0,0.2366,0.3015,83,0,ignore,0
salad_dressing_s0_w7_24,salad_dressing,0,7,24,object100_step_records_legacy_vis_window,yes,18,131,0.038989,0.000307,0.038117,0.039333,0.038117,0.001216,0.0,1.0,0.032581,0.014572,0.830065,0.371217,0.8333,-0.833333,0.372678,15,0.8333,15,0.05475,0.2585,-0.0082,0.009263,0.8301,0.0534,0.1183,107,18,negative,1
alphabet_soup_s6_w40_57,alphabet_soup,6,40,57,object100_step_records_legacy_vis_window,yes,18,156,0.039391,0.000137,0.039151,0.039593,0.039151,0.000442,0.0,1.0,0.039391,0.000137,0.996078,0.0,1.0,-1.0,0.0,18,1.0,18,0.123086,0.2305,-0.1081,0.000418,0.0498,0.2564,0.3109,99,0,negative,0
bbq_sauce_s0_w15_32,bbq_sauce,0,15,32,object100_step_records_legacy_vis_window,yes,18,177,0.039312,0.000142,0.039047,0.039517,0.039047,0.00047,0.0,1.0,0.039312,0.000142,0.996078,0.0,1.0,-1.0,0.0,18,1.0,18,0.132024,0.2496,-0.0045,0.004792,0.6641,0.0847,0.1328,145,0,ignore,0
bbq_sauce_s0_w5_22,bbq_sauce,0,5,22,object100_step_records_legacy_vis_window,yes,18,177,0.038709,0.000765,0.036165,0.039287,0.036165,0.003122,0.0,1.0,0.028213,0.017498,0.71939,0.446147,0.7222,-0.722222,0.447903,13,0.7222,13,0.036934,0.2511,-0.0012,0.011821,0.7194,0.0282,0.0763,155,1,negative,0
ketchup_s4_w28_45,ketchup,4,28,45,object100_step_records_legacy_vis_window,yes,18,143,0.039545,0.000103,0.03937,0.0397,0.03937,0.000331,0.0,1.0,0.039545,0.000103,0.996078,0.0,1.0,-1.0,0.0,18,1.0,18,0.106634,0.2501,-0.0611,0.000499,0.0996,0.1958,0.2552,98,0,negative,0
milk_s1_w18_35,milk,1,18,35,object100_step_records_legacy_vis_window,yes,18,133,0.039365,0.000106,0.039161,0.039517,0.039161,0.000356,0.0,1.0,0.039365,0.000106,0.996078,0.0,1.0,-1.0,0.0,18,1.0,18,0.156623,0.2474,-0.0121,0.004085,0.5534,0.1353,0.1992,98,0,negative,0
milk_s8_w8_25,milk,8,8,25,object100_step_records_legacy_vis_window,yes,18,162,0.039059,0.000237,0.038502,0.039358,0.038502,0.000856,0.0,1.0,0.034769,0.012294,0.885403,0.313037,0.8889,-0.888889,0.31427,16,0.8889,16,0.046467,0.2591,-0.0051,0.0083,0.8854,0.0494,0.1019,137,0,negative,0
orange_juice_s2_w17_34,orange_juice,2,17,34,object100_step_records_legacy_vis_window,yes,18,143,0.038983,0.000231,0.038467,0.039266,0.039129,0.000799,0.0,1.0,0.038983,0.000231,0.940741,0.228163,0.9444,-0.888889,0.458123,17,0.9444,16,0.144755,0.256,-0.0131,0.00392,0.5306,0.1189,0.1783,109,0,negative,0
salad_dressing_s5_w28_45,salad_dressing,5,28,45,object100_step_records_legacy_vis_window,yes,18,169,0.039611,7.9e-05,0.039461,0.039716,0.039461,0.000255,0.0,1.0,0.039611,7.9e-05,0.996078,0.0,1.0,-1.0,0.0,18,1.0,18,0.061591,0.2571,-0.0078,0.000509,0.0996,0.1657,0.216,124,0,negative,0
tomato_sauce_s1_w23_40,tomato_sauce,1,23,40,object100_step_records_legacy_vis_window,yes,18,195,0.039507,0.000101,0.039323,0.039653,0.039323,0.00033,0.0,1.0,0.039507,0.000101,0.996078,0.0,1.0,-1.0,0.0,18,1.0,18,0.178761,0.2263,-0.0325,0.001462,0.3486,0.1179,0.1615,155,1,negative,0
tomato_sauce_s3_w17_34,tomato_sauce,3,17,34,object100_step_records_legacy_vis_window,yes,18,151,0.039381,0.000137,0.039128,0.039576,0.039128,0.000449,0.0,1.0,0.039381,0.000137,0.996078,0.0,1.0,-1.0,0.0,18,1.0,18,0.077538,0.245,-0.012,0.004324,0.5859,0.1126,0.1689,117,0,negative,0
