task_key,state_id,window_start,window_end,label_status,mechanism_type,taxonomy,logit_margin_min,logit_margin_max,logit_margin_mean,logit_margin_std,logit_margin_range,entropy_mean,entropy_max,top2_margin_min,top2_margin_mean,open_mass_max,open_mass_mean,all_action_entropy_mean,low_margin_step_count,longest_low_margin_streak,n_steps
ketchup,2,39,56,ignore,?,polluted,-51.31224641395186,-32.16010980335038,-41.25280406494921,5.112693937730845,19.15213661060148,0.045782663726596534,0.6628481149673462,2.5535714626312256,7.3938492271635265,1.079050772210188e-14,9.549304537683405e-16,0.45530517482095295,0,0,18
ketchup,1,21,38,positive,physical_bridge_positive,claim_usable,-62.02082554201109,-40.499990289299106,-50.28588221770033,5.468465549738996,21.520835252711983,8.860349143762708e-07,8.877637469595356e-07,6.339285850524902,8.31051590707567,2.5767817590272135e-18,1.9233133200564712e-19,0.5022864258951611,0,0,18
bbq_sauce,0,5,22,negative,negative_unclassified,no_action_bridge,-51.80808694183949,-40.749557461971364,-46.423681452377174,2.719247377427404,11.058529479868128,0.0014771193535144296,0.026465054601430893,4.535714149475098,9.113095177544487,2.0076676423154702e-18,1.5367415818595995e-19,0.3095424796144168,0,0,18
cream_cheese,4,28,45,positive,physical_bridge_positive,claim_usable,-51.62488606870567,-40.874987295048484,-46.91611717863116,2.6491441708080563,10.749898773657186,8.93726770022517e-07,1.0207955938312807e-06,5.875,11.450396908654106,1.7709998953306264e-18,1.1214690456850238e-19,0.256255148909986,0,0,18
alphabet_soup,6,40,57,negative,negative_unclassified,no_action_bridge,-58.57690660222357,-47.06017955624013,-50.500781161717896,2.8846133931990594,11.516727045983444,8.884475259189154e-07,9.184115015159477e-07,7.232142925262451,9.249007966783312,3.6477404855624084e-21,7.644928323051113e-22,0.4063735285566913,0,0,18
butter,5,25,42,positive,physical_bridge_positive,claim_usable,-57.49987523396214,-39.99793178805604,-46.31928138091972,3.7420922251236117,17.5019434459061,8.859857985044073e-07,8.867093583830865e-07,6.357142925262451,8.799603197309706,4.257148301821017e-18,3.5031855684233664e-19,0.40458594717913204,0,0,18
salad_dressing,0,7,24,negative,negative_unclassified,action_positive_physical_positive_task_negative,-51.41637411366374,-38.92988056298083,-41.27526584054799,2.589980349091033,12.486493550682916,1.1449578914203408e-05,0.00010145259875571355,9.017857551574707,10.28968260023329,1.238704290787139e-17,2.8086462263046e-18,0.2921198453340266,0,0,18
butter,3,29,46,ignore,?,polluted,-51.686454309307486,-32.62449089121065,-40.76358477201339,5.322000744883261,19.061963418096838,0.06950707863973725,0.6628481149673462,2.2857143878936768,6.024305635028416,6.782091164711512e-15,4.609884055829972e-16,0.5069962251517508,0,0,18
milk,5,25,42,negative,negative_unclassified,action_positive_physical_positive_task_negative,-56.82869930591927,-43.097591356790446,-51.71045089664418,3.0622764625005785,13.731107949128827,8.859393447993272e-07,8.860100706442608e-07,6.285714149475098,9.174603038363987,1.9184646143047224e-19,1.0844312939385944e-20,0.4547908802827199,0,0,18
bbq_sauce,9,22,39,positive,physical_bridge_positive,claim_usable,-58.74981193009482,-41.06187961707603,-51.43528066864653,4.442699894169397,17.68793231301879,8.859362468329992e-07,8.859877311806486e-07,7.964285850524902,10.395833333333334,1.4691029599865353e-18,8.441268873926392e-20,0.3602542757160134,0,0,18
