task_key,state_id,window_start,window_end,window_len_steps,n_trace_steps,gripper_qpos_mean,gripper_qpos_std,gripper_qpos_min,gripper_qpos_max,gripper_qpos_at_start,gripper_qpos_range,gripper_is_closed,gripper_is_open,grip_open_count,grip_close_count,grip_open_rate,grip_action_mean,grip_action_std,grip_action_switches,clean_longest_open_streak,raw_grip_mean,raw_grip_std,eef_displacement,eef_velocity_mean,eef_z_mean,eef_z_std,eef_z_trend,hazard_mean,hazard_max,hazard_above_001,hazard_above_003,release_mean,phase_mode,qpos_delta_from_pre,grip_action_delta_from_pre,window_start_frac,window_center_frac,window_len_frac,step_at_start,steps_remaining,trace_available,trace_path
ketchup,0,16,33,18,300,0.5,0.0,0.5,0.5,0.5,0.0,0.0,1.0,18,0,1.0,1.0,0.0,0,18,0.0,0.0,0.002588,0.000177,0.2643,0.0005,-0.0016,0.004237,0.00528,0,0,8.6e-05,0,-0.0,0.0,0.0533,0.0817,0.06,16,267,yes,vis_ketchup_s0_clean_224501_trace.csv
butter,0,29,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,
alphabet_soup,0,3,20,18,300,0.5,0.0,0.5,0.5,0.5,0.0,0.0,1.0,12,6,0.6667,0.3333,0.9428,8,5,0.332026,0.469556,0.032618,0.00225,0.264,0.0077,0.0195,0.008299,0.013296,8,0,0.000402,0,0.0,-0.6667,0.01,0.0383,0.06,3,280,yes,vis_alphabet_soup_s0_clean_221555_trace.csv
alphabet_soup,3,21,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,
alphabet_soup,4,4,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,
alphabet_soup,8,29,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,
bbq_sauce,0,30,47,18,300,0.5,0.0,0.5,0.5,0.5,0.0,0.0,1.0,1,17,0.0556,-0.8889,0.4581,2,1,0.940741,0.228163,0.011974,0.000768,0.2945,0.0018,0.0063,0.015475,0.0203,18,0,0.00116,0,0.0,-0.2889,0.1,0.1283,0.06,30,253,yes,vis_bbq_sauce_s0_clean_221754_trace.csv
bbq_sauce,5,27,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,
bbq_sauce,9,22,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,
butter,3,29,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,
butter,5,25,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,
cream_cheese,4,28,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,
ketchup,1,21,38,18,300,0.5,0.0,0.5,0.5,0.5,0.0,0.0,1.0,18,0,1.0,1.0,0.0,0,18,0.0,0.0,0.002265,0.000246,0.251,0.0006,0.0008,0.003621,0.00414,0,0,5.8e-05,0,-0.0,0.0,0.07,0.0983,0.06,21,262,yes,vis_ketchup_s1_clean_224719_trace.csv
