task_key,state_id,window_start,window_end,n_steps,distance_to_boundary_min,distance_to_boundary_mean,distance_to_boundary_max,distance_to_boundary_std,low_margin_step_count,low_margin_step_ratio,longest_low_margin_streak,gripper_action_mean,gripper_action_std,gripper_action_delta,gripper_action_min,gripper_action_max,open_close_flip_count,open_close_flip_rate,open_fraction,margin_reversal_flag,trace_source,label_status,label_source,train_use,taxonomy
alphabet_soup,0,3,20,16,0.496078,0.496078,0.496078,0.0,0,0.0,0,0.996078,0.0,0.0,0.996078,0.996078,0,0.0,0.0,0,vis_alphabet_soup_state0_clean_full_d18_w3_20_seed0_143235_trace.csv,ignore,labels_v2,ignore,weak_physical_uncertain
alphabet_soup,3,21,38,18,0.496078,0.496078,0.496078,0.0,0,0.0,0,0.996078,0.0,0.0,0.996078,0.996078,0,0.0,0.0,0,vis_alphabet_soup_state3_clean_full_d18_w21_38_seed0_114230_trace.csv,ignore,labels_v2,ignore,polluted
alphabet_soup,4,4,21,17,0.496078,0.496078,0.496078,0.0,0,0.0,0,0.996078,0.0,0.0,0.996078,0.996078,0,0.0,0.0,0,vis_alphabet_soup_state4_clean_full_d18_w4_21_seed0_223215_trace.csv,positive,labels_v2,train,claim_usable
alphabet_soup,6,40,57,18,0.496078,0.496078,0.496078,0.0,0,0.0,0,0.996078,0.0,0.0,0.996078,0.996078,0,0.0,0.0,0,vis_alphabet_soup_state6_clean_full_d18_w40_57_seed0_125439_trace.csv,negative,labels_v2,train,no_action_bridge
alphabet_soup,8,29,46,18,0.496078,0.496078,0.496078,0.0,0,0.0,0,0.996078,0.0,0.0,0.996078,0.996078,0,0.0,0.0,0,vis_alphabet_soup_state8_clean_full_d18_w29_46_seed0_225354_trace.csv,ignore,labels_v2,ignore,polluted
bbq_sauce,0,15,32,18,0.496078,0.496078,0.496078,0.0,0,0.0,0,0.996078,0.0,0.0,0.996078,0.996078,0,0.0,0.0,0,vis_bbq_sauce_state0_clean_full_d18_w15_32_seed0_143104_trace.csv,ignore,labels_v2,ignore,polluted
bbq_sauce,0,30,47,18,0.496078,0.496078,0.496078,0.0,0,0.0,0,0.996078,0.0,0.0,0.996078,0.996078,0,0.0,0.0,0,vis_bbq_sauce_state0_clean_full_d18_w30_47_seed0_231058_trace.csv,ignore,labels_v2,ignore,polluted
bbq_sauce,0,5,22,18,0.496078,0.496078,0.496078,0.0,0,0.0,0,0.996078,0.0,0.0,0.996078,0.996078,0,0.0,0.0,0,vis_bbq_sauce_state0_clean_full_d18_w5_22_seed0_140622_trace.csv,negative,labels_v2,train,no_action_bridge
bbq_sauce,5,27,44,18,0.496078,0.496078,0.496078,0.0,0,0.0,0,0.996078,0.0,0.0,0.996078,0.996078,0,0.0,0.0,0,vis_bbq_sauce_state5_clean_full_d18_w27_44_seed0_152525_trace.csv,negative,labels_v2,train,action_positive_physical_positive_task_negative
bbq_sauce,9,22,39,18,0.496078,0.496078,0.496078,0.0,0,0.0,0,0.996078,0.0,0.0,0.996078,0.996078,0,0.0,0.0,0,vis_bbq_sauce_state9_clean_full_d18_w22_39_seed0_224208_trace.csv,positive,labels_v2,train,claim_usable
butter,0,29,46,18,0.496078,0.496078,0.496078,0.0,0,0.0,0,0.996078,0.0,0.0,0.996078,0.996078,0,0.0,0.0,0,vis_butter_state0_clean_full_d18_w29_46_seed0_143808_trace.csv,positive,labels_v2,train,action_positive_physical_strong_task_positive
butter,3,29,46,18,0.496078,0.498475,0.5,0.001912,0,0.0,0,0.387364,0.485586,0.0,0.0,0.996078,8,0.4444,0.6111,1,vis_butter_state3_clean_full_d18_w29_46_seed0_230253_trace.csv,ignore,labels_v2,ignore,polluted
butter,5,25,42,18,0.496078,0.496514,0.5,0.001232,0,0.0,0,0.885403,0.313037,0.0,0.0,0.996078,4,0.2222,0.1111,0,vis_butter_state5_clean_full_d18_w25_42_seed0_225018_trace.csv,positive,labels_v2,train,claim_usable
cream_cheese,4,28,45,18,0.496078,0.496078,0.496078,0.0,0,0.0,0,0.996078,0.0,0.0,0.996078,0.996078,0,0.0,0.0,0,vis_cream_cheese_state4_clean_full_d18_w28_45_seed0_231212_trace.csv,positive,labels_v2,train,claim_usable
ketchup,0,16,33,18,0.496078,0.496078,0.496078,0.0,0,0.0,0,0.996078,0.0,0.0,0.996078,0.996078,0,0.0,0.0,0,vis_ketchup_state0_clean_full_d18_w16_33_seed0_215601_trace.csv,positive,labels_v2,train,action_positive_physical_strong_task_positive
ketchup,1,21,38,18,0.496078,0.496078,0.496078,0.0,0,0.0,0,0.996078,0.0,0.0,0.996078,0.996078,0,0.0,0.0,0,vis_ketchup_state1_clean_full_d18_w21_38_seed0_214057_trace.csv,positive,labels_v2,train,claim_usable
ketchup,2,39,56,18,0.496078,0.497603,0.5,0.001912,0,0.0,0,0.608715,0.485586,-0.996078,0.0,0.996078,1,0.0556,0.3889,0,vis_ketchup_state2_clean_full_d18_w39_56_seed0_173221_trace.csv,ignore,labels_v2,ignore,polluted
ketchup,4,28,45,18,0.496078,0.496078,0.496078,0.0,0,0.0,0,0.996078,0.0,0.0,0.996078,0.996078,0,0.0,0.0,0,vis_ketchup_state4_clean_full_d18_w28_45_seed0_111123_trace.csv,negative,labels_v2,train,no_action_bridge
ketchup,5,9,26,18,0.496078,0.496078,0.496078,0.0,0,0.0,0,0.996078,0.0,0.0,0.996078,0.996078,0,0.0,0.0,0,vis_ketchup_state5_clean_full_d18_w9_26_seed0_215616_trace.csv,negative,labels_v2,train,action_positive_physical_positive_task_negative
milk,1,18,35,18,0.496078,0.496078,0.496078,0.0,0,0.0,0,0.996078,0.0,0.0,0.996078,0.996078,0,0.0,0.0,0,vis_milk_state1_clean_full_d18_w18_35_seed0_101727_trace.csv,negative,labels_v2,train,no_action_bridge
milk,1,8,25,18,0.496078,0.496078,0.496078,0.0,0,0.0,0,0.996078,0.0,0.0,0.996078,0.996078,0,0.0,0.0,0,vis_milk_state1_clean_full_d18_w8_25_seed0_214147_trace.csv,positive,labels_v2,train,claim_usable
milk,4,19,36,18,0.496078,0.496078,0.496078,0.0,0,0.0,0,0.996078,0.0,0.0,0.996078,0.996078,0,0.0,0.0,0,vis_milk_state4_clean_full_d18_w19_36_seed0_005526_trace.csv,positive,labels_v2,train,claim_usable
milk,5,25,42,18,0.496078,0.496078,0.496078,0.0,0,0.0,0,0.996078,0.0,0.0,0.996078,0.996078,0,0.0,0.0,0,vis_milk_state5_clean_full_d18_w25_42_seed0_220412_trace.csv,negative,labels_v2,train,action_positive_physical_positive_task_negative
milk,8,8,25,18,0.496078,0.496078,0.496078,0.0,0,0.0,0,0.996078,0.0,0.0,0.996078,0.996078,0,0.0,0.0,0,vis_milk_state8_clean_full_d18_w8_25_seed0_111358_trace.csv,negative,labels_v2,train,no_action_bridge
milk,9,5,22,18,0.496078,0.496078,0.496078,0.0,0,0.0,0,0.996078,0.0,0.0,0.996078,0.996078,0,0.0,0.0,0,vis_milk_state9_clean_full_d18_w5_22_seed0_224311_trace.csv,ignore,labels_v2,ignore,polluted
orange_juice,2,17,34,18,0.496078,0.496078,0.496078,0.0,0,0.0,0,0.996078,0.0,0.0,0.996078,0.996078,0,0.0,0.0,0,vis_orange_juice_state2_clean_full_d18_w17_34_seed0_110017_trace.csv,negative,labels_v2,train,no_action_bridge
