job_id,pair_id,logical_pair_key,task,state_id,env_seed,attack_seed,condition,window_start,window_end,n_total_steps,decoded_open_count,qpos_delta,infra_status,group,expected_strategy,worker,cuda_visible_devices
702611,conf_B3_cream_w85_95,conf_B3_cream_w85_95__atk6,cream_cheese,0,0,6,random_linf,85,95,100,0,9.9e-05,ok,B,TaskOnly_baseline,worker_26,"2,6"
704514,conf_C4_tomato_w115_125,conf_C4_tomato_w115_125__atk6,tomato_sauce,2,2,6,vis_pgd,115,125,130,7,0.058757,ok,C,high_risk_abstain,worker_45,"4,5"
701000,conf_A1_milk_w70_80,conf_A1_milk_w70_80__atk5,milk,0,0,5,vis_pgd,70,80,85,8,0.064335,ok,A,CleanRand_pass,worker_10,"1,0"
704508,conf_C3_alphabet_w60_70,conf_C3_alphabet_w60_70__atk5,alphabet_soup,0,0,5,vis_pgd,60,70,75,4,0.021112,ok,C,high_risk_abstain,worker_45,"4,5"
704513,conf_C4_tomato_w115_125,conf_C4_tomato_w115_125__atk5,tomato_sauce,2,2,5,random_linf,115,125,130,11,0.000434,ok,C,high_risk_abstain,worker_45,"4,5"
704515,conf_C4_tomato_w115_125,conf_C4_tomato_w115_125__atk6,tomato_sauce,2,2,6,random_linf,115,125,130,11,2.3e-05,ok,C,high_risk_abstain,worker_45,"4,5"
701001,conf_A1_milk_w70_80,conf_A1_milk_w70_80__atk5,milk,0,0,5,random_linf,70,80,85,1,0.020321,ok,A,CleanRand_pass,worker_10,"1,0"
702602,conf_B1_tomato_w55_65,conf_B1_tomato_w55_65__atk6,tomato_sauce,0,0,6,vis_pgd,55,65,70,7,0.019196,ok,B,TaskOnly_baseline,worker_26,"2,6"
701011,conf_A3_cream_w50_60,conf_A3_cream_w50_60__atk6,cream_cheese,2,2,6,random_linf,50,60,65,1,0.030545,ok,A,CleanRand_pass,worker_10,"1,0"
702612,conf_B4_salad_w70_80,conf_B4_salad_w70_80__atk5,salad_dressing,2,2,5,vis_pgd,70,80,85,4,0.041338,ok,B,TaskOnly_baseline,worker_26,"2,6"
704501,conf_C1_milk_w80_90,conf_C1_milk_w80_90__atk5,milk,0,0,5,random_linf,80,90,95,6,0.032327,ok,C,high_risk_abstain,worker_45,"4,5"
701006,conf_A2_butter_w80_90,conf_A2_butter_w80_90__atk6,butter,0,0,6,vis_pgd,80,90,95,8,0.066179,ok,A,CleanRand_pass,worker_10,"1,0"
704500,conf_C1_milk_w80_90,conf_C1_milk_w80_90__atk5,milk,0,0,5,vis_pgd,80,90,95,6,0.026419,ok,C,high_risk_abstain,worker_45,"4,5"
702607,conf_B2_milk_w75_85,conf_B2_milk_w75_85__atk6,milk,0,0,6,random_linf,75,85,90,6,0.028439,ok,B,TaskOnly_baseline,worker_26,"2,6"
702613,conf_B4_salad_w70_80,conf_B4_salad_w70_80__atk5,salad_dressing,2,2,5,random_linf,70,80,85,11,7.8e-05,ok,B,TaskOnly_baseline,worker_26,"2,6"
704503,conf_C1_milk_w80_90,conf_C1_milk_w80_90__atk6,milk,0,0,6,random_linf,80,90,95,6,0.037499,ok,C,high_risk_abstain,worker_45,"4,5"
701007,conf_A2_butter_w80_90,conf_A2_butter_w80_90__atk6,butter,0,0,6,random_linf,80,90,95,3,0.010457,ok,A,CleanRand_pass,worker_10,"1,0"
701014,conf_A4_tomato_w150_160,conf_A4_tomato_w150_160__atk6,tomato_sauce,2,2,6,vis_pgd,150,160,165,8,0.03504,ok,A,CleanRand_pass,worker_10,"1,0"
701005,conf_A2_butter_w80_90,conf_A2_butter_w80_90__atk5,butter,0,0,5,random_linf,80,90,95,3,0.004473,ok,A,CleanRand_pass,worker_10,"1,0"
704510,conf_C3_alphabet_w60_70,conf_C3_alphabet_w60_70__atk6,alphabet_soup,0,0,6,vis_pgd,60,70,75,0,0.072876,ok,C,high_risk_abstain,worker_45,"4,5"
702603,conf_B1_tomato_w55_65,conf_B1_tomato_w55_65__atk6,tomato_sauce,0,0,6,random_linf,55,65,70,0,0.000252,ok,B,TaskOnly_baseline,worker_26,"2,6"
704512,conf_C4_tomato_w115_125,conf_C4_tomato_w115_125__atk5,tomato_sauce,2,2,5,vis_pgd,115,125,130,1,0.00364,ok,C,high_risk_abstain,worker_45,"4,5"
701004,conf_A2_butter_w80_90,conf_A2_butter_w80_90__atk5,butter,0,0,5,vis_pgd,80,90,95,8,0.066179,ok,A,CleanRand_pass,worker_10,"1,0"
702600,conf_B1_tomato_w55_65,conf_B1_tomato_w55_65__atk5,tomato_sauce,0,0,5,vis_pgd,55,65,70,7,0.019196,ok,B,TaskOnly_baseline,worker_26,"2,6"
701015,conf_A4_tomato_w150_160,conf_A4_tomato_w150_160__atk6,tomato_sauce,2,2,6,random_linf,150,160,165,1,0.005233,ok,A,CleanRand_pass,worker_10,"1,0"
702604,conf_B2_milk_w75_85,conf_B2_milk_w75_85__atk5,milk,0,0,5,vis_pgd,75,85,90,8,0.045251,ok,B,TaskOnly_baseline,worker_26,"2,6"
701002,conf_A1_milk_w70_80,conf_A1_milk_w70_80__atk6,milk,0,0,6,vis_pgd,70,80,85,9,0.052728,ok,A,CleanRand_pass,worker_10,"1,0"
701013,conf_A4_tomato_w150_160,conf_A4_tomato_w150_160__atk5,tomato_sauce,2,2,5,random_linf,150,160,165,2,0.006474,ok,A,CleanRand_pass,worker_10,"1,0"
702610,conf_B3_cream_w85_95,conf_B3_cream_w85_95__atk6,cream_cheese,0,0,6,vis_pgd,85,95,100,0,9.9e-05,ok,B,TaskOnly_baseline,worker_26,"2,6"
701012,conf_A4_tomato_w150_160,conf_A4_tomato_w150_160__atk5,tomato_sauce,2,2,5,vis_pgd,150,160,165,8,0.035506,ok,A,CleanRand_pass,worker_10,"1,0"
702606,conf_B2_milk_w75_85,conf_B2_milk_w75_85__atk6,milk,0,0,6,vis_pgd,75,85,90,7,0.032991,ok,B,TaskOnly_baseline,worker_26,"2,6"
702609,conf_B3_cream_w85_95,conf_B3_cream_w85_95__atk5,cream_cheese,0,0,5,random_linf,85,95,100,0,9.9e-05,ok,B,TaskOnly_baseline,worker_26,"2,6"
704504,conf_C2_butter_w95_105,conf_C2_butter_w95_105__atk5,butter,0,0,5,vis_pgd,95,105,110,3,0.011565,ok,C,high_risk_abstain,worker_45,"4,5"
702608,conf_B3_cream_w85_95,conf_B3_cream_w85_95__atk5,cream_cheese,0,0,5,vis_pgd,85,95,100,1,0.000279,ok,B,TaskOnly_baseline,worker_26,"2,6"
702605,conf_B2_milk_w75_85,conf_B2_milk_w75_85__atk5,milk,0,0,5,random_linf,75,85,90,7,0.047326,ok,B,TaskOnly_baseline,worker_26,"2,6"
704511,conf_C3_alphabet_w60_70,conf_C3_alphabet_w60_70__atk6,alphabet_soup,0,0,6,random_linf,60,70,75,0,0.000452,ok,C,high_risk_abstain,worker_45,"4,5"
704506,conf_C2_butter_w95_105,conf_C2_butter_w95_105__atk6,butter,0,0,6,vis_pgd,95,105,110,8,0.054495,ok,C,high_risk_abstain,worker_45,"4,5"
701008,conf_A3_cream_w50_60,conf_A3_cream_w50_60__atk5,cream_cheese,2,2,5,vis_pgd,50,60,65,8,0.059258,ok,A,CleanRand_pass,worker_10,"1,0"
701009,conf_A3_cream_w50_60,conf_A3_cream_w50_60__atk5,cream_cheese,2,2,5,random_linf,50,60,65,0,0.029687,ok,A,CleanRand_pass,worker_10,"1,0"
702615,conf_B4_salad_w70_80,conf_B4_salad_w70_80__atk6,salad_dressing,2,2,6,random_linf,70,80,85,10,0.002437,ok,B,TaskOnly_baseline,worker_26,"2,6"
701010,conf_A3_cream_w50_60,conf_A3_cream_w50_60__atk6,cream_cheese,2,2,6,vis_pgd,50,60,65,8,0.059258,ok,A,CleanRand_pass,worker_10,"1,0"
704507,conf_C2_butter_w95_105,conf_C2_butter_w95_105__atk6,butter,0,0,6,random_linf,95,105,110,5,0.018975,ok,C,high_risk_abstain,worker_45,"4,5"
704505,conf_C2_butter_w95_105,conf_C2_butter_w95_105__atk5,butter,0,0,5,random_linf,95,105,110,5,0.033911,ok,C,high_risk_abstain,worker_45,"4,5"
701003,conf_A1_milk_w70_80,conf_A1_milk_w70_80__atk6,milk,0,0,6,random_linf,70,80,85,0,0.019999,ok,A,CleanRand_pass,worker_10,"1,0"
704502,conf_C1_milk_w80_90,conf_C1_milk_w80_90__atk6,milk,0,0,6,vis_pgd,80,90,95,9,0.059436,ok,C,high_risk_abstain,worker_45,"4,5"
704509,conf_C3_alphabet_w60_70,conf_C3_alphabet_w60_70__atk5,alphabet_soup,0,0,5,random_linf,60,70,75,11,0.000602,ok,C,high_risk_abstain,worker_45,"4,5"
702601,conf_B1_tomato_w55_65,conf_B1_tomato_w55_65__atk5,tomato_sauce,0,0,5,random_linf,55,65,70,0,0.000251,ok,B,TaskOnly_baseline,worker_26,"2,6"
702614,conf_B4_salad_w70_80,conf_B4_salad_w70_80__atk6,salad_dressing,2,2,6,vis_pgd,70,80,85,4,0.041338,ok,B,TaskOnly_baseline,worker_26,"2,6"
