group,window_id,task,state_id,env_seed,window_start,window_end,attack_seed,condition,job_id,pair_id,logical_pair_key,worker,cuda_visible_devices,gpu_pair_arg,expected_strategy
A,conf_A1_milk_w70_80,milk,0,0,70,80,5,vis_pgd,701000,conf_A1_milk_w70_80,conf_A1_milk_w70_80__atk5,worker_10,"1,0","0,1",CleanRand_pass
A,conf_A1_milk_w70_80,milk,0,0,70,80,5,random_linf,701001,conf_A1_milk_w70_80,conf_A1_milk_w70_80__atk5,worker_10,"1,0","0,1",CleanRand_pass
A,conf_A1_milk_w70_80,milk,0,0,70,80,6,vis_pgd,701002,conf_A1_milk_w70_80,conf_A1_milk_w70_80__atk6,worker_10,"1,0","0,1",CleanRand_pass
A,conf_A1_milk_w70_80,milk,0,0,70,80,6,random_linf,701003,conf_A1_milk_w70_80,conf_A1_milk_w70_80__atk6,worker_10,"1,0","0,1",CleanRand_pass
A,conf_A2_butter_w80_90,butter,0,0,80,90,5,vis_pgd,701004,conf_A2_butter_w80_90,conf_A2_butter_w80_90__atk5,worker_10,"1,0","0,1",CleanRand_pass
A,conf_A2_butter_w80_90,butter,0,0,80,90,5,random_linf,701005,conf_A2_butter_w80_90,conf_A2_butter_w80_90__atk5,worker_10,"1,0","0,1",CleanRand_pass
A,conf_A2_butter_w80_90,butter,0,0,80,90,6,vis_pgd,701006,conf_A2_butter_w80_90,conf_A2_butter_w80_90__atk6,worker_10,"1,0","0,1",CleanRand_pass
A,conf_A2_butter_w80_90,butter,0,0,80,90,6,random_linf,701007,conf_A2_butter_w80_90,conf_A2_butter_w80_90__atk6,worker_10,"1,0","0,1",CleanRand_pass
A,conf_A3_cream_w50_60,cream_cheese,2,2,50,60,5,vis_pgd,701008,conf_A3_cream_w50_60,conf_A3_cream_w50_60__atk5,worker_10,"1,0","0,1",CleanRand_pass
A,conf_A3_cream_w50_60,cream_cheese,2,2,50,60,5,random_linf,701009,conf_A3_cream_w50_60,conf_A3_cream_w50_60__atk5,worker_10,"1,0","0,1",CleanRand_pass
A,conf_A3_cream_w50_60,cream_cheese,2,2,50,60,6,vis_pgd,701010,conf_A3_cream_w50_60,conf_A3_cream_w50_60__atk6,worker_10,"1,0","0,1",CleanRand_pass
A,conf_A3_cream_w50_60,cream_cheese,2,2,50,60,6,random_linf,701011,conf_A3_cream_w50_60,conf_A3_cream_w50_60__atk6,worker_10,"1,0","0,1",CleanRand_pass
A,conf_A4_tomato_w150_160,tomato_sauce,2,2,150,160,5,vis_pgd,701012,conf_A4_tomato_w150_160,conf_A4_tomato_w150_160__atk5,worker_10,"1,0","0,1",CleanRand_pass
A,conf_A4_tomato_w150_160,tomato_sauce,2,2,150,160,5,random_linf,701013,conf_A4_tomato_w150_160,conf_A4_tomato_w150_160__atk5,worker_10,"1,0","0,1",CleanRand_pass
A,conf_A4_tomato_w150_160,tomato_sauce,2,2,150,160,6,vis_pgd,701014,conf_A4_tomato_w150_160,conf_A4_tomato_w150_160__atk6,worker_10,"1,0","0,1",CleanRand_pass
A,conf_A4_tomato_w150_160,tomato_sauce,2,2,150,160,6,random_linf,701015,conf_A4_tomato_w150_160,conf_A4_tomato_w150_160__atk6,worker_10,"1,0","0,1",CleanRand_pass
B,conf_B1_tomato_w55_65,tomato_sauce,0,0,55,65,5,vis_pgd,702600,conf_B1_tomato_w55_65,conf_B1_tomato_w55_65__atk5,worker_26,"2,6","0,1",TaskOnly_baseline
B,conf_B1_tomato_w55_65,tomato_sauce,0,0,55,65,5,random_linf,702601,conf_B1_tomato_w55_65,conf_B1_tomato_w55_65__atk5,worker_26,"2,6","0,1",TaskOnly_baseline
B,conf_B1_tomato_w55_65,tomato_sauce,0,0,55,65,6,vis_pgd,702602,conf_B1_tomato_w55_65,conf_B1_tomato_w55_65__atk6,worker_26,"2,6","0,1",TaskOnly_baseline
B,conf_B1_tomato_w55_65,tomato_sauce,0,0,55,65,6,random_linf,702603,conf_B1_tomato_w55_65,conf_B1_tomato_w55_65__atk6,worker_26,"2,6","0,1",TaskOnly_baseline
B,conf_B2_milk_w75_85,milk,0,0,75,85,5,vis_pgd,702604,conf_B2_milk_w75_85,conf_B2_milk_w75_85__atk5,worker_26,"2,6","0,1",TaskOnly_baseline
B,conf_B2_milk_w75_85,milk,0,0,75,85,5,random_linf,702605,conf_B2_milk_w75_85,conf_B2_milk_w75_85__atk5,worker_26,"2,6","0,1",TaskOnly_baseline
B,conf_B2_milk_w75_85,milk,0,0,75,85,6,vis_pgd,702606,conf_B2_milk_w75_85,conf_B2_milk_w75_85__atk6,worker_26,"2,6","0,1",TaskOnly_baseline
B,conf_B2_milk_w75_85,milk,0,0,75,85,6,random_linf,702607,conf_B2_milk_w75_85,conf_B2_milk_w75_85__atk6,worker_26,"2,6","0,1",TaskOnly_baseline
B,conf_B3_cream_w85_95,cream_cheese,0,0,85,95,5,vis_pgd,702608,conf_B3_cream_w85_95,conf_B3_cream_w85_95__atk5,worker_26,"2,6","0,1",TaskOnly_baseline
B,conf_B3_cream_w85_95,cream_cheese,0,0,85,95,5,random_linf,702609,conf_B3_cream_w85_95,conf_B3_cream_w85_95__atk5,worker_26,"2,6","0,1",TaskOnly_baseline
B,conf_B3_cream_w85_95,cream_cheese,0,0,85,95,6,vis_pgd,702610,conf_B3_cream_w85_95,conf_B3_cream_w85_95__atk6,worker_26,"2,6","0,1",TaskOnly_baseline
B,conf_B3_cream_w85_95,cream_cheese,0,0,85,95,6,random_linf,702611,conf_B3_cream_w85_95,conf_B3_cream_w85_95__atk6,worker_26,"2,6","0,1",TaskOnly_baseline
B,conf_B4_salad_w70_80,salad_dressing,2,2,70,80,5,vis_pgd,702612,conf_B4_salad_w70_80,conf_B4_salad_w70_80__atk5,worker_26,"2,6","0,1",TaskOnly_baseline
B,conf_B4_salad_w70_80,salad_dressing,2,2,70,80,5,random_linf,702613,conf_B4_salad_w70_80,conf_B4_salad_w70_80__atk5,worker_26,"2,6","0,1",TaskOnly_baseline
B,conf_B4_salad_w70_80,salad_dressing,2,2,70,80,6,vis_pgd,702614,conf_B4_salad_w70_80,conf_B4_salad_w70_80__atk6,worker_26,"2,6","0,1",TaskOnly_baseline
B,conf_B4_salad_w70_80,salad_dressing,2,2,70,80,6,random_linf,702615,conf_B4_salad_w70_80,conf_B4_salad_w70_80__atk6,worker_26,"2,6","0,1",TaskOnly_baseline
C,conf_C1_milk_w80_90,milk,0,0,80,90,5,vis_pgd,704500,conf_C1_milk_w80_90,conf_C1_milk_w80_90__atk5,worker_45,"4,5","0,1",high_risk_abstain
C,conf_C1_milk_w80_90,milk,0,0,80,90,5,random_linf,704501,conf_C1_milk_w80_90,conf_C1_milk_w80_90__atk5,worker_45,"4,5","0,1",high_risk_abstain
C,conf_C1_milk_w80_90,milk,0,0,80,90,6,vis_pgd,704502,conf_C1_milk_w80_90,conf_C1_milk_w80_90__atk6,worker_45,"4,5","0,1",high_risk_abstain
C,conf_C1_milk_w80_90,milk,0,0,80,90,6,random_linf,704503,conf_C1_milk_w80_90,conf_C1_milk_w80_90__atk6,worker_45,"4,5","0,1",high_risk_abstain
C,conf_C2_butter_w95_105,butter,0,0,95,105,5,vis_pgd,704504,conf_C2_butter_w95_105,conf_C2_butter_w95_105__atk5,worker_45,"4,5","0,1",high_risk_abstain
C,conf_C2_butter_w95_105,butter,0,0,95,105,5,random_linf,704505,conf_C2_butter_w95_105,conf_C2_butter_w95_105__atk5,worker_45,"4,5","0,1",high_risk_abstain
C,conf_C2_butter_w95_105,butter,0,0,95,105,6,vis_pgd,704506,conf_C2_butter_w95_105,conf_C2_butter_w95_105__atk6,worker_45,"4,5","0,1",high_risk_abstain
C,conf_C2_butter_w95_105,butter,0,0,95,105,6,random_linf,704507,conf_C2_butter_w95_105,conf_C2_butter_w95_105__atk6,worker_45,"4,5","0,1",high_risk_abstain
C,conf_C3_alphabet_w60_70,alphabet_soup,0,0,60,70,5,vis_pgd,704508,conf_C3_alphabet_w60_70,conf_C3_alphabet_w60_70__atk5,worker_45,"4,5","0,1",high_risk_abstain
C,conf_C3_alphabet_w60_70,alphabet_soup,0,0,60,70,5,random_linf,704509,conf_C3_alphabet_w60_70,conf_C3_alphabet_w60_70__atk5,worker_45,"4,5","0,1",high_risk_abstain
C,conf_C3_alphabet_w60_70,alphabet_soup,0,0,60,70,6,vis_pgd,704510,conf_C3_alphabet_w60_70,conf_C3_alphabet_w60_70__atk6,worker_45,"4,5","0,1",high_risk_abstain
C,conf_C3_alphabet_w60_70,alphabet_soup,0,0,60,70,6,random_linf,704511,conf_C3_alphabet_w60_70,conf_C3_alphabet_w60_70__atk6,worker_45,"4,5","0,1",high_risk_abstain
C,conf_C4_tomato_w115_125,tomato_sauce,2,2,115,125,5,vis_pgd,704512,conf_C4_tomato_w115_125,conf_C4_tomato_w115_125__atk5,worker_45,"4,5","0,1",high_risk_abstain
C,conf_C4_tomato_w115_125,tomato_sauce,2,2,115,125,5,random_linf,704513,conf_C4_tomato_w115_125,conf_C4_tomato_w115_125__atk5,worker_45,"4,5","0,1",high_risk_abstain
C,conf_C4_tomato_w115_125,tomato_sauce,2,2,115,125,6,vis_pgd,704514,conf_C4_tomato_w115_125,conf_C4_tomato_w115_125__atk6,worker_45,"4,5","0,1",high_risk_abstain
C,conf_C4_tomato_w115_125,tomato_sauce,2,2,115,125,6,random_linf,704515,conf_C4_tomato_w115_125,conf_C4_tomato_w115_125__atk6,worker_45,"4,5","0,1",high_risk_abstain
