logical_pair_key,group,pair_id,attack_seed,task,window_start,window_end,window_size,vis_job_id,rand_job_id,vis_open,rand_open,vis_cmd,rand_cmd,vis_phys,rand_phys,vis_qpos,rand_qpos,yield_cmd,is_rand,is_cmd,is_abstain,pair_ok,fp_fn_note
conf_A1_milk_w70_80__atk5,A,conf_A1_milk_w70_80,5,milk,70,80,11,701000,701001,8,1,1,0,1,1,0.064335,0.020321,1,0,1,1,True,
conf_A1_milk_w70_80__atk6,A,conf_A1_milk_w70_80,6,milk,70,80,11,701002,701003,9,0,1,0,1,1,0.052728,0.019999,1,0,1,1,True,
conf_A2_butter_w80_90__atk5,A,conf_A2_butter_w80_90,5,butter,80,90,11,701004,701005,8,3,1,0,1,0,0.066179,0.004473,1,0,1,0,True,
conf_A2_butter_w80_90__atk6,A,conf_A2_butter_w80_90,6,butter,80,90,11,701006,701007,8,3,1,0,1,1,0.066179,0.010457,1,0,1,1,True,
conf_A3_cream_w50_60__atk5,A,conf_A3_cream_w50_60,5,cream_cheese,50,60,11,701008,701009,8,0,1,0,1,1,0.059258,0.029687,1,0,1,1,True,
conf_A3_cream_w50_60__atk6,A,conf_A3_cream_w50_60,6,cream_cheese,50,60,11,701010,701011,8,1,1,0,1,1,0.059258,0.030545,1,0,1,1,True,
conf_A4_tomato_w150_160__atk5,A,conf_A4_tomato_w150_160,5,tomato_sauce,150,160,11,701012,701013,8,2,1,0,1,0,0.035506,0.006474,1,0,1,0,True,
conf_A4_tomato_w150_160__atk6,A,conf_A4_tomato_w150_160,6,tomato_sauce,150,160,11,701014,701015,8,1,1,0,1,0,0.03504,0.005233,1,0,1,0,True,
conf_B1_tomato_w55_65__atk5,B,conf_B1_tomato_w55_65,5,tomato_sauce,55,65,11,702600,702601,7,0,1,0,1,0,0.019196,0.000251,1,0,1,0,True,"detector_FP: CleanRand marked high-risk but fresh VIS=7,RAND=0 (GOLD)"
conf_B1_tomato_w55_65__atk6,B,conf_B1_tomato_w55_65,6,tomato_sauce,55,65,11,702602,702603,7,0,1,0,1,0,0.019196,0.000252,1,0,1,0,True,"detector_FP: CleanRand marked high-risk but fresh VIS=7,RAND=0 (GOLD)"
conf_B2_milk_w75_85__atk5,B,conf_B2_milk_w75_85,5,milk,75,85,11,702604,702605,8,7,1,1,1,1,0.045251,0.047326,0,1,0,1,True,
conf_B2_milk_w75_85__atk6,B,conf_B2_milk_w75_85,6,milk,75,85,11,702606,702607,7,6,1,1,1,1,0.032991,0.028439,0,1,0,1,True,
conf_B3_cream_w85_95__atk5,B,conf_B3_cream_w85_95,5,cream_cheese,85,95,11,702608,702609,1,0,0,0,0,0,0.000279,9.9e-05,0,0,0,0,True,
conf_B3_cream_w85_95__atk6,B,conf_B3_cream_w85_95,6,cream_cheese,85,95,11,702610,702611,0,0,0,0,0,0,9.9e-05,9.9e-05,0,0,0,0,True,
conf_B4_salad_w70_80__atk5,B,conf_B4_salad_w70_80,5,salad_dressing,70,80,11,702612,702613,4,11,0,1,1,0,0.041338,7.8e-05,-1,1,0,1,True,"detector_FN: CleanRand passed but fresh VIS=4,RAND=10-11 (rand)"
conf_B4_salad_w70_80__atk6,B,conf_B4_salad_w70_80,6,salad_dressing,70,80,11,702614,702615,4,10,0,1,1,0,0.041338,0.002437,-1,1,0,1,True,"detector_FN: CleanRand passed but fresh VIS=4,RAND=10-11 (rand)"
conf_C1_milk_w80_90__atk5,C,conf_C1_milk_w80_90,5,milk,80,90,11,704500,704501,6,6,1,1,1,1,0.026419,0.032327,0,1,0,1,True,
conf_C1_milk_w80_90__atk6,C,conf_C1_milk_w80_90,6,milk,80,90,11,704502,704503,9,6,1,1,1,1,0.059436,0.037499,0,1,0,1,True,
conf_C2_butter_w95_105__atk5,C,conf_C2_butter_w95_105,5,butter,95,105,11,704504,704505,3,5,0,1,1,1,0.011565,0.033911,-1,1,0,1,True,
conf_C2_butter_w95_105__atk6,C,conf_C2_butter_w95_105,6,butter,95,105,11,704506,704507,8,5,1,1,1,1,0.054495,0.018975,0,1,0,1,True,
conf_C3_alphabet_w60_70__atk5,C,conf_C3_alphabet_w60_70,5,alphabet_soup,60,70,11,704508,704509,4,11,0,1,1,0,0.021112,0.000602,-1,1,0,1,True,
conf_C3_alphabet_w60_70__atk6,C,conf_C3_alphabet_w60_70,6,alphabet_soup,60,70,11,704510,704511,0,0,0,0,1,0,0.072876,0.000452,0,0,0,0,True,
conf_C4_tomato_w115_125__atk5,C,conf_C4_tomato_w115_125,5,tomato_sauce,115,125,11,704512,704513,1,11,0,1,0,0,0.00364,0.000434,-1,1,0,1,True,
conf_C4_tomato_w115_125__atk6,C,conf_C4_tomato_w115_125,6,tomato_sauce,115,125,11,704514,704515,7,11,1,1,1,0,0.058757,2.3e-05,0,1,0,1,True,
