window,seed_group,atk,vis_open,rand_open,vis_cmd,rand_cmd,yield_cmd
"A1_milk[70,80]",5-6,5,8,1,1,0,1
"A1_milk[70,80]",5-6,6,9,0,1,0,1
"A1_milk[70,80]",7-8,7,8,0,1,0,1
"A1_milk[70,80]",7-8,8,10,6,1,1,0
"A2_butter[80,90]",5-6,6,8,3,1,0,1
"A2_butter[80,90]",5-6,5,8,3,1,0,1
"A2_butter[80,90]",7-8,8,8,3,1,0,1
"A2_butter[80,90]",7-8,7,8,4,1,0,1
"A3_cream[50,60]",5-6,6,8,1,1,0,1
"A3_cream[50,60]",5-6,5,8,0,1,0,1
"A3_cream[50,60]",7-8,8,8,0,1,0,1
"A3_cream[50,60]",7-8,7,8,0,1,0,1
"A4_tomato[150,160]",5-6,6,8,1,1,0,1
"A4_tomato[150,160]",5-6,5,8,2,1,0,1
"A4_tomato[150,160]",7-8,7,7,2,1,0,1
"A4_tomato[150,160]",7-8,8,8,1,1,0,1
"FP_tomato[55,65]",5-6,6,7,0,1,0,1
"FP_tomato[55,65]",5-6,5,7,0,1,0,1
"FP_tomato[55,65]",7-8,7,6,0,1,0,1
"FP_tomato[55,65]",7-8,8,1,1,0,0,0
"FN_salad[70,80]",5-6,5,4,11,0,1,-1
"FN_salad[70,80]",5-6,6,4,10,0,1,-1
"FN_salad[70,80]",7-8,7,8,0,1,0,1
"FN_salad[70,80]",7-8,8,4,10,0,1,-1
