candidate_id,task_key,state_id,window_start,window_end,label_status,mechanism_type,taxonomy,train_use,trace_available,window_steps_in_trace,hazard_max_in_window,hazard_mean_in_window,phase_idx_mode_in_window,phase_confidence_mean_in_window,release_safe_mean_in_window,hzd_001_d5_c20_hit_in_window,hzd_001_d5_c20_hit_within_5,hzd_001_d5_c20_hit_within_10,hzd_001_d5_c20_nearest_trigger_step,hzd_001_d5_c20_nearest_trigger_distance,hzd_003_d3_c20_hit_in_window,hzd_003_d3_c20_hit_within_5,hzd_003_d3_c20_hit_within_10,hzd_003_d3_c20_nearest_trigger_step,hzd_003_d3_c20_nearest_trigger_distance,hzd_003_d5_c20_hit_in_window,hzd_003_d5_c20_hit_within_5,hzd_003_d5_c20_hit_within_10,hzd_003_d5_c20_nearest_trigger_step,hzd_003_d5_c20_nearest_trigger_distance,hzd_003_d8_c20_hit_in_window,hzd_003_d8_c20_hit_within_5,hzd_003_d8_c20_hit_within_10,hzd_003_d8_c20_nearest_trigger_step,hzd_003_d8_c20_nearest_trigger_distance,hzd_005_d3_c20_hit_in_window,hzd_005_d3_c20_hit_within_5,hzd_005_d3_c20_hit_within_10,hzd_005_d3_c20_nearest_trigger_step,hzd_005_d3_c20_nearest_trigger_distance,hzd_005_d5_c20_hit_in_window,hzd_005_d5_c20_hit_within_5,hzd_005_d5_c20_hit_within_10,hzd_005_d5_c20_nearest_trigger_step,hzd_005_d5_c20_nearest_trigger_distance
ketchup_s0_w16_33,ketchup,0,16,33,positive,physical_bridge_positive,action_positive_physical_strong_task_positive,train,yes,18,0.00528,0.004237,0,0.96153,8.6e-05,False,False,False,-1,999,False,False,False,-1,999,False,False,False,-1,999,False,False,False,-1,999,False,False,False,-1,999,False,False,False,-1,999
butter_s0_w29_46,butter,0,29,46,positive,physical_bridge_positive,action_positive_physical_strong_task_positive,train,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alphabet_soup_s0_w3_20,alphabet_soup,0,3,20,ignore,,weak_physical_uncertain,ignore,yes,18,0.013296,0.008299,0,0.700463,0.000402,True,False,True,11,0,False,False,False,112,92,False,False,False,114,94,False,False,False,117,97,False,False,False,138,118,False,False,False,140,120
alphabet_soup_s3_w21_38,alphabet_soup,3,21,38,ignore,mechanism_unclear,polluted,ignore,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alphabet_soup_s4_w4_21,alphabet_soup,4,4,21,positive,physical_bridge_positive,claim_usable,train,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alphabet_soup_s8_w29_46,alphabet_soup,8,29,46,ignore,,polluted,ignore,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbq_sauce_s0_w30_47,bbq_sauce,0,30,47,ignore,,polluted,ignore,yes,18,0.0203,0.015475,0,0.802875,0.00116,False,False,False,11,19,False,False,False,255,208,False,False,False,257,210,False,False,False,260,213,False,False,False,-1,999,False,False,False,-1,999
bbq_sauce_s5_w27_44,bbq_sauce,5,27,44,negative,negative_unclassified,action_positive_physical_positive_task_negative,train,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbq_sauce_s9_w22_39,bbq_sauce,9,22,39,positive,physical_bridge_positive,claim_usable,train,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butter_s3_w29_46,butter,3,29,46,ignore,,polluted,ignore,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butter_s5_w25_42,butter,5,25,42,positive,physical_bridge_positive,claim_usable,train,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cream_cheese_s4_w28_45,cream_cheese,4,28,45,positive,physical_bridge_positive,claim_usable,train,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ketchup_s1_w21_38,ketchup,1,21,38,positive,physical_bridge_positive,claim_usable,train,yes,18,0.00414,0.003621,0,0.966377,5.8e-05,False,False,False,283,245,False,False,False,-1,999,False,False,False,-1,999,False,False,False,-1,999,False,False,False,-1,999,False,False,False,-1,999
ketchup_s2_w39_56,ketchup,2,39,56,ignore,,polluted,ignore,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ketchup_s5_w9_26,ketchup,5,9,26,negative,negative_unclassified,action_positive_physical_positive_task_negative,train,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
milk_s1_w8_25,milk,1,8,25,positive,physical_bridge_positive,claim_usable,train,yes,18,0.024141,0.014351,0,0.846146,0.001188,True,True,True,11,0,False,False,False,60,35,False,False,False,62,37,False,False,False,65,40,False,False,False,76,51,False,False,False,78,53
milk_s4_w19_36,milk,4,19,36,positive,physical_bridge_positive,claim_usable,train,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
milk_s5_w25_42,milk,5,25,42,negative,negative_unclassified,action_positive_physical_positive_task_negative,train,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
milk_s9_w5_22,milk,9,5,22,ignore,mechanism_unclear,polluted,ignore,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salad_dressing_s0_w31_48,salad_dressing,0,31,48,ignore,,polluted,ignore,yes,18,0.000858,0.000817,0,0.994649,2e-06,False,False,False,-1,999,False,False,False,-1,999,False,False,False,-1,999,False,False,False,-1,999,False,False,False,-1,999,False,False,False,-1,999
salad_dressing_s0_w7_24,salad_dressing,0,7,24,negative,negative_unclassified,action_positive_physical_positive_task_negative,train,yes,18,0.005562,0.002046,0,0.985484,2.2e-05,False,False,False,-1,999,False,False,False,-1,999,False,False,False,-1,999,False,False,False,-1,999,False,False,False,-1,999,False,False,False,-1,999
alphabet_soup_s6_w40_57,alphabet_soup,6,40,57,negative,negative_unclassified,no_action_bridge,train,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbq_sauce_s0_w15_32,bbq_sauce,0,15,32,ignore,,polluted,ignore,yes,18,0.011267,0.010128,0,0.879505,0.000506,False,True,True,11,4,False,False,False,255,223,False,False,False,257,225,False,False,False,260,228,False,False,False,-1,999,False,False,False,-1,999
bbq_sauce_s0_w5_22,bbq_sauce,0,5,22,negative,negative_unclassified,no_action_bridge,train,yes,18,0.018988,0.010175,0,0.772005,0.000654,True,False,True,11,0,False,False,False,255,233,False,False,False,257,235,False,False,False,260,238,False,False,False,-1,999,False,False,False,-1,999
