mode,threshold,duration,cooldown,trigger_rate,first_trigger_mean,no_trigger_rate,early_trigger_rate,after_done_rate,total_triggers,score
hazard,0.01,3,0,1.429,44.4,0.0,0.5,0.0,20,3
hazard,0.01,3,10,1.429,44.4,0.0,0.5,0.0,20,3
hazard,0.01,5,0,1.429,46.4,0.0,0.5,0.0,20,3
hazard,0.01,5,10,1.429,46.4,0.0,0.5,0.0,20,3
hazard,0.01,8,0,1.357,51.0,0.0,0.474,0.0,19,3
hazard,0.01,8,10,1.357,51.0,0.0,0.474,0.0,19,3
hazard,0.01,3,20,1.286,44.4,0.0,0.556,0.0,18,3
hazard,0.01,5,20,1.214,46.4,0.0,0.588,0.0,17,3
hazard,0.01,8,20,1.214,51.0,0.0,0.529,0.0,17,3
hazard,0.03,8,0,0.714,146.6,1.0,0.0,0.0,10,3
hazard,0.03,8,10,0.714,146.6,1.0,0.0,0.0,10,3
hazard,0.03,8,20,0.714,146.6,1.0,0.0,0.0,10,3
hazard,0.05,3,0,0.5,177.0,1.0,0.0,0.0,7,3
hazard,0.05,3,10,0.5,177.0,1.0,0.0,0.0,7,3
hazard,0.05,3,20,0.5,177.0,1.0,0.0,0.0,7,3
hazard,0.05,5,0,0.5,179.0,1.0,0.0,0.0,7,3
hazard,0.05,5,10,0.5,179.0,1.0,0.0,0.0,7,3
hazard,0.05,5,20,0.5,179.0,1.0,0.0,0.0,7,3
hazard,0.05,8,0,0.5,182.0,1.0,0.0,0.0,7,3
hazard,0.05,8,10,0.5,182.0,1.0,0.0,0.0,7,3
hazard,0.05,8,20,0.5,182.0,1.0,0.0,0.0,7,3
hazard,0.1,3,0,0.5,233.2,1.0,0.0,0.0,7,3
hazard,0.1,3,10,0.429,233.2,1.0,0.0,0.0,6,3
hazard,0.1,3,20,0.357,233.2,1.0,0.0,0.0,5,3
hazard,0.1,5,0,0.357,239.5,1.0,0.0,0.0,5,3
hazard,0.1,5,10,0.357,239.5,1.0,0.0,0.0,5,3
hazard,0.1,5,20,0.357,239.5,1.0,0.0,0.0,5,3
hazard,0.1,8,0,0.357,242.5,1.0,0.0,0.0,5,3
hazard,0.1,8,10,0.357,242.5,1.0,0.0,0.0,5,3
hazard,0.1,8,20,0.357,242.5,1.0,0.0,0.0,5,3
hazard,0.03,3,0,1.143,96.5,1.0,0.188,0.0,16,2
hazard,0.03,3,10,1.143,96.5,1.0,0.188,0.0,16,2
hazard,0.03,3,20,1.0,96.5,1.0,0.214,0.0,14,2
phase,0.01,3,0,1.0,9.0,0.0,1.0,0.0,14,2
phase,0.01,3,10,1.0,9.0,0.0,1.0,0.0,14,2
