task_key,state_id,window_start,window_end,label_vulnerability_ready,label_source,hazard_score_mean,hazard_score_max,release_safe_score_mean,release_safe_score_min,join_status
ketchup,0,16,33,1,gold_v2,0.0,0.0,0.0,0.0,ok
cream_cheese,4,28,45,1,gold_v2,0.0,0.0,0.0,0.0,ok
ketchup,1,21,38,1,gold_v2,0.0,0.0,0.0,0.0,ok
ketchup,5,9,26,0,gold_v2,0.0,0.0,0.0,0.0,ok
salad_dressing,0,7,24,0,gold_v2,0.0,0.0,0.0,0.0,ok
ketchup,4,28,45,0,gold_v2,0.0,0.0,0.0,0.0,ok
salad_dressing,5,28,45,0,gold_v2,0.0,0.0,0.0,0.0,ok
ketchup,1,8,25,1,eligible_1r_silver_positive,0.0,0.0,0.0,0.0,ok
ketchup,2,4,21,1,eligible_1r_silver_positive,0.0,0.0,0.0,0.0,ok
ketchup,2,14,31,1,eligible_1r_silver_positive,0.0,0.0,0.0,0.0,ok
ketchup,4,23,40,1,eligible_1r_silver_positive,0.0,0.0,0.0,0.0,ok
cream_cheese,1,49,66,0,clean_control_negative,0.0,0.0,0.998401,0.997797,ok
cream_cheese,1,59,76,0,clean_control_negative,0.0,0.0,1.0,1.0,ok
cream_cheese,1,69,86,0,clean_control_negative,0.0,0.0,0.990316,0.962488,ok
cream_cheese,1,74,91,0,clean_control_negative,0.0,0.0,0.882783,0.668868,ok
cream_cheese,3,64,81,0,clean_control_negative,0.0,0.0,0.999999,0.999996,ok
cream_cheese,3,69,86,0,clean_control_negative,0.0,0.0,0.990316,0.962488,ok
cream_cheese,8,44,61,0,clean_control_negative,0.0,0.0,0.995247,0.992221,ok
cream_cheese,8,49,66,0,clean_control_negative,0.0,0.0,0.998401,0.997797,ok
ketchup,1,53,70,0,clean_control_negative,3.83117e-05,9.09488e-05,0.0,0.0,ok
ketchup,2,54,71,0,clean_control_negative,5.30796e-05,9.09488e-05,0.0,0.0,ok
ketchup,5,55,72,0,clean_control_negative,5.30937e-05,9.09488e-05,0.0,0.0,ok
ketchup,3,53,70,0,clean_control_negative,3.83117e-05,9.09488e-05,0.0,0.0,ok
ketchup,4,53,70,0,clean_control_negative,3.83117e-05,9.09488e-05,0.0,0.0,ok
