stage,phase,root_attribute,classification,leaf_diff_count,numeric_leaf_count,array_max_abs_diff,array_nonzero_count,example_field,example_reference_value,example_replay_value
C1_TRANSITION_STATE_AUDIT_ONLY,PRE_STEP,robots[0].controller.attrs.goal_ori,CONTROLLER_MUTABLE_GOAL_STATE,10,9,0.2297244138543422,9,robots[0].controller.attrs.goal_ori.sha256,"""929d8291bd18f8eddfb7420907ad9ce812f9f7f8e9c67fe874351f665edccbd1""","""4a16925981db09a7bcd478a4b06651ab02343fa3aac43bb4e4a2d6d8dbfd9cf7"""
C1_TRANSITION_STATE_AUDIT_ONLY,PRE_STEP,robots[0].controller.attrs.goal_pos,CONTROLLER_MUTABLE_GOAL_STATE,4,3,0.15044024807327916,3,robots[0].controller.attrs.goal_pos.sha256,"""64b02f7edcf5ab567dd68723dcbc40e7dfe7b9bfb107a9caed23c96b008ae2eb""","""5a52749e22a4c8ea4d4470f8681fb776bd7dc1e22cfcef460f4ab15d0f3e2302"""
C1_TRANSITION_STATE_AUDIT_ONLY,PRE_STEP,robots[0].controller_selected_attrs.goal_ori,CONTROLLER_MUTABLE_GOAL_STATE,10,9,0.2297244138543422,9,robots[0].controller_selected_attrs.goal_ori.sha256,"""929d8291bd18f8eddfb7420907ad9ce812f9f7f8e9c67fe874351f665edccbd1""","""4a16925981db09a7bcd478a4b06651ab02343fa3aac43bb4e4a2d6d8dbfd9cf7"""
C1_TRANSITION_STATE_AUDIT_ONLY,PRE_STEP,robots[0].controller_selected_attrs.goal_pos,CONTROLLER_MUTABLE_GOAL_STATE,4,3,0.15044024807327916,3,robots[0].controller_selected_attrs.goal_pos.sha256,"""64b02f7edcf5ab567dd68723dcbc40e7dfe7b9bfb107a9caed23c96b008ae2eb""","""5a52749e22a4c8ea4d4470f8681fb776bd7dc1e22cfcef460f4ab15d0f3e2302"""
C1_TRANSITION_STATE_AUDIT_ONLY,PRE_STEP,mujoco.qacc,MUJOCO_DERIVED_ACCELERATION,13,12,0.005947038609594557,12,mujoco.qacc.head[0],0.22207496013939843,0.2221255909662172
C1_TRANSITION_STATE_AUDIT_ONLY,PRE_STEP,robots[0].controller.attrs.J_full,CONTROLLER_DERIVED_CACHE,15,14,0.1884820837434109,14,robots[0].controller.attrs.J_full.head[0],-0.04836230721332247,-0.02088474729370773
C1_TRANSITION_STATE_AUDIT_ONLY,PRE_STEP,robots[0].controller.attrs.J_ori,CONTROLLER_DERIVED_CACHE,13,12,0.6626134752612524,12,robots[0].controller.attrs.J_ori.head[1],-0.06634626076266953,-0.03368376491358243
C1_TRANSITION_STATE_AUDIT_ONLY,PRE_STEP,robots[0].controller.attrs.J_pos,CONTROLLER_DERIVED_CACHE,15,14,0.18479948286494208,14,robots[0].controller.attrs.J_pos.head[0],-0.04836230721332247,-0.02088474729370773
C1_TRANSITION_STATE_AUDIT_ONLY,PRE_STEP,robots[0].controller.attrs.mass_matrix,CONTROLLER_DERIVED_CACHE,17,16,0.8260249754356508,16,robots[0].controller.attrs.mass_matrix.head[0],8.065640277706901,7.23961530227125
C1_TRANSITION_STATE_AUDIT_ONLY,PRE_STEP,robots[0].attrs.torques,UNKNOWN_TRANSITION_STATE,8,7,4.569991854046119,7,robots[0].attrs.torques.sha256,"""7646b0cbc5531f7952a05d0c907c8837a20d44d575033f07a73142a0164a8198""","""58dc1f7b4fc50d4a930c89024313a4edd968e1ffb4fb29fe19f3d2d7c1d40ae6"""
C1_TRANSITION_STATE_AUDIT_ONLY,PRE_STEP,robots[0].controller.attrs.ee_ori_mat,UNKNOWN_TRANSITION_STATE,10,9,0.2157217791385587,9,robots[0].controller.attrs.ee_ori_mat.sha256,"""c263147ffc6aeac91834db6d379bda40e6604107b683a3528ee9096a42df4ccb""","""4fb4975f9e4e0c08667b31d4bb16d71668cdb510774ed0a03ad22437a5251ef9"""
C1_TRANSITION_STATE_AUDIT_ONLY,PRE_STEP,robots[0].controller.attrs.ee_ori_vel,UNKNOWN_TRANSITION_STATE,4,3,0.10000864783614345,3,robots[0].controller.attrs.ee_ori_vel.sha256,"""360613bc9ecdfdcee742699cdfac2d764ee1e39ba0b9d71f7fac54e212da77b2""","""2a52dee09491cef19fba7a4addd15896800f0cf52950d20bc4aeea37de9642d4"""
C1_TRANSITION_STATE_AUDIT_ONLY,PRE_STEP,robots[0].controller.attrs.ee_pos,UNKNOWN_TRANSITION_STATE,4,3,0.18531867767341603,3,robots[0].controller.attrs.ee_pos.sha256,"""978308d85657e8bacd6a308a476167e2c1b49db9abf510c56d5633d12e1660fb""","""d4f3350dcba6a13aa39280e73086e73e92e0d97200d0b63e5d3fa900b3de37a1"""
C1_TRANSITION_STATE_AUDIT_ONLY,PRE_STEP,robots[0].controller.attrs.ee_pos_vel,UNKNOWN_TRANSITION_STATE,4,3,0.23368931637855175,3,robots[0].controller.attrs.ee_pos_vel.sha256,"""4a6b26359575f8e1f31d32e9e4630eebe42119dfcc2666918e02b272d6a5b753""","""10b752e5f1afdbc156a4c02c6a9965a9c635267d0bd2175939a2fb6a6230f923"""
C1_TRANSITION_STATE_AUDIT_ONLY,PRE_STEP,robots[0].controller.attrs.joint_pos,UNKNOWN_TRANSITION_STATE,8,7,0.6864798297381888,7,robots[0].controller.attrs.joint_pos.sha256,"""5eeb783f160dbcb4a9bb3f8a1c1f7e8264a363036bc6a36572950e4b26ad22e7""","""42364cadef6156a30cc7d9f8b018f380d21e7ce2b799f5bebbbd8fda8b7f9328"""
C1_TRANSITION_STATE_AUDIT_ONLY,PRE_STEP,robots[0].controller.attrs.joint_vel,UNKNOWN_TRANSITION_STATE,8,7,0.4590409780727971,7,robots[0].controller.attrs.joint_vel.sha256,"""1c80be75033dd58997acda54fa89e99da5191338bcfb5992db78fb6382961c82""","""7ff6b32aa9cccef3d28181d06b8323cded7b597ab5d77b82711463293106665f"""
C1_TRANSITION_STATE_AUDIT_ONLY,PRE_STEP,robots[0].controller.attrs.torques,UNKNOWN_TRANSITION_STATE,8,7,4.569991854046119,7,robots[0].controller.attrs.torques.sha256,"""7646b0cbc5531f7952a05d0c907c8837a20d44d575033f07a73142a0164a8198""","""58dc1f7b4fc50d4a930c89024313a4edd968e1ffb4fb29fe19f3d2d7c1d40ae6"""
C1_TRANSITION_STATE_AUDIT_ONLY,PRE_STEP,robots[0].gripper.attrs.current_action,UNKNOWN_TRANSITION_STATE,3,2,2.0,2,robots[0].gripper.attrs.current_action.sha256,"""649da98dd23cf0d27d23d34d36767cab16fc887942f040ddacadc061c5ede0d0""","""df409b398647ffb042054e69dae20d10c6c2081ddde0d052a802b2edaae439f6"""
