job_id,task,state_id,window_start,window_end,open_duration,condition,attack_seed,pair_id,gpu_pair,output_dir,wave,tier,parent_source
951000,tomato_sauce,2,150,160,10,clean,0,tomato_sauce_s2_w150_160_s11a_sanity,"0,1",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s11a_oracle_overlap_sanity,1,A,k5_rand_cmd_drift_tomato_sauce_s2_w150_160_env2
951001,tomato_sauce,2,150,160,10,oracle_open,0,tomato_sauce_s2_w150_160_s11a_sanity,"0,1",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s11a_oracle_overlap_sanity,1,A,k5_rand_cmd_drift_tomato_sauce_s2_w150_160_env2
951002,tomato_sauce,2,90,100,10,clean,0,tomato_sauce_s2_w90_100_s11a_sanity,"0,1",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s11a_oracle_overlap_sanity,1,A,k5_rand_phys_flip_tomato_sauce_s2_w90_100_env2
951003,tomato_sauce,2,90,100,10,oracle_open,0,tomato_sauce_s2_w90_100_s11a_sanity,"0,1",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s11a_oracle_overlap_sanity,1,A,k5_rand_phys_flip_tomato_sauce_s2_w90_100_env2
951004,tomato_sauce,0,55,65,10,clean,0,tomato_sauce_s0_w55_65_s11a_sanity,"0,1",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s11a_oracle_overlap_sanity,1,A,k5b_contrast_tomato_far_tomato_sauce_s0_w55_65_env0
951005,tomato_sauce,0,55,65,10,oracle_open,0,tomato_sauce_s0_w55_65_s11a_sanity,"0,1",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s11a_oracle_overlap_sanity,1,A,k5b_contrast_tomato_far_tomato_sauce_s0_w55_65_env0
951006,tomato_sauce,2,155,165,10,clean,0,tomato_sauce_s2_w155_165_s11a_sanity,"0,1",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s11a_oracle_overlap_sanity,2,A,k5b_contrast_tomato_late_tomato_sauce_s2_w155_165_env2
951007,tomato_sauce,2,155,165,10,oracle_open,0,tomato_sauce_s2_w155_165_s11a_sanity,"0,1",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s11a_oracle_overlap_sanity,2,A,k5b_contrast_tomato_late_tomato_sauce_s2_w155_165_env2
951008,cream_cheese,2,50,60,10,clean,0,cream_cheese_s2_w50_60_s11a_sanity,"0,1",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s11a_oracle_overlap_sanity,2,A,k5b_strict_phys_cream_cream_cheese_s2_w50_60_env2
951009,cream_cheese,2,50,60,10,oracle_open,0,cream_cheese_s2_w50_60_s11a_sanity,"0,1",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s11a_oracle_overlap_sanity,2,A,k5b_strict_phys_cream_cream_cheese_s2_w50_60_env2
951010,butter,0,80,90,10,clean,0,butter_s0_w80_90_s11a_sanity,"0,1",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s11a_oracle_overlap_sanity,2,A,k5c_cmd_butter
951011,butter,0,80,90,10,oracle_open,0,butter_s0_w80_90_s11a_sanity,"0,1",/data/liuyu/outputs/stageb_v1_1_k5c_targeted_expansion_rc1a_ca3a97e/s11a_oracle_overlap_sanity,2,A,k5c_cmd_butter
