class,actual_task,state_id,window_start,window_end,VIS_open,VIS_streak,RAND_open,RAND_streak,VIS_qpos,RAND_qpos,VIS_RAND_gap
COMMAND_POSITIVE,ketchup,0,150,160,7,4,0,0,0.1521861,0.0,7
COMMAND_POSITIVE,milk,0,230,240,7,7,0,0,0.14207915,0.0025491,7
COMMAND_POSITIVE,milk,0,90,100,8,4,1,1,0.40153034,0.00041987,7
COMMAND_POSITIVE,orange_juice,0,50,60,8,5,1,1,0.1816149,0.00458891,7
PROMISING_BORDERLINE,ketchup,0,230,240,8,3,0,0,0.14261864,0.04390542,8
PROMISING_BORDERLINE,butter,0,230,240,7,3,1,1,0.15309224,4.745e-05,6
PROMISING_BORDERLINE,bbq_sauce,0,90,100,5,3,0,0,0.03562276,0.00073197,5
PROMISING_BORDERLINE,butter,0,90,100,7,3,2,1,0.43962014,0.12809605,5
PROMISING_BORDERLINE,salad_dressing,0,50,60,5,3,0,0,0.02926499,0.00074052,5
PROMISING_BORDERLINE,tomato_sauce,0,90,100,5,3,0,0,0.00951844,0.0,5
PROMISING_BORDERLINE,alphabet_soup,0,230,240,6,3,2,2,0.03694647,0.00094738,4
PROMISING_BORDERLINE,butter,0,150,160,5,3,1,1,0.52299442,0.01701162,4
PROMISING_BORDERLINE,cream_cheese,0,230,240,5,3,2,1,0.00627885,0.00324973,3
BORDERLINE,chocolate_pudding,0,150,160,6,2,0,0,0.01968112,0.0,6
BORDERLINE,alphabet_soup,0,150,160,6,2,1,1,0.34004176,0.09037402,5
BORDERLINE,bbq_sauce,0,150,160,4,2,0,0,0.01435392,0.0,4
BORDERLINE,orange_juice,0,230,240,4,2,0,0,0.0076716,0.00018501,4
BORDERLINE,tomato_sauce,0,70,80,4,2,0,0,0.00125027,0.0,4
BORDERLINE,tomato_sauce,0,50,60,4,1,1,1,0.01128184,0.0,3
BORDERLINE,salad_dressing,0,90,100,4,3,2,2,0.01117161,0.00396871,2
COMMAND_WEAK,bbq_sauce,0,70,80,2,1,0,0,0.00088092,0.0,2
COMMAND_WEAK,chocolate_pudding,0,230,240,2,1,0,0,0.0,0.0,2
COMMAND_WEAK,cream_cheese,0,150,160,2,1,0,0,0.16180794,0.02926267,2
COMMAND_WEAK,alphabet_soup,0,50,60,1,1,0,0,0.00348339,0.00209022,1
COMMAND_WEAK,chocolate_pudding,0,90,100,2,1,1,1,0.00034365,0.00058992,1
COMMAND_WEAK,ketchup,0,90,100,2,1,1,1,0.06947684,0.01753029,1
COMMAND_WEAK,orange_juice,0,70,80,1,1,0,0,0.00167712,0.0,1
COMMAND_WEAK,bbq_sauce,0,230,240,0,0,0,0,0.00048762,0.0,0
COMMAND_WEAK,ketchup,0,70,80,1,1,1,1,0.00660254,0.00293307,0
COMMAND_WEAK,orange_juice,0,90,100,0,0,0,0,0.0,0.0,0
COMMAND_WEAK,salad_dressing,0,150,160,1,1,1,1,0.00442912,0.0,0
COMMAND_WEAK,salad_dressing,0,230,240,0,0,0,0,0.0,0.0,0
COMMAND_WEAK,alphabet_soup,0,70,80,0,0,1,1,0.00832754,0.00251829,-1
RANDOM_CONFOUNDED,milk,0,70,80,5,3,0,0,0.02091801,0.01914759,5
RANDOM_CONFOUNDED,milk,0,150,160,5,3,2,1,0.03399114,0.05879071,3
RANDOM_CONFOUNDED,tomato_sauce,0,150,160,4,2,1,1,0.01360061,0.01300966,3
RANDOM_CONFOUNDED,butter,0,50,60,3,2,1,1,0.03855875,0.13270941,2
RANDOM_CONFOUNDED,milk,0,50,60,3,2,1,1,0.01272187,0.01396452,2
RANDOM_CONFOUNDED,bbq_sauce,0,50,60,1,1,0,0,0.00055524,0.01198086,1
RANDOM_CONFOUNDED,butter,0,70,80,5,3,4,2,0.07177783,0.0511728,1
RANDOM_CONFOUNDED,orange_juice,0,150,160,4,2,3,1,0.01056034,0.00763479,1
RANDOM_CONFOUNDED,tomato_sauce,0,230,240,4,3,3,2,0.0733442,0.01205399,1
RANDOM_CONFOUNDED,chocolate_pudding,0,50,60,4,2,4,2,0.15524751,0.29509114,0
RANDOM_CONFOUNDED,salad_dressing,0,70,80,3,2,3,2,0.03346817,0.01650136,0
RANDOM_CONFOUNDED,alphabet_soup,0,90,100,2,1,3,1,0.30284323,0.10711009,-1
RANDOM_CONFOUNDED,cream_cheese,0,50,60,2,2,4,3,0.01918064,0.0554812,-2
RANDOM_CONFOUNDED,cream_cheese,0,70,80,4,3,6,2,0.03665627,0.09956229,-2
RANDOM_CONFOUNDED,cream_cheese,0,90,100,1,1,3,1,0.01544585,0.02998642,-2
RANDOM_CONFOUNDED,chocolate_pudding,0,70,80,1,1,4,4,0.01454235,0.05111415,-3
RANDOM_CONFOUNDED,ketchup,0,50,60,0,0,3,3,0.00927738,0.08753829,-3
