gpu_group,task,state_id,window_start,window_end,condition,attack_seed,job_id,job_uid,pair_uid,random_seed_str,eps_raw_pixels,pgd_steps,open_duration
gpu10,alphabet_soup,0,50,60,vis_pgd,70,296793,s18_alphabet_soup_s0_w50_60_vis_pgd_seed70,s18_alphabet_soup_s0_w50_60_seed70,296863,6,20,10
gpu10,alphabet_soup,0,50,60,random_linf,70,959618,s18_alphabet_soup_s0_w50_60_random_linf_seed70,s18_alphabet_soup_s0_w50_60_seed70,959688,6,20,10
gpu10,alphabet_soup,0,70,80,vis_pgd,70,570608,s18_alphabet_soup_s0_w70_80_vis_pgd_seed70,s18_alphabet_soup_s0_w70_80_seed70,570678,6,20,10
gpu10,alphabet_soup,0,70,80,random_linf,70,224373,s18_alphabet_soup_s0_w70_80_random_linf_seed70,s18_alphabet_soup_s0_w70_80_seed70,224443,6,20,10
gpu10,alphabet_soup,0,90,100,vis_pgd,70,518268,s18_alphabet_soup_s0_w90_100_vis_pgd_seed70,s18_alphabet_soup_s0_w90_100_seed70,518338,6,20,10
gpu10,alphabet_soup,0,90,100,random_linf,70,164833,s18_alphabet_soup_s0_w90_100_random_linf_seed70,s18_alphabet_soup_s0_w90_100_seed70,164903,6,20,10
gpu10,alphabet_soup,0,150,160,vis_pgd,70,486605,s18_alphabet_soup_s0_w150_160_vis_pgd_seed70,s18_alphabet_soup_s0_w150_160_seed70,486675,6,20,10
gpu10,alphabet_soup,0,150,160,random_linf,70,497965,s18_alphabet_soup_s0_w150_160_random_linf_seed70,s18_alphabet_soup_s0_w150_160_seed70,498035,6,20,10
gpu10,alphabet_soup,0,230,240,vis_pgd,70,393171,s18_alphabet_soup_s0_w230_240_vis_pgd_seed70,s18_alphabet_soup_s0_w230_240_seed70,393241,6,20,10
gpu10,alphabet_soup,0,230,240,random_linf,70,298614,s18_alphabet_soup_s0_w230_240_random_linf_seed70,s18_alphabet_soup_s0_w230_240_seed70,298684,6,20,10
gpu10,cream_cheese,0,50,60,vis_pgd,70,942887,s18_cream_cheese_s0_w50_60_vis_pgd_seed70,s18_cream_cheese_s0_w50_60_seed70,942957,6,20,10
gpu10,cream_cheese,0,50,60,random_linf,70,348149,s18_cream_cheese_s0_w50_60_random_linf_seed70,s18_cream_cheese_s0_w50_60_seed70,348219,6,20,10
gpu10,cream_cheese,0,70,80,vis_pgd,70,486907,s18_cream_cheese_s0_w70_80_vis_pgd_seed70,s18_cream_cheese_s0_w70_80_seed70,486977,6,20,10
