rank,actual_task,state_id,window_start,window_end,VIS_open,VIS_streak,RAND_open,RAND_streak,gap,class,recommended_action
1,ketchup,0,150,160,7,4,0,0,7,COMMAND_POSITIVE,Phase1_RAND_veto_seeds71_72_73_plus_ORACLE
2,milk,0,230,240,7,7,0,0,7,COMMAND_POSITIVE,Phase1_RAND_veto_seeds71_72_73_plus_ORACLE
3,milk,0,90,100,8,4,1,1,7,COMMAND_POSITIVE,Phase1_RAND_veto_seeds71_72_73_plus_ORACLE
4,orange_juice,0,50,60,8,5,1,1,7,COMMAND_POSITIVE,Phase1_RAND_veto_seeds71_72_73_plus_ORACLE
5,ketchup,0,230,240,8,3,0,0,8,PROMISING_BORDERLINE,Phase1_RAND_veto_seeds71_72_73
6,butter,0,230,240,7,3,1,1,6,PROMISING_BORDERLINE,Phase1_RAND_veto_seeds71_72_73
7,bbq_sauce,0,90,100,5,3,0,0,5,PROMISING_BORDERLINE,Phase1_RAND_veto_seeds71_72_73
8,butter,0,90,100,7,3,2,1,5,PROMISING_BORDERLINE,Phase1_RAND_veto_seeds71_72_73
9,salad_dressing,0,50,60,5,3,0,0,5,PROMISING_BORDERLINE,Phase1_RAND_veto_seeds71_72_73
10,tomato_sauce,0,90,100,5,3,0,0,5,PROMISING_BORDERLINE,Phase1_RAND_veto_seeds71_72_73
11,alphabet_soup,0,230,240,6,3,2,2,4,PROMISING_BORDERLINE,Phase1_RAND_veto_seeds71_72_73
12,butter,0,150,160,5,3,1,1,4,PROMISING_BORDERLINE,Phase1_RAND_veto_seeds71_72_73
13,cream_cheese,0,230,240,5,3,2,1,3,PROMISING_BORDERLINE,Phase1_RAND_veto_seeds71_72_73
