candidate,actual_task,seed,VIS_open,VIS_streak,RAND_open,RAND_streak,VIS_qpos,RAND_qpos,VIS_RAND_gap,oracle_ref,VIS_norm,RAND_norm,cmd_status,phys_status
ketchup_s0_w150_160,ketchup,71,8,6,7,4,0.5554,0.4829,1,0.5973,0.9299,0.8085,CMD_BORDER,PHYS_BORDER
ketchup_s0_w150_160,ketchup,72,7,5,0,0,0.5423,0.0,7,0.5973,0.9079,0.0,CMD_OK,PHYS_PASS
ketchup_s0_w150_160,ketchup,73,9,9,0,0,0.2053,0.0,9,0.5973,0.3437,0.0,CMD_OK,PHYS_PASS
milk_s0_w230_240,milk,71,0,0,1,1,0.0,0.0006,-1,0.2406,0.0,0.0024,CMD_WEAK,PHYS_WEAK
milk_s0_w230_240,milk,72,7,4,3,2,0.1015,0.0113,4,0.2406,0.422,0.0468,CMD_BORDER,PHYS_BORDER
milk_s0_w230_240,milk,73,7,4,5,4,0.1905,0.3971,2,0.2406,0.7918,1.6507,CMD_BORDER,PHYS_BORDER
milk_s0_w90_100,milk,71,5,2,2,1,0.0177,0.0272,3,0.6247,0.0283,0.0436,CMD_BORDER,PHYS_WEAK
milk_s0_w90_100,milk,72,4,2,1,1,0.1187,0.0917,3,0.6247,0.1901,0.1468,CMD_BORDER,PHYS_BORDER
milk_s0_w90_100,milk,73,1,1,1,1,0.025,0.0002,0,0.6247,0.04,0.0003,CMD_WEAK,PHYS_WEAK
orange_juice_s0_w50_60,orange_juice,71,7,3,2,1,0.1085,0.0038,5,0.3907,0.2778,0.0097,CMD_BORDER,PHYS_BORDER
orange_juice_s0_w50_60,orange_juice,72,5,2,2,2,0.0296,0.0082,3,0.3907,0.0757,0.0211,CMD_BORDER,PHYS_WEAK
orange_juice_s0_w50_60,orange_juice,73,5,3,0,0,0.0222,0.0,5,0.3907,0.0569,0.0,CMD_BORDER,PHYS_WEAK
