seed,condition,step,in_window,clean_token,clean_class,executed_token,executed_class,clean_env,executed_env,score_argmax,score_invariant_ok,score_gap,score_31744,score_31872,qpos_before,qpos_after,qpos_delta,eef_step_delta,eef_object_dist,obj_step_z_delta,success_primary
0,clean,68,0,31744,CLIP_MEDIATED_OPEN,31744,CLIP_MEDIATED_OPEN,-1.0,-1.0,31744,1,38.75,59.0,16.75,-3.051e-05,-2.458e-05,5.93e-06,0.00693742257614455,0.12522605648985358,0.0,0
0,clean,69,0,31744,CLIP_MEDIATED_OPEN,31744,CLIP_MEDIATED_OPEN,-1.0,-1.0,31744,1,31.875,60.5,28.625,-2.458e-05,-1.755e-05,7.03e-06,0.006991643154509516,0.11982201883627233,0.0,0
0,clean,70,1,31744,CLIP_MEDIATED_OPEN,31744,CLIP_MEDIATED_OPEN,-1.0,-1.0,31744,1,39.25,63.75,24.5,-1.755e-05,-2.024e-05,-2.68e-06,0.006798051338435152,0.11483270089134019,0.0,0
0,clean,71,1,31744,CLIP_MEDIATED_OPEN,31744,CLIP_MEDIATED_OPEN,-1.0,-1.0,31744,1,29.875,60.75,30.875,-2.024e-05,-1.856e-05,1.68e-06,0.005990200747888189,0.10962560635636183,0.0,0
0,clean,72,1,31744,CLIP_MEDIATED_OPEN,31744,CLIP_MEDIATED_OPEN,-1.0,-1.0,31744,1,37.625,58.25,9.5625,-1.856e-05,-1.584e-05,2.71e-06,0.0053494924992937435,0.10455663763243346,0.0,0
0,clean,73,1,31744,CLIP_MEDIATED_OPEN,31744,CLIP_MEDIATED_OPEN,-1.0,-1.0,31744,1,39.25,60.75,21.5,-1.584e-05,-1.417e-05,1.67e-06,0.005979842890912769,0.0986782468530932,0.0,0
0,clean,74,1,31744,CLIP_MEDIATED_OPEN,31744,CLIP_MEDIATED_OPEN,-1.0,-1.0,31744,1,32.5,59.0,26.5,-1.417e-05,-9.17e-06,5.01e-06,0.0068770267558007905,0.09185856846805311,0.0,0
0,clean,75,1,31744,CLIP_MEDIATED_OPEN,31744,CLIP_MEDIATED_OPEN,-1.0,-1.0,31744,1,14.375,44.25,29.875,-9.17e-06,-6.2e-06,2.97e-06,0.0062586933939920665,0.08571651477982525,0.0,0
0,clean,76,1,31744,CLIP_MEDIATED_OPEN,31744,CLIP_MEDIATED_OPEN,-1.0,-1.0,31744,1,18.75,56.75,38.0,-6.2e-06,-3.72e-06,2.48e-06,0.005606258645478287,0.0803522484439608,0.0,0
0,clean,77,1,31744,CLIP_MEDIATED_OPEN,31744,CLIP_MEDIATED_OPEN,-1.0,-1.0,31744,1,8.5,43.75,35.25,-3.72e-06,-1.14e-06,2.59e-06,0.006362089751017344,0.0741748838489148,0.0,0
0,clean,78,1,31872,NATIVE_CLOSE,31872,NATIVE_CLOSE,1.0,1.0,31872,1,0.25,41.0,41.25,-1.14e-06,2.351e-05,2.464e-05,0.006007220072546034,0.0684244970533215,0.0,0
0,clean,79,1,31744,CLIP_MEDIATED_OPEN,31744,CLIP_MEDIATED_OPEN,-1.0,-1.0,31744,1,1.25,53.0,51.75,2.351e-05,0.00039741,0.00037391,0.006056800888257767,0.06262986495275238,-0.00019099999999999673,0
0,clean,80,0,31872,NATIVE_CLOSE,31872,NATIVE_CLOSE,1.0,1.0,31872,1,9.0,49.0,58.0,0.00039741,0.0007629,0.00036549,0.00454528172944209,0.05868525136693204,0.00035199999999999815,0
0,clean,81,0,31872,NATIVE_CLOSE,31872,NATIVE_CLOSE,1.0,1.0,31872,1,29.125,24.125,53.25,0.0007629,0.00189086,0.00112796,0.0012862756314258614,0.05840655758559993,0.00042600000000000277,0
0,clean,82,0,31744,CLIP_MEDIATED_OPEN,31744,CLIP_MEDIATED_OPEN,-1.0,-1.0,31744,1,4.5,53.75,49.25,0.00189086,0.00267475,0.00078389,0.001718916810087099,0.059148423858966855,0.00025999999999999635,0
0,clean,83,0,31872,NATIVE_CLOSE,31872,NATIVE_CLOSE,1.0,1.0,31872,1,0.25,51.25,51.5,0.00267475,0.0027601,8.534e-05,0.0012583592491812504,0.058851376373029715,0.0005070000000000005,0
0,clean,84,0,31744,CLIP_MEDIATED_OPEN,31744,CLIP_MEDIATED_OPEN,-1.0,-1.0,31744,1,2.5,43.75,41.25,0.0027601,0.00321397,0.00045387,0.0016094213245760167,0.058436243642109656,0.0006980000000000042,0
0,clean,85,0,31872,NATIVE_CLOSE,31872,NATIVE_CLOSE,1.0,1.0,31872,1,27.25,25.25,52.5,0.00321397,0.00312516,-8.88e-05,0.0020076678012061616,0.058294133015252915,0.0006239999999999996,0
80,random_linf,68,0,31744,CLIP_MEDIATED_OPEN,31744,CLIP_MEDIATED_OPEN,-1.0,-1.0,31744,1,38.75,59.0,16.75,-3.051e-05,-2.458e-05,5.93e-06,0.00693742257614455,0.12522605648985358,0.0,0
80,random_linf,69,0,31744,CLIP_MEDIATED_OPEN,31744,CLIP_MEDIATED_OPEN,-1.0,-1.0,31744,1,31.875,60.5,28.625,-2.458e-05,-1.755e-05,7.03e-06,0.006991643154509516,0.11982201883627233,0.0,0
80,random_linf,70,1,31744,CLIP_MEDIATED_OPEN,31744,CLIP_MEDIATED_OPEN,-1.0,-1.0,31744,1,11.75,44.5,32.75,-1.755e-05,-1.236e-05,5.2e-06,0.006798051338435152,0.11483270089134019,0.0,0
80,random_linf,71,1,31744,CLIP_MEDIATED_OPEN,31744,CLIP_MEDIATED_OPEN,-1.0,-1.0,31744,1,3.0,50.0,47.0,-1.236e-05,-1.137e-05,9.9e-07,0.003871776207375631,0.11206287853254529,0.0,0
80,random_linf,72,1,31744,CLIP_MEDIATED_OPEN,31744,CLIP_MEDIATED_OPEN,-1.0,-1.0,31744,1,25.25,54.5,29.25,-1.137e-05,-7.96e-06,3.4e-06,0.003411049252063066,0.11416055445730808,0.0,0
80,random_linf,73,1,31744,CLIP_MEDIATED_OPEN,31744,CLIP_MEDIATED_OPEN,-1.0,-1.0,31744,1,9.25,45.5,36.25,-7.96e-06,-6.11e-06,1.86e-06,0.004246429205815169,0.11788358912503472,0.0,0
80,random_linf,74,1,31744,CLIP_MEDIATED_OPEN,31872,NATIVE_CLOSE,-1.0,1.0,31872,1,0.5,41.0,41.5,-6.11e-06,1.154e-05,1.765e-05,0.006162517829588802,0.12331376427228227,0.0,0
80,random_linf,75,1,31744,CLIP_MEDIATED_OPEN,31872,NATIVE_CLOSE,-1.0,1.0,31872,1,12.125,28.625,40.75,1.154e-05,5.348e-05,4.194e-05,0.010374498783073815,0.13243383190861768,0.0,0
80,random_linf,76,1,31744,CLIP_MEDIATED_OPEN,31872,NATIVE_CLOSE,-1.0,1.0,31872,1,18.75,27.75,46.5,5.348e-05,8.586e-05,3.238e-05,0.009073790222393274,0.14027270969436645,0.0,0
80,random_linf,77,1,31744,CLIP_MEDIATED_OPEN,31744,CLIP_MEDIATED_OPEN,-1.0,-1.0,31744,1,18.25,53.5,35.25,8.586e-05,4.332e-05,-4.254e-05,0.009794752217386621,0.14928956731801457,0.0,0
80,random_linf,78,1,31744,CLIP_MEDIATED_OPEN,31872,NATIVE_CLOSE,-1.0,1.0,31872,1,8.0,34.25,42.25,4.332e-05,3.097e-05,-1.235e-05,0.0061740225137263734,0.15512500684931493,0.0,0
80,random_linf,79,1,31744,CLIP_MEDIATED_OPEN,31872,NATIVE_CLOSE,-1.0,1.0,31872,1,2.25,40.25,42.5,3.097e-05,5.403e-05,2.305e-05,0.005949203980365783,0.16049731437628484,0.0,0
80,random_linf,80,0,31744,CLIP_MEDIATED_OPEN,31744,CLIP_MEDIATED_OPEN,-1.0,-1.0,31744,1,40.5,58.5,18.0,5.403e-05,1.287e-05,-4.116e-05,0.007146833564593465,0.16713804504061905,0.0,0
80,random_linf,81,0,31744,CLIP_MEDIATED_OPEN,31744,CLIP_MEDIATED_OPEN,-1.0,-1.0,31744,1,38.875,57.75,18.875,1.287e-05,-2.3e-06,-1.517e-05,0.0012723167844526661,0.16714370678550838,0.0,0
80,random_linf,82,0,31744,CLIP_MEDIATED_OPEN,31744,CLIP_MEDIATED_OPEN,-1.0,-1.0,31744,1,44.5,62.75,13.6875,-2.3e-06,1.77e-06,4.07e-06,0.006129071463117402,0.16171386704608853,0.0,0
80,random_linf,83,0,31744,CLIP_MEDIATED_OPEN,31744,CLIP_MEDIATED_OPEN,-1.0,-1.0,31744,1,34.5625,50.0,15.4375,1.77e-06,-2.002e-05,-2.179e-05,0.006668291685281916,0.15613860943725608,0.0,0
80,random_linf,84,0,31744,CLIP_MEDIATED_OPEN,31744,CLIP_MEDIATED_OPEN,-1.0,-1.0,31744,1,35.75,52.75,11.5,-2.002e-05,1.18e-06,2.12e-05,0.005807597523933628,0.15121177355616194,0.0,0
80,random_linf,85,0,31744,CLIP_MEDIATED_OPEN,31744,CLIP_MEDIATED_OPEN,-1.0,-1.0,31744,1,33.125,59.25,26.125,1.18e-06,6.61e-06,5.43e-06,0.006535704552685969,0.1457109563965593,0.0,0
80,vis_pgd,68,0,31744,CLIP_MEDIATED_OPEN,31744,CLIP_MEDIATED_OPEN,-1.0,-1.0,31744,1,38.75,59.0,16.75,-3.051e-05,-2.458e-05,5.93e-06,0.00693742257614455,0.12522605648985358,0.0,0
80,vis_pgd,69,0,31744,CLIP_MEDIATED_OPEN,31744,CLIP_MEDIATED_OPEN,-1.0,-1.0,31744,1,31.875,60.5,28.625,-2.458e-05,-1.755e-05,7.03e-06,0.006991643154509516,0.11982201883627233,0.0,0
