feature_group,model,target,n_samples,n_pos,auroc,balanced_acc,cv_mean
OldClean,LR,random_sensitive,35,0,,,
OldClean,LR,cmd_specific,35,9,0.83,0.718,0.83
OldClean,LR,task_or_contact,35,4,0.836,0.721,0.836
OldClean,RF,random_sensitive,35,0,,,
OldClean,RF,cmd_specific,35,9,0.81,0.792,0.81
OldClean,RF,task_or_contact,35,4,0.505,0.485,0.505
OldClean,GB,random_sensitive,35,0,,,
OldClean,GB,cmd_specific,35,9,0.773,0.792,0.773
OldClean,GB,task_or_contact,35,4,0.495,0.485,0.495
PhaseAware,LR,random_sensitive,35,0,,,
PhaseAware,LR,cmd_specific,35,9,0.787,0.755,0.787
PhaseAware,LR,task_or_contact,35,4,0.87,0.771,0.87
PhaseAware,RF,random_sensitive,35,0,,,
PhaseAware,RF,cmd_specific,35,9,0.85,0.755,0.85
PhaseAware,RF,task_or_contact,35,4,0.788,0.5,0.788
PhaseAware,GB,random_sensitive,35,0,,,
PhaseAware,GB,cmd_specific,35,9,0.742,0.755,0.742
PhaseAware,GB,task_or_contact,35,4,0.608,0.574,0.608
CloseTransitionAware,LR,random_sensitive,35,0,,,
CloseTransitionAware,LR,cmd_specific,35,9,0.843,0.755,0.843
CloseTransitionAware,LR,task_or_contact,35,4,0.742,0.573,0.742
CloseTransitionAware,RF,random_sensitive,35,0,,,
CloseTransitionAware,RF,cmd_specific,35,9,0.864,0.736,0.864
CloseTransitionAware,RF,task_or_contact,35,4,0.761,0.485,0.761
CloseTransitionAware,GB,random_sensitive,35,0,,,
CloseTransitionAware,GB,cmd_specific,35,9,0.835,0.736,0.835
CloseTransitionAware,GB,task_or_contact,35,4,0.515,0.47,0.515
PhaseAware+CloseTransitionAware,LR,random_sensitive,35,0,,,
PhaseAware+CloseTransitionAware,LR,cmd_specific,35,9,0.815,0.755,0.815
PhaseAware+CloseTransitionAware,LR,task_or_contact,35,4,0.85,0.755,0.85
PhaseAware+CloseTransitionAware,RF,random_sensitive,35,0,,,
PhaseAware+CloseTransitionAware,RF,cmd_specific,35,9,0.85,0.755,0.85
PhaseAware+CloseTransitionAware,RF,task_or_contact,35,4,0.771,0.5,0.771
PhaseAware+CloseTransitionAware,GB,random_sensitive,35,0,,,
PhaseAware+CloseTransitionAware,GB,cmd_specific,35,9,0.742,0.699,0.742
PhaseAware+CloseTransitionAware,GB,task_or_contact,35,4,0.623,0.605,0.623
NoTask_CloseTransitionAware,LR,random_sensitive,35,0,,,
NoTask_CloseTransitionAware,LR,cmd_specific,35,9,0.843,0.755,0.843
NoTask_CloseTransitionAware,LR,task_or_contact,35,4,0.742,0.573,0.742
NoTask_CloseTransitionAware,RF,random_sensitive,35,0,,,
NoTask_CloseTransitionAware,RF,cmd_specific,35,9,0.864,0.736,0.864
NoTask_CloseTransitionAware,RF,task_or_contact,35,4,0.761,0.485,0.761
NoTask_CloseTransitionAware,GB,random_sensitive,35,0,,,
NoTask_CloseTransitionAware,GB,cmd_specific,35,9,0.835,0.736,0.835
NoTask_CloseTransitionAware,GB,task_or_contact,35,4,0.515,0.47,0.515
AllWithTask,LR,random_sensitive,35,0,,,
AllWithTask,LR,cmd_specific,35,9,0.815,0.755,0.815
AllWithTask,LR,task_or_contact,35,4,0.85,0.671,0.85
AllWithTask,RF,random_sensitive,35,0,,,
AllWithTask,RF,cmd_specific,35,9,0.864,0.755,0.864
AllWithTask,RF,task_or_contact,35,4,0.758,0.5,0.758
AllWithTask,GB,random_sensitive,35,0,,,
AllWithTask,GB,cmd_specific,35,9,0.742,0.699,0.742
AllWithTask,GB,task_or_contact,35,4,0.623,0.605,0.623
