task,state_id,window_start,window_end,seed,phase,label_quality,classification,p_cmd_specific,p_random_sensitive,attack_score,rand_open,vis_open,open_delta
tomato_sauce,5,60,70,80,grasp_transition,STRICT,cmd_specific,0.94,0.0,0.94,0,4,4
tomato_sauce,5,150,160,80,preplace,STRICT,cmd_specific,0.93,0.0,0.93,0,5,5
tomato_sauce,5,160,170,80,preplace,STRICT,cmd_specific,0.91,0.0,0.91,0,8,8
ketchup,1,40,50,80,grasp_transition,STRICT,cmd_specific,0.9,0.0,0.9,3,7,4
tomato_sauce,3,25,35,80,approach,STRICT,cmd_specific,0.85,0.0,0.85,3,10,7
tomato_sauce,5,70,80,80,grasp_transition,STRICT,task_effect,0.84,0.0,0.84,2,8,6
ketchup,1,65,75,80,grasp_transition,STRICT,contact_effect_weak,0.7,0.0,0.7,0,2,2
ketchup,1,55,65,80,grasp_transition,STRICT,contact_effect_weak,0.56,0.0,0.56,0,0,0
tomato_sauce,5,65,75,80,grasp_transition,STRICT,cmd_borderline,0.13,0.0,0.13,0,1,1
ketchup,1,50,60,80,grasp_transition,STRICT,no_effect,0.09,0.0,0.09,0,0,0
