task,phase,n
alphabet_soup,approach,12
alphabet_soup,grasp_transition,11
alphabet_soup,transport,9
alphabet_soup,preplace,2
cream_cheese,approach,10
cream_cheese,grasp_transition,1
cream_cheese,transport,5
cream_cheese,preplace,2
cream_cheese,place_or_done,1
milk,approach,8
milk,grasp_transition,3
milk,transport,8
milk,preplace,5
orange_juice,approach,9
orange_juice,transport,7
orange_juice,preplace,3
orange_juice,place_or_done,1
salad_dressing,approach,10
salad_dressing,grasp_transition,1
salad_dressing,transport,5
salad_dressing,preplace,2
salad_dressing,place_or_done,1
