task,state_id,window_start,window_end,attack_seed,rand_open,rand_streak,rand_done,rand_timeout,rand_steps,rand_label,target_random_sensitive
tomato_sauce,3,70,80,80,5,2,True,False,128,RAND_USABLE_CLEAN,0
tomato_sauce,5,80,90,80,2,1,True,False,133,RAND_STRICT_CLEAN,0
tomato_sauce,5,125,135,80,9,9,True,False,134,RANDOM_SENSITIVE,1
tomato_sauce,5,110,120,80,0,0,False,True,280,RANDOM_SENSITIVE,1
ketchup,1,40,50,80,3,1,True,False,228,RAND_STRICT_CLEAN,0
ketchup,1,90,100,80,2,1,True,False,220,RAND_STRICT_CLEAN,0
tomato_sauce,5,165,175,80,0,0,True,False,159,RAND_STRICT_CLEAN,0
tomato_sauce,3,105,115,80,10,10,False,True,280,RANDOM_SENSITIVE,1
tomato_sauce,5,115,125,80,10,10,True,False,174,RANDOM_SENSITIVE,1
ketchup,1,65,75,80,0,0,True,False,144,RAND_STRICT_CLEAN,0
tomato_sauce,5,20,30,80,5,2,False,True,280,RANDOM_SENSITIVE,1
ketchup,1,165,175,80,0,0,True,False,147,RAND_STRICT_CLEAN,0
tomato_sauce,5,100,110,80,4,2,True,False,187,RAND_USABLE_CLEAN,0
ketchup,1,135,145,80,5,5,True,False,140,RAND_USABLE_CLEAN,0
tomato_sauce,5,50,60,80,3,2,False,True,280,RANDOM_SENSITIVE,1
tomato_sauce,5,35,45,80,2,2,False,True,280,RANDOM_SENSITIVE,1
ketchup,1,50,60,80,0,0,True,False,182,RAND_STRICT_CLEAN,0
tomato_sauce,3,35,45,80,0,0,False,True,280,RANDOM_SENSITIVE,1
ketchup,1,30,40,80,6,3,False,True,280,RANDOM_SENSITIVE,1
tomato_sauce,3,15,25,80,9,9,True,False,162,RANDOM_SENSITIVE,1
ketchup,1,140,150,80,1,1,True,False,183,RAND_STRICT_CLEAN,0
tomato_sauce,5,90,100,80,1,1,True,False,211,RAND_STRICT_CLEAN,0
ketchup,1,35,45,80,4,2,False,True,280,RANDOM_SENSITIVE,1
ketchup,1,130,140,80,5,1,True,False,203,RAND_USABLE_CLEAN,0
ketchup,1,100,110,80,4,3,True,False,145,RAND_USABLE_CLEAN,0
ketchup,1,5,15,80,9,5,True,False,152,RANDOM_SENSITIVE,1
ketchup,1,155,165,80,0,0,True,False,129,RAND_STRICT_CLEAN,0
tomato_sauce,5,85,95,80,2,1,True,False,180,RAND_STRICT_CLEAN,0
tomato_sauce,5,160,170,80,0,0,True,False,135,RAND_STRICT_CLEAN,0
tomato_sauce,3,55,65,80,4,2,False,True,280,RANDOM_SENSITIVE,1
tomato_sauce,3,65,75,80,8,5,True,False,158,RANDOM_SENSITIVE,1
tomato_sauce,5,65,75,80,0,0,True,False,163,RAND_STRICT_CLEAN,0
tomato_sauce,5,75,85,80,0,0,True,False,150,RAND_STRICT_CLEAN,0
tomato_sauce,3,115,125,80,9,9,True,False,126,RANDOM_SENSITIVE,1
tomato_sauce,3,100,110,80,7,5,False,True,280,RANDOM_SENSITIVE,1
tomato_sauce,5,120,130,80,10,10,False,True,280,RANDOM_SENSITIVE,1
tomato_sauce,5,70,80,80,2,2,True,False,141,RAND_STRICT_CLEAN,0
tomato_sauce,5,135,145,80,8,8,True,False,143,RANDOM_SENSITIVE,1
tomato_sauce,3,80,90,80,7,3,True,False,151,RANDOM_SENSITIVE,1
ketchup,1,125,135,80,9,9,True,False,140,RANDOM_SENSITIVE,1
tomato_sauce,3,45,55,80,2,1,False,True,280,RANDOM_SENSITIVE,1
tomato_sauce,3,40,50,80,3,2,False,True,280,RANDOM_SENSITIVE,1
tomato_sauce,5,45,55,80,4,2,False,True,280,RANDOM_SENSITIVE,1
ketchup,1,105,115,80,6,3,True,False,137,RANDOM_SENSITIVE,1
ketchup,1,115,125,80,5,2,True,False,138,RAND_USABLE_CLEAN,0
ketchup,1,55,65,80,0,0,True,False,138,RAND_STRICT_CLEAN,0
tomato_sauce,3,60,70,80,9,7,True,False,162,RANDOM_SENSITIVE,1
tomato_sauce,3,50,60,80,8,5,False,True,280,RANDOM_SENSITIVE,1
tomato_sauce,3,20,30,80,10,10,True,False,142,RANDOM_SENSITIVE,1
tomato_sauce,5,105,115,80,9,9,False,True,280,RANDOM_SENSITIVE,1
tomato_sauce,5,155,165,80,5,5,True,False,160,RAND_USABLE_CLEAN,0
tomato_sauce,3,95,105,80,8,6,False,True,280,RANDOM_SENSITIVE,1
ketchup,1,75,85,80,7,4,False,True,280,RANDOM_SENSITIVE,1
ketchup,1,95,105,80,6,5,False,True,280,RANDOM_SENSITIVE,1
tomato_sauce,3,110,120,80,6,6,True,False,149,RANDOM_SENSITIVE,1
tomato_sauce,5,55,65,80,0,0,False,True,280,RANDOM_SENSITIVE,1
tomato_sauce,3,125,135,80,8,8,True,False,133,RANDOM_SENSITIVE,1
tomato_sauce,5,10,20,80,7,6,True,False,250,RANDOM_SENSITIVE,1
tomato_sauce,5,40,50,80,6,4,False,True,280,RANDOM_SENSITIVE,1
ketchup,1,15,25,80,7,6,False,True,280,RANDOM_SENSITIVE,1
tomato_sauce,5,15,25,80,8,4,False,True,280,RANDOM_SENSITIVE,1
tomato_sauce,5,130,140,80,8,8,True,False,138,RANDOM_SENSITIVE,1
ketchup,1,20,30,80,5,3,False,True,280,RANDOM_SENSITIVE,1
tomato_sauce,3,85,95,80,8,8,True,False,194,RANDOM_SENSITIVE,1
ketchup,1,150,160,80,0,0,True,False,181,RAND_STRICT_CLEAN,0
tomato_sauce,5,95,105,80,5,3,True,False,206,RAND_USABLE_CLEAN,0
tomato_sauce,5,145,155,80,5,5,True,False,150,RAND_USABLE_CLEAN,0
tomato_sauce,3,120,130,80,7,6,True,False,155,RANDOM_SENSITIVE,1
ketchup,1,45,55,80,6,4,True,False,213,RANDOM_SENSITIVE,1
ketchup,1,145,155,80,6,3,True,False,257,RANDOM_SENSITIVE,1
ketchup,1,80,90,80,2,2,False,True,280,RANDOM_SENSITIVE,1
tomato_sauce,3,130,140,80,9,9,True,False,139,RANDOM_SENSITIVE,1
ketchup,1,70,80,80,5,2,True,False,222,RAND_USABLE_CLEAN,0
tomato_sauce,5,140,150,80,6,6,True,False,146,RANDOM_SENSITIVE,1
ketchup,1,160,170,80,1,1,True,False,184,RAND_STRICT_CLEAN,0
tomato_sauce,3,90,100,80,7,5,True,False,163,RANDOM_SENSITIVE,1
tomato_sauce,3,30,40,80,2,2,False,True,280,RANDOM_SENSITIVE,1
tomato_sauce,3,25,35,80,3,2,True,False,275,RAND_STRICT_CLEAN,0
tomato_sauce,3,75,85,80,4,1,True,False,153,RAND_USABLE_CLEAN,0
ketchup,1,25,35,80,8,7,True,False,152,RANDOM_SENSITIVE,1
ketchup,1,110,120,80,1,1,True,False,186,RAND_STRICT_CLEAN,0
ketchup,1,120,130,80,0,0,True,False,213,RAND_STRICT_CLEAN,0
ketchup,1,10,20,80,7,5,False,True,280,RANDOM_SENSITIVE,1
tomato_sauce,3,10,20,80,10,10,False,True,280,RANDOM_SENSITIVE,1
tomato_sauce,3,5,15,80,9,7,True,False,153,RANDOM_SENSITIVE,1
tomato_sauce,5,5,15,80,5,1,False,True,280,RANDOM_SENSITIVE,1
ketchup,1,85,95,80,6,2,True,False,191,RANDOM_SENSITIVE,1
tomato_sauce,5,150,160,80,0,0,True,False,138,RAND_STRICT_CLEAN,0
ketchup,1,60,70,80,7,6,True,False,223,RANDOM_SENSITIVE,1
tomato_sauce,5,30,40,80,1,1,False,True,280,RANDOM_SENSITIVE,1
tomato_sauce,5,60,70,80,0,0,True,False,226,RAND_STRICT_CLEAN,0
tomato_sauce,5,25,35,80,3,2,False,True,280,RANDOM_SENSITIVE,1
tomato_sauce,3,70,80,96,4,3,True,False,145,RAND_USABLE_CLEAN,0
tomato_sauce,5,105,115,98,8,6,True,False,199,RANDOM_SENSITIVE,1
ketchup,1,40,50,99,0,0,False,True,280,RANDOM_SENSITIVE,1
ketchup,1,105,115,97,0,0,True,False,194,RAND_STRICT_CLEAN,0
tomato_sauce,3,25,35,81,4,2,True,False,246,RAND_USABLE_CLEAN,0
tomato_sauce,5,145,155,82,7,7,True,False,152,RANDOM_SENSITIVE,1
ketchup,1,40,50,82,2,1,True,False,232,RAND_STRICT_CLEAN,0
tomato_sauce,5,70,80,82,2,2,True,False,143,RAND_STRICT_CLEAN,0
ketchup,1,55,65,82,1,1,True,False,211,RAND_STRICT_CLEAN,0
