job_id,task,state_id,window_start,window_end,condition,attack_seed,random_control_seed,seed,candidate_id,tier,track,status
230001,milk,1,50,60,random_linf,85,85,0,milk_s1_w50_60,C_refill_grasp_transition,C_refill_expansion,pending
230002,milk,1,50,60,vis_pgd,85,,0,milk_s1_w50_60,C_refill_grasp_transition,C_refill_expansion,pending
230003,cream_cheese,1,60,70,random_linf,85,85,0,cream_cheese_s1_w60_70,C_refill_grasp_transition,C_refill_expansion,pending
230004,cream_cheese,1,60,70,vis_pgd,85,,0,cream_cheese_s1_w60_70,C_refill_grasp_transition,C_refill_expansion,pending
230005,salad_dressing,1,60,70,random_linf,85,85,0,salad_dressing_s1_w60_70,C_refill_grasp_transition,C_refill_expansion,pending
230006,salad_dressing,1,60,70,vis_pgd,85,,0,salad_dressing_s1_w60_70,C_refill_grasp_transition,C_refill_expansion,pending
230007,alphabet_soup,1,70,80,random_linf,85,85,0,alphabet_soup_s1_w70_80,C_refill_grasp_transition,C_refill_expansion,pending
230008,alphabet_soup,1,70,80,vis_pgd,85,,0,alphabet_soup_s1_w70_80,C_refill_grasp_transition,C_refill_expansion,pending
230009,milk,1,75,85,random_linf,85,85,0,milk_s1_w75_85,C_refill_transport,C_refill_expansion,pending
230010,milk,1,75,85,vis_pgd,85,,0,milk_s1_w75_85,C_refill_transport,C_refill_expansion,pending
230011,cream_cheese,1,75,85,random_linf,85,85,0,cream_cheese_s1_w75_85,C_refill_transport,C_refill_expansion,pending
230012,cream_cheese,1,75,85,vis_pgd,85,,0,cream_cheese_s1_w75_85,C_refill_transport,C_refill_expansion,pending
230013,salad_dressing,1,75,85,random_linf,85,85,0,salad_dressing_s1_w75_85,C_refill_transport,C_refill_expansion,pending
230014,salad_dressing,1,75,85,vis_pgd,85,,0,salad_dressing_s1_w75_85,C_refill_transport,C_refill_expansion,pending
230015,orange_juice,1,65,75,random_linf,85,85,0,orange_juice_s1_w65_75,C_refill_transport,C_refill_expansion,pending
230016,orange_juice,1,65,75,vis_pgd,85,,0,orange_juice_s1_w65_75,C_refill_transport,C_refill_expansion,pending
230017,alphabet_soup,1,135,145,random_linf,85,85,0,alphabet_soup_s1_w135_145,C_refill_transport,C_refill_expansion,pending
230018,alphabet_soup,1,135,145,vis_pgd,85,,0,alphabet_soup_s1_w135_145,C_refill_transport,C_refill_expansion,pending
230019,milk,1,120,130,random_linf,85,85,0,milk_s1_w120_130,C_refill_preplace,C_refill_expansion,pending
230020,milk,1,120,130,vis_pgd,85,,0,milk_s1_w120_130,C_refill_preplace,C_refill_expansion,pending
230021,cream_cheese,1,105,115,random_linf,85,85,0,cream_cheese_s1_w105_115,C_refill_preplace,C_refill_expansion,pending
230022,cream_cheese,1,105,115,vis_pgd,85,,0,cream_cheese_s1_w105_115,C_refill_preplace,C_refill_expansion,pending
230023,salad_dressing,1,105,115,random_linf,85,85,0,salad_dressing_s1_w105_115,C_refill_preplace,C_refill_expansion,pending
230024,salad_dressing,1,105,115,vis_pgd,85,,0,salad_dressing_s1_w105_115,C_refill_preplace,C_refill_expansion,pending
230025,orange_juice,1,105,115,random_linf,85,85,0,orange_juice_s1_w105_115,C_refill_preplace,C_refill_expansion,pending
230026,orange_juice,1,105,115,vis_pgd,85,,0,orange_juice_s1_w105_115,C_refill_preplace,C_refill_expansion,pending
230027,alphabet_soup,1,185,195,random_linf,85,85,0,alphabet_soup_s1_w185_195,C_refill_preplace,C_refill_expansion,pending
230028,alphabet_soup,1,185,195,vis_pgd,85,,0,alphabet_soup_s1_w185_195,C_refill_preplace,C_refill_expansion,pending
