task,state_id,window_start,window_end,phase,p_rand_ct_lr,p_rand_ac_lr,eligible_tier,source
ketchup,1,5,15,approach,0.6938,0.7933,predicted_random_sensitive,s20f_universe
ketchup,1,10,20,approach,0.6956,0.7961,predicted_random_sensitive,s20f_universe
ketchup,1,15,25,approach,0.6977,0.799,predicted_random_sensitive,s20f_universe
ketchup,1,20,30,approach,0.7001,0.8024,predicted_random_sensitive,s20f_universe
ketchup,1,25,35,approach,0.723,0.8224,predicted_random_sensitive,s20f_universe
ketchup,1,30,40,approach,0.7635,0.8544,predicted_random_sensitive,s20f_universe
ketchup,1,35,45,approach,0.7771,0.8656,predicted_random_sensitive,s20f_universe
ketchup,1,40,50,grasp_transition,0.5558,0.611,predicted_random_sensitive,s20f_universe
ketchup,1,45,55,grasp_transition,0.3066,0.2728,eligible_usable,s20f_universe
ketchup,1,50,60,grasp_transition,0.2983,0.266,eligible_usable,s20f_universe
ketchup,1,55,65,grasp_transition,0.335,0.3043,eligible_usable,s20f_universe
ketchup,1,60,70,grasp_transition,0.362,0.3337,eligible_usable,s20f_universe
ketchup,1,65,75,grasp_transition,0.4298,0.3035,disagreement,s20f_universe
ketchup,1,70,80,grasp_transition,0.5499,0.2297,disagreement,s20f_universe
ketchup,1,75,85,grasp_transition,0.6421,0.2241,disagreement,s20f_universe
ketchup,1,80,90,grasp_transition,0.7113,0.2452,disagreement,s20f_universe
ketchup,1,85,95,grasp_transition,0.7238,0.2598,disagreement,s20f_universe
ketchup,1,90,100,grasp_transition,0.4952,0.2791,disagreement,s20f_universe
ketchup,1,95,105,grasp_transition,0.1795,0.2196,eligible_strict,s20f_universe
ketchup,1,100,110,grasp_transition,0.0839,0.1101,eligible_strict,s20f_universe
ketchup,1,105,115,early_transport,0.0806,0.0993,eligible_strict,s20f_universe
ketchup,1,110,120,transport,0.0991,0.1187,eligible_strict,s20f_universe
ketchup,1,115,125,transport,0.1218,0.1364,eligible_strict,s20f_universe
ketchup,1,120,130,transport,0.1564,0.1658,eligible_strict,s20f_universe
ketchup,1,125,135,transport,0.1988,0.2034,eligible_strict,s20f_universe
ketchup,1,130,140,transport,0.2324,0.2413,eligible_strict,s20f_universe
ketchup,1,135,145,transport,0.2447,0.2523,eligible_strict,s20f_universe
ketchup,1,140,150,transport,0.2545,0.2641,eligible_usable,s20f_universe
ketchup,1,145,155,transport,0.2639,0.2741,eligible_usable,s20f_universe
ketchup,1,150,160,transport,0.28,0.2906,eligible_usable,s20f_universe
ketchup,1,155,165,preplace,0.3133,0.3288,eligible_usable,s20f_universe
ketchup,1,160,170,preplace,0.3517,0.3723,eligible_usable,s20f_universe
ketchup,1,165,175,preplace,0.3769,0.4013,eligible_usable,s20f_universe
