feature_group,model,n,pos,auroc,auprc,recall,eligible_precision,false_clean_rate,abstain_rate
TaskOnly,LR,146,93,nan,0.705,1.0,0,1,1.0
TaskOnly,RF,146,93,nan,0.705,1.0,0,1,1.0
TaskOnly,GB,146,93,nan,0.705,1.0,0,1,1.0
PhaseOnly,LR,146,93,nan,0.813,0.606,0.508,0.492,0.596
PhaseOnly,RF,146,93,nan,0.813,0.475,0.517,0.483,0.603
PhaseOnly,GB,146,93,nan,0.813,0.789,0.469,0.531,0.781
Task+Phase,LR,146,93,nan,0.796,0.757,0.469,0.531,0.781
Task+Phase,RF,146,93,nan,0.801,0.811,0.484,0.516,0.788
Task+Phase,GB,146,93,nan,0.803,0.811,0.469,0.531,0.781
CleanNoTaskNoTiming,LR,146,93,nan,0.817,0.74,0.39,0.61,0.719
CleanNoTaskNoTiming,RF,146,93,nan,0.798,0.869,0.5,0.5,0.932
CleanNoTaskNoTiming,GB,146,93,nan,0.747,0.828,0.435,0.565,0.842
CleanNoTaskWithTiming,LR,146,93,nan,0.796,0.705,0.386,0.614,0.699
CleanNoTaskWithTiming,RF,146,93,nan,0.799,0.847,0.583,0.417,0.918
CleanNoTaskWithTiming,GB,146,93,nan,0.76,0.895,0.588,0.412,0.884
TransitionOnly,LR,146,93,nan,0.853,1.0,1.0,0.0,0.849
TransitionOnly,RF,146,93,nan,0.861,1.0,1.0,0.0,0.808
TransitionOnly,GB,146,93,nan,0.856,1.0,1.0,0.0,0.767
Clean+Transition,LR,146,93,nan,0.903,0.881,0.793,0.207,0.801
Clean+Transition,RF,146,93,nan,0.889,0.961,0.88,0.12,0.829
Clean+Transition,GB,146,93,nan,0.863,0.961,0.9,0.1,0.795
Phase+Clean+Transition,LR,146,93,nan,0.908,0.846,0.722,0.278,0.753
Phase+Clean+Transition,RF,146,93,nan,0.934,0.987,1.0,0.0,0.842
Phase+Clean+Transition,GB,146,93,nan,0.894,0.974,0.929,0.071,0.808
AllCleanNoTask,LR,146,93,nan,0.89,0.881,0.816,0.184,0.74
AllCleanNoTask,RF,146,93,nan,0.916,1.0,1.0,0.0,0.849
AllCleanNoTask,GB,146,93,nan,0.888,0.974,0.923,0.077,0.822
AllCleanWithTask,LR,146,93,nan,0.888,0.744,0.9,0.1,0.795
AllCleanWithTask,RF,146,93,nan,0.921,1.0,1.0,0.0,0.849
AllCleanWithTask,GB,146,93,nan,0.884,0.974,0.923,0.077,0.822
