feature_group,model,n_train,n_pos_train,auroc_gkf,prec_gkf,false_clean_gkf,val_auroc,val_prec,val_abstain,test_auroc,test_prec,test_abstain
TaskOnly,LR,130,51,nan,0.333,0.261,0.5,0,1.0,0.5,0,1.0
TaskOnly,RF,130,51,nan,0.333,0.261,0.5,0.722,0.0,0.5,0.614,0.0
TaskOnly,GB,130,51,nan,0.499,0.197,0.5,0.722,0.0,0.5,0.614,0.0
PhaseOnly,LR,130,51,nan,0.097,0.293,0.469,0.714,0.222,0.456,0.417,0.727
PhaseOnly,RF,130,51,nan,0.097,0.433,0.423,0.714,0.222,0.334,0.417,0.727
PhaseOnly,GB,130,51,nan,0.097,0.396,0.469,0.714,0.222,0.456,0.417,0.727
Task+Phase,LR,130,51,nan,0.191,0.327,0.469,0.714,0.222,0.456,0.417,0.727
Task+Phase,RF,130,51,nan,0.228,0.197,0.869,0.765,0.056,0.561,0.65,0.091
Task+Phase,GB,130,51,nan,0.17,0.357,0.731,0.765,0.056,0.469,0.65,0.091
CleanNoTask,LR,130,51,nan,0.521,,0.5,0,1.0,0.5,0,1.0
CleanNoTask,RF,130,51,nan,0.651,,0.5,0,1.0,0.5,0,1.0
CleanNoTask,GB,130,51,nan,,0.667,0.5,0.722,0.0,0.5,0.614,0.0
Clean+Transition,LR,130,51,nan,0.439,0.0,0.5,0,1.0,0.5,0,1.0
Clean+Transition,RF,130,51,nan,0.418,0.0,0.5,0,1.0,0.5,0,1.0
Clean+Transition,GB,130,51,nan,0.726,0.0,0.5,0,1.0,0.5,0,1.0
Phase+Clean+Trans,LR,130,51,nan,0.445,0.08,0.885,1.0,0.667,0.473,0.5,0.727
Phase+Clean+Trans,RF,130,51,nan,0.297,0.288,0.754,0.9,0.444,0.444,0.611,0.591
Phase+Clean+Trans,GB,130,51,nan,0.322,0.333,0.777,0.9,0.444,0.508,0.579,0.568
AllNoTask,LR,130,51,nan,0.45,0.048,0.885,1.0,0.667,0.538,0.455,0.75
AllNoTask,RF,130,51,nan,0.297,0.292,0.754,0.9,0.444,0.449,0.611,0.591
AllNoTask,GB,130,51,nan,0.333,0.333,0.777,0.9,0.444,0.51,0.6,0.545
AllWithTask,LR,130,51,nan,0.359,0.055,0.792,1.0,0.778,0.532,0.529,0.614
AllWithTask,RF,130,51,nan,0.266,0.284,0.723,0.786,0.222,0.525,0.643,0.364
AllWithTask,GB,130,51,nan,0.3,0.244,0.777,0.769,0.278,0.524,0.615,0.409
