job_id,task,state_id,parent_id,queue_status,summary_exists,trace_exists,summary_success,summary_infra,failure_stage
330001,alphabet_soup,10,alphabet_soup_s10,done,True,True,False,ok,POLICY_FAILURE_OR_TIMEOUT
330002,alphabet_soup,11,alphabet_soup_s11,failed,False,False,,,INFRA_FAILURE_NO_SUMMARY
330003,alphabet_soup,12,alphabet_soup_s12,done,True,True,True,ok,
330004,alphabet_soup,13,alphabet_soup_s13,done,True,True,False,ok,POLICY_FAILURE_OR_TIMEOUT
330005,alphabet_soup,14,alphabet_soup_s14,done,True,True,True,ok,
330006,alphabet_soup,15,alphabet_soup_s15,done,True,True,True,ok,
330007,alphabet_soup,16,alphabet_soup_s16,done,True,True,True,ok,
330008,alphabet_soup,17,alphabet_soup_s17,done,True,True,False,ok,POLICY_FAILURE_OR_TIMEOUT
330009,alphabet_soup,18,alphabet_soup_s18,done,True,True,True,ok,
330010,alphabet_soup,19,alphabet_soup_s19,done,True,True,True,ok,
330011,alphabet_soup,20,alphabet_soup_s20,done,True,True,True,ok,
330012,alphabet_soup,21,alphabet_soup_s21,done,True,True,False,ok,POLICY_FAILURE_OR_TIMEOUT
330013,alphabet_soup,22,alphabet_soup_s22,done,True,True,True,ok,
330014,alphabet_soup,23,alphabet_soup_s23,failed,False,False,,,INFRA_FAILURE_NO_SUMMARY
330015,alphabet_soup,24,alphabet_soup_s24,done,True,True,True,ok,
330016,alphabet_soup,25,alphabet_soup_s25,done,True,True,True,ok,
330017,alphabet_soup,26,alphabet_soup_s26,failed,False,False,,,INFRA_FAILURE_NO_SUMMARY
330018,alphabet_soup,27,alphabet_soup_s27,done,True,True,False,ok,POLICY_FAILURE_OR_TIMEOUT
330019,alphabet_soup,28,alphabet_soup_s28,failed,False,False,,,INFRA_FAILURE_NO_SUMMARY
330020,alphabet_soup,29,alphabet_soup_s29,done,True,True,True,ok,
330021,alphabet_soup,30,alphabet_soup_s30,done,True,True,True,ok,
