job_id,task,state_id,window_start,window_end,open_duration,condition,pair_id,gpu_pair,output_dir,max_steps
900000,milk,0,70,80,10,clean,milk_s0_w70_80_L10_clean,,,400
900001,milk,0,70,80,10,oracle_open,milk_s0_w70_80_L10_oracle_open,,,400
900002,milk,0,70,80,20,clean,milk_s0_w70_80_L20_clean,,,400
900003,milk,0,70,80,20,oracle_open,milk_s0_w70_80_L20_oracle_open,,,400
900004,milk,0,70,80,30,clean,milk_s0_w70_80_L30_clean,,,400
900005,milk,0,70,80,30,oracle_open,milk_s0_w70_80_L30_oracle_open,,,400
900006,milk,0,70,80,40,clean,milk_s0_w70_80_L40_clean,,,400
900007,milk,0,70,80,40,oracle_open,milk_s0_w70_80_L40_oracle_open,,,400
900008,butter,0,90,100,10,clean,butter_s0_w90_100_L10_clean,,,400
900009,butter,0,90,100,10,oracle_open,butter_s0_w90_100_L10_oracle_open,,,400
900010,butter,0,90,100,20,clean,butter_s0_w90_100_L20_clean,,,400
900011,butter,0,90,100,20,oracle_open,butter_s0_w90_100_L20_oracle_open,,,400
900012,butter,0,90,100,30,clean,butter_s0_w90_100_L30_clean,,,400
900013,butter,0,90,100,30,oracle_open,butter_s0_w90_100_L30_oracle_open,,,400
900014,butter,0,90,100,40,clean,butter_s0_w90_100_L40_clean,,,400
900015,butter,0,90,100,40,oracle_open,butter_s0_w90_100_L40_oracle_open,,,400
900016,tomato_sauce,2,165,175,10,clean,tomato_sauce_s2_w165_175_L10_clean,,,400
900017,tomato_sauce,2,165,175,10,oracle_open,tomato_sauce_s2_w165_175_L10_oracle_open,,,400
900018,tomato_sauce,2,165,175,20,clean,tomato_sauce_s2_w165_175_L20_clean,,,400
900019,tomato_sauce,2,165,175,20,oracle_open,tomato_sauce_s2_w165_175_L20_oracle_open,,,400
900020,tomato_sauce,2,165,175,30,clean,tomato_sauce_s2_w165_175_L30_clean,,,400
900021,tomato_sauce,2,165,175,30,oracle_open,tomato_sauce_s2_w165_175_L30_oracle_open,,,400
900022,tomato_sauce,2,165,175,40,clean,tomato_sauce_s2_w165_175_L40_clean,,,400
900023,tomato_sauce,2,165,175,40,oracle_open,tomato_sauce_s2_w165_175_L40_oracle_open,,,400
900024,cream_cheese,0,65,75,10,clean,cream_cheese_s0_w65_75_L10_clean,,,400
900025,cream_cheese,0,65,75,10,oracle_open,cream_cheese_s0_w65_75_L10_oracle_open,,,400
900026,cream_cheese,0,65,75,20,clean,cream_cheese_s0_w65_75_L20_clean,,,400
900027,cream_cheese,0,65,75,20,oracle_open,cream_cheese_s0_w65_75_L20_oracle_open,,,400
900028,cream_cheese,0,65,75,30,clean,cream_cheese_s0_w65_75_L30_clean,,,400
900029,cream_cheese,0,65,75,30,oracle_open,cream_cheese_s0_w65_75_L30_oracle_open,,,400
900030,cream_cheese,0,65,75,40,clean,cream_cheese_s0_w65_75_L40_clean,,,400
900031,cream_cheese,0,65,75,40,oracle_open,cream_cheese_s0_w65_75_L40_oracle_open,,,400
