job_id,task,condition,L,infra_status,oracle_active_count,n_steps,open_count_oracle,open_rate_oracle,runner
900004,butter,clean,10,ok,0,120,3,0.3,s8_oracle_open_physical_scan_v1
900006,butter,clean,20,ok,0,130,2,0.1,s8_oracle_open_physical_scan_v1
910002,butter,clean,30,ok,0,140,11,0.3667,s8_oracle_open_physical_scan_v1
920002,butter,clean,40,ok,0,150,14,0.35,s8_oracle_open_physical_scan_v1
900005,butter,oracle_open,10,ok,10,120,10,1.0,s8_oracle_open_physical_scan_v1
900007,butter,oracle_open,20,ok,20,130,20,1.0,s8_oracle_open_physical_scan_v1
910003,butter,oracle_open,30,ok,30,140,30,1.0,s8_oracle_open_physical_scan_v1
920003,butter,oracle_open,40,ok,40,150,40,1.0,s8_oracle_open_physical_scan_v1
900010,cream_cheese,clean,10,ok,0,95,2,0.2,s8_oracle_open_physical_scan_v1
910008,cream_cheese,clean,20,ok,0,105,2,0.1,s8_oracle_open_physical_scan_v1
920006,cream_cheese,clean,30,ok,0,115,10,0.3333,s8_oracle_open_physical_scan_v1
920008,cream_cheese,clean,40,ok,0,125,12,0.3,s8_oracle_open_physical_scan_v1
900011,cream_cheese,oracle_open,10,ok,10,95,10,1.0,s8_oracle_open_physical_scan_v1
910009,cream_cheese,oracle_open,20,ok,20,105,20,1.0,s8_oracle_open_physical_scan_v1
920007,cream_cheese,oracle_open,30,ok,30,115,30,1.0,s8_oracle_open_physical_scan_v1
920009,cream_cheese,oracle_open,40,ok,40,125,40,1.0,s8_oracle_open_physical_scan_v1
900000,milk,clean,10,ok,0,100,0,0.0,s8_oracle_open_physical_scan_v1
900002,milk,clean,20,ok,0,110,0,0.0,s8_oracle_open_physical_scan_v1
910000,milk,clean,30,ok,0,120,3,0.1,s8_oracle_open_physical_scan_v1
920000,milk,clean,40,ok,0,130,0,0.0,s8_oracle_open_physical_scan_v1
900001,milk,oracle_open,10,ok,10,100,10,1.0,s8_oracle_open_physical_scan_v1
900003,milk,oracle_open,20,ok,20,110,20,1.0,s8_oracle_open_physical_scan_v1
910001,milk,oracle_open,30,ok,30,120,30,1.0,s8_oracle_open_physical_scan_v1
920001,milk,oracle_open,40,ok,40,130,40,1.0,s8_oracle_open_physical_scan_v1
900008,tomato_sauce,clean,10,ok,0,195,0,0.0,s8_oracle_open_physical_scan_v1
910004,tomato_sauce,clean,20,ok,0,205,6,0.3,s8_oracle_open_physical_scan_v1
910006,tomato_sauce,clean,30,ok,0,215,8,0.2667,s8_oracle_open_physical_scan_v1
920004,tomato_sauce,clean,40,ok,0,225,3,0.075,s8_oracle_open_physical_scan_v1
900009,tomato_sauce,oracle_open,10,ok,10,195,10,1.0,s8_oracle_open_physical_scan_v1
910005,tomato_sauce,oracle_open,20,ok,20,205,20,1.0,s8_oracle_open_physical_scan_v1
910007,tomato_sauce,oracle_open,30,ok,30,215,30,1.0,s8_oracle_open_physical_scan_v1
920005,tomato_sauce,oracle_open,40,ok,40,225,40,1.0,s8_oracle_open_physical_scan_v1
