physical_pair_key,task,state_id,window_start,window_end,L,clean_qpos_pos_area,clean_qpos_neg_area,clean_qpos_abs_area,oracle_qpos_pos_area,oracle_qpos_neg_area,oracle_qpos_abs_area,oracle_minus_clean_pos_area,oracle_minus_clean_neg_area,oracle_minus_clean_abs_area,response_delay_pos,response_delay_neg,opening_direction,window_category
butter_s0_w90_100_L10,butter,0,90,100,10,0.02808216,0.0,0.02808216,0.66726775,0.0,0.66726775,0.63918559,0.0,0.63918559,0,-1,pos,C_L10_reachable
butter_s0_w90_100_L20,butter,0,90,100,20,0.01465772,0.00134394,0.01600167,0.25337137,0.00102666,0.25439803,0.23871365,-0.00031728,0.23839636,0,-1,pos,responsive
butter_s0_w90_100_L30,butter,0,90,100,30,0.02368631,0.00156363,0.02524994,0.28394331,0.0,0.28394331,0.260257,-0.00156363,0.25869337,0,-1,pos,responsive
butter_s0_w90_100_L40,butter,0,90,100,40,0.01954183,0.00074393,0.02028577,0.22932825,0.00026507,0.22959332,0.20978642,-0.00047886,0.20930755,0,-1,pos,responsive
cream_cheese_s0_w65_75_L10,cream_cheese,0,65,75,10,0.01821813,0.00035832,0.01857645,0.21244233,0.00070073,0.21314306,0.1942242,0.00034241,0.19456661,0,-1,pos,C_L10_reachable
cream_cheese_s0_w65_75_L20,cream_cheese,0,65,75,20,0.00041437,0.0027759,0.00319027,0.21917282,0.0,0.21917282,0.21875845,-0.0027759,0.21598255,0,-1,pos,responsive
cream_cheese_s0_w65_75_L30,cream_cheese,0,65,75,30,0.01534409,0.00065512,0.01599921,0.21301397,0.00094116,0.21395513,0.19766988,0.00028604,0.19795592,0,-1,pos,responsive
cream_cheese_s0_w65_75_L40,cream_cheese,0,65,75,40,0.01744781,0.00064874,0.01809655,0.57843861,0.0,0.57843861,0.5609908,-0.00064874,0.56034206,0,-1,pos,responsive
milk_s0_w70_80_L10,milk,0,70,80,10,0.0,0.02787414,0.02787414,0.26145175,0.00452434,0.26597608,0.26145175,-0.0233498,0.23810194,0,-1,pos,C_L10_reachable
milk_s0_w70_80_L20,milk,0,70,80,20,0.0,0.02835767,0.02835767,0.26116933,0.00306673,0.26423606,0.26116933,-0.02529094,0.23587839,0,-1,pos,responsive
milk_s0_w70_80_L30,milk,0,70,80,30,0.0,0.03303833,0.03303833,0.20578322,0.00630281,0.21208603,0.20578322,-0.02673552,0.1790477,0,-1,pos,responsive
milk_s0_w70_80_L40,milk,0,70,80,40,0.0,0.02456474,0.02456474,0.21867246,0.00507583,0.22374829,0.21867246,-0.01948891,0.19918355,0,-1,pos,responsive
tomato_sauce_s2_w165_175_L10,tomato_sauce,2,165,175,10,0.00029586,0.01231802,0.01261388,0.6761818,0.0,0.6761818,0.67588594,-0.01231802,0.66356792,0,-1,pos,C_L10_reachable
tomato_sauce_s2_w165_175_L20,tomato_sauce,2,165,175,20,0.08211121,0.0,0.08211121,0.24485473,0.00181227,0.246667,0.16274352,0.00181227,0.16455579,0,-1,pos,responsive
tomato_sauce_s2_w165_175_L30,tomato_sauce,2,165,175,30,0.04445996,0.0,0.04445996,0.20923105,0.0028751,0.21210616,0.16477109,0.0028751,0.1676462,0,-1,pos,responsive
tomato_sauce_s2_w165_175_L40,tomato_sauce,2,165,175,40,0.00010746,0.01173367,0.01184113,0.39804198,0.0,0.39804198,0.39793452,-0.01173367,0.38620085,0,-1,pos,responsive
