artifact_path,artifact_type,file_name,file_size,modified_time,detected_stage,detected_runner_family,task,actual_task_key,state_id,window_start,window_end,condition,seed,attack_seed,random_control_seed,job_id,git_commit,center_crop,libero_preprocess_backend,postprocess_gripper,success_metric,full_episode,max_steps,video_dir,num_frames,first_frame,last_frame,source_confidence,notes
/data/liuyu/outputs/milestone_r1_official_eval_20260526/eval_log_w45_2026_05_26-23_56_35.txt,txt,eval_log_w45_2026_05_26-23_56_35.txt,31,2026-05-26T23:57:52.283012,R1_official,official_corrected_runner,,,,45,2026,,,,,,,,,,,,,,,,,low,
/data/liuyu/outputs/milestone_r1_official_eval_20260526/eval_log_w45_2026_05_27-00_12_07.txt,txt,eval_log_w45_2026_05_27-00_12_07.txt,31,2026-05-27T04:17:42.032587,R1_official,official_corrected_runner,,,,45,2026,,,,,,,,,,,,,,,,,low,
/data/liuyu/outputs/milestone_r1_official_eval_20260526/eval_log_2026_05_26-23_54_29.txt,txt,eval_log_2026_05_26-23_54_29.txt,0,2026-05-26T23:54:44.999256,R1_official,official_corrected_runner,,,,,,,,,,,,,,,,,,,,,,low,
/data/liuyu/outputs/milestone_r1_official_eval_20260526/eval_log_w45_2026_05_27-10_12_12.txt,txt,eval_log_w45_2026_05_27-10_12_12.txt,31,2026-05-27T13:00:16.279717,R1_official,official_corrected_runner,,,,45,2026,,,,,,,,,,,,,,,,,low,
/data/liuyu/outputs/milestone_r1_official_eval_20260526/eval_log_test_2026_05_27-00_01_12.txt,txt,eval_log_test_2026_05_27-00_01_12.txt,31,2026-05-27T00:02:00.230608,R1_official,official_corrected_runner,,,,,,,,,,,,,,,,,,,,,,low,
/data/liuyu/outputs/milestone_r1_official_eval_20260526/eval_log_w26_2026_05_27-00_12_07.txt,txt,eval_log_w26_2026_05_27-00_12_07.txt,31,2026-05-27T04:10:43.444382,R1_official,official_corrected_runner,,,,26,2026,,,,,,,,,,,,,,,,,low,
/data/liuyu/outputs/milestone_r1_official_eval_20260526/eval_log_w26_2026_05_26-23_56_35.txt,txt,eval_log_w26_2026_05_26-23_56_35.txt,31,2026-05-26T23:57:52.111012,R1_official,official_corrected_runner,,,,26,2026,,,,,,,,,,,,,,,,,low,
/data/liuyu/outputs/milestone_r1_official_eval_20260526/eval_log_w26_2026_05_27-10_12_12.txt,txt,eval_log_w26_2026_05_27-10_12_12.txt,31,2026-05-27T13:03:25.409153,R1_official,official_corrected_runner,,,,26,2026,,,,,,,,,,,,,,,,,low,
/data/liuyu/outputs/milestone_r1_official_eval_20260526/eval_log_w01_2026_05_26-23_56_35.txt,txt,eval_log_w01_2026_05_26-23_56_35.txt,31,2026-05-26T23:57:59.435013,R1_official,official_corrected_runner,,,,01,2026,,,,,,,,,,,,,,,,,low,
/data/liuyu/outputs/milestone_r1_official_eval_20260526/eval_log_test2_2026_05_27-00_02_42.txt,txt,eval_log_test2_2026_05_27-00_02_42.txt,0,2026-05-27T00:02:56.138415,R1_official,official_corrected_runner,,,,,,,,,,,,,,,,,,,,,,low,
/data/liuyu/outputs/milestone_r1_official_eval_20260526/tables/object_official_script_100_summary_by_task.csv,csv,object_official_script_100_summary_by_task.csv,325,2026-05-27T13:03:25.409153,R1_official,official_corrected_runner,butter,,,,,,,,,,,,,,,,,,,,,low,Task-level summary; do not treat as per-state evidence.
/data/liuyu/outputs/milestone_r1_official_eval_20260526/tables/object_official_script_100_manifest.csv,csv,object_official_script_100_manifest.csv,4232,2026-05-27T13:03:25.409153,R1_official,official_corrected_runner,tomato_sauce,,0,,,,,,,,,,,,,,,,,,,medium,
/data/liuyu/outputs/milestone_r1_official_eval_20260526/parity_debug/official_wrapper_trace.json,json,official_wrapper_trace.json,2045,2026-05-27T10:11:20.484452,R1_official,official_corrected_runner,ketchup,,0,,,,,,,,,,,,,,,,,,,medium,
/data/liuyu/outputs/milestone_r1_official_eval_20260526/parity_debug/preprocess,frame_dir,preprocess,,2026-05-27T10:09:06.133786,R1_official,,,,,,,,,,,,,,,,,,,/data/liuyu/outputs/milestone_r1_official_eval_20260526/parity_debug/preprocess,4,01_raw_agentview.png,04_center_cropped_224.png,medium,Frame directory counted only; frames not read.
/data/liuyu/outputs/milestone_r2_official_v4_object_alignment_20260526/tables/object_official_corrected_100_manifest_reconstructed.csv,csv,object_official_corrected_100_manifest_reconstructed.csv,31930,2026-05-27T13:13:10.465746,R2_official_v4_alignment,official_corrected_runner,alphabet_soup,,0,,,,0,,,,,True,,,,,,,,,,medium,
/data/liuyu/outputs/milestone_r2_official_v4_object_alignment_20260526/tables/object_v4_100_manifest_reconstructed.csv,csv,object_v4_100_manifest_reconstructed.csv,29652,2026-05-27T13:13:10.465746,R2_official_v4_alignment,official_v4_runner,alphabet_soup,,0,,,,0,,,,,True,,,,,,,,,,medium,
/data/liuyu/outputs/milestone_r2_official_v4_object_alignment_20260526/tables/object_official_vs_v4_task_gap_summary.csv,csv,object_official_vs_v4_task_gap_summary.csv,1044,2026-05-27T13:13:10.469746,R2_official_v4_alignment,,alphabet_soup,,,,,,,,,,,,,,,,,,,,,medium,
/data/liuyu/outputs/milestone_r2_official_v4_object_alignment_20260526/tables/object_official_vs_v4_per_episode_diff.csv,csv,object_official_vs_v4_per_episode_diff.csv,10722,2026-05-27T13:13:10.469746,R2_official_v4_alignment,,alphabet_soup,,0,,,,,,,,,,,,,,,,,,,medium,
/data/liuyu/outputs/milestone_r2_official_v4_object_alignment_20260526/reports/OFFICIAL_V4_GAP_SUMMARY.md,md,OFFICIAL_V4_GAP_SUMMARY.md,2488,2026-05-27T13:13:10.469746,R2_official_v4_alignment,,,,,,,,,,,,,,,,,,,,,,,low,
/data/liuyu/outputs/milestone_r2_official_v4_object_alignment_20260526/reports/V4_VS_OFFICIAL_IMPLEMENTATION_DIFF.md,md,V4_VS_OFFICIAL_IMPLEMENTATION_DIFF.md,7532,2026-05-27T13:17:52.627565,R2_official_v4_alignment,,,,,,,,,,,,,,,,,,,,,,,low,
/data/liuyu/outputs/milestone_r2_official_v4_object_alignment_20260526/reports/OFFICIAL_V4_ALIGNMENT_DIAGNOSIS.md,md,OFFICIAL_V4_ALIGNMENT_DIAGNOSIS.md,6887,2026-05-27T13:17:53.615557,R2_official_v4_alignment,,,,,,,,,,,,,,,,,,,,,,,low,
/data/liuyu/outputs/milestone_1d_object_mujoco237_compat_20260526/object_full_10x10/obj_orange_juice_s2/step_records.jsonl,jsonl,step_records.jsonl,996449,2026-05-26T21:44:05.151938,object100_v4_full10x10,official_v4_runner,orange_juice,,2,,,clean,0,,,,,,,,,True,280,,,,,medium,
/data/liuyu/outputs/milestone_1d_object_mujoco237_compat_20260526/object_full_10x10/obj_orange_juice_s2/progress.json,json,progress.json,682,2026-05-26T21:44:05.151938,object100_v4_full10x10,official_v4_runner,orange_juice,,2,,,clean,0,,,,,,,,,True,280,,,,,medium,
/data/liuyu/outputs/milestone_1d_object_mujoco237_compat_20260526/object_full_10x10/obj_orange_juice_s2/episode_records.jsonl,jsonl,episode_records.jsonl,1537,2026-05-26T21:44:05.151938,object100_v4_full10x10,official_v4_runner,orange_juice,,2,,,clean,0,,,,,,,,,True,,,,,,medium,
/data/liuyu/outputs/milestone_1d_object_mujoco237_compat_20260526/object_full_10x10/obj_orange_juice_s2/run_manifest.json,json,run_manifest.json,2933,2026-05-26T21:44:05.095939,object100_v4_full10x10,official_v4_runner,orange_juice,,2,,,clean,0,,,,unknown,True,,True,done,True,280,,,,,medium,
/data/liuyu/outputs/milestone_1d_object_mujoco237_compat_20260526/object_full_10x10/obj_orange_juice_s2/summary.csv,csv,summary.csv,520,2026-05-26T21:44:05.151938,object100_v4_full10x10,official_v4_runner,orange_juice,,2,,,clean,0,,,,,,,,,True,,,,,,medium,
/data/liuyu/outputs/milestone_1d_object_mujoco237_compat_20260526/object_full_10x10/obj_tomato_sauce_s7/step_records.jsonl,jsonl,step_records.jsonl,1193000,2026-05-26T20:32:51.957267,object100_v4_full10x10,official_v4_runner,tomato_sauce,,7,,,clean,0,,,,,,,,,True,280,,,,,medium,
/data/liuyu/outputs/milestone_1d_object_mujoco237_compat_20260526/object_full_10x10/obj_tomato_sauce_s7/progress.json,json,progress.json,682,2026-05-26T20:32:51.957267,object100_v4_full10x10,official_v4_runner,tomato_sauce,,7,,,clean,0,,,,,,,,,True,280,,,,,medium,
