suite,task_id,count,anchor_min,anchor_max,anchor_median,n_unique_anchor,anchor_zero_count,confidence_min,confidence_max,n_unique_confidence,confidence_0_5_count,window_unique_count,event_id_nonempty_count,valid_positive_count,valid_abstention_count,schema_invalid_count
libero_10,0,50,-1,-1,-1.0,1,0,0.0,0.0,1,0,1,0,0,50,0
libero_10,1,50,-1,-1,-1.0,1,0,0.0,0.0,1,0,1,0,0,50,0
libero_10,2,50,-1,-1,-1.0,1,0,0.0,0.0,1,0,1,0,0,50,0
libero_10,3,50,-1,-1,-1.0,1,0,0.0,0.0,1,0,1,0,0,50,0
libero_10,4,50,-1,-1,-1.0,1,0,0.0,0.0,1,0,1,0,0,50,0
libero_10,5,50,0,0,0.0,1,50,0.5,0.5,1,50,1,0,50,0,0
libero_10,6,50,-1,-1,-1.0,1,0,0.0,0.0,1,0,1,0,0,50,0
libero_10,7,50,-1,-1,-1.0,1,0,0.0,0.0,1,0,1,0,0,50,0
libero_10,8,50,-1,-1,-1.0,1,0,0.0,0.0,1,0,1,0,0,50,0
libero_10,9,50,-1,-1,-1.0,1,0,0.0,0.0,1,0,1,0,0,50,0
libero_goal,0,50,-1,-1,-1.0,1,0,0.0,0.0,1,0,1,0,0,50,0
libero_goal,1,50,0,0,0.0,1,50,0.5,0.5,1,50,1,0,50,0,0
libero_goal,2,50,0,0,0.0,1,50,0.5,0.5,1,50,1,0,50,0,0
libero_goal,3,50,-1,-1,-1.0,1,0,0.0,0.0,1,0,1,0,0,50,0
libero_goal,4,50,0,0,0.0,1,50,0.5,0.5,1,50,1,0,50,0,0
libero_goal,5,50,-1,-1,-1.0,1,0,0.0,0.0,1,0,1,0,0,50,0
libero_goal,6,50,0,0,0.0,1,50,0.5,0.5,1,50,1,0,50,0,0
libero_goal,7,50,-1,-1,-1.0,1,0,0.0,0.0,1,0,1,0,0,50,0
libero_goal,8,50,0,0,0.0,1,50,0.5,0.5,1,50,1,0,50,0,0
libero_goal,9,50,0,0,0.0,1,50,0.5,0.5,1,50,1,0,50,0,0
libero_object,0,50,0,0,0.0,1,50,0.5,0.5,1,50,1,0,50,0,0
libero_object,1,50,0,0,0.0,1,50,0.5,0.5,1,50,1,0,50,0,0
libero_object,2,50,0,0,0.0,1,50,0.5,0.5,1,50,1,0,50,0,0
libero_object,3,50,0,0,0.0,1,50,0.5,0.5,1,50,1,0,50,0,0
libero_object,4,50,0,0,0.0,1,50,0.5,0.5,1,50,1,0,50,0,0
libero_object,5,50,0,0,0.0,1,50,0.5,0.5,1,50,1,0,50,0,0
libero_object,6,50,0,0,0.0,1,50,0.5,0.5,1,50,1,0,50,0,0
libero_object,7,50,0,0,0.0,1,50,0.5,0.5,1,50,1,0,50,0,0
libero_object,8,50,0,0,0.0,1,50,0.5,0.5,1,50,1,0,50,0,0
libero_object,9,50,0,0,0.0,1,50,0.5,0.5,1,50,1,0,50,0,0
libero_spatial,0,50,0,0,0.0,1,50,0.5,0.5,1,50,1,0,50,0,0
libero_spatial,1,50,0,0,0.0,1,50,0.5,0.5,1,50,1,0,50,0,0
libero_spatial,2,50,0,0,0.0,1,50,0.5,0.5,1,50,1,0,50,0,0
libero_spatial,3,50,0,0,0.0,1,50,0.5,0.5,1,50,1,0,50,0,0
libero_spatial,4,50,0,0,0.0,1,50,0.5,0.5,1,50,1,0,50,0,0
libero_spatial,5,50,0,0,0.0,1,50,0.5,0.5,1,50,1,0,50,0,0
libero_spatial,6,50,0,0,0.0,1,50,0.5,0.5,1,50,1,0,50,0,0
libero_spatial,7,50,0,0,0.0,1,50,0.5,0.5,1,50,1,0,50,0,0
libero_spatial,8,50,0,0,0.0,1,50,0.5,0.5,1,50,1,0,50,0,0
libero_spatial,9,50,0,0,0.0,1,50,0.5,0.5,1,50,1,0,50,0,0
