condition,fold,state,detector_seed,perturbation_seed,parent_key,mlp_triggered,mlp_emit_step,attack_frames,task_success,n_steps,teacher_anchor,summary_sha256
CLEAN,fold_01,state_0,det_seed_1,pert_seed_0,fold_01/state_0,True,98,0,True,158,97,bf29d8bf5f132cff
CLEAN,fold_01,state_0,det_seed_1,pert_seed_1,fold_01/state_0,True,98,0,True,158,97,bf29d8bf5f132cff
CLEAN,fold_01,state_0,det_seed_1,pert_seed_2,fold_01/state_0,True,98,0,True,158,97,bf29d8bf5f132cff
CLEAN,fold_01,state_0,det_seed_2,pert_seed_0,fold_01/state_0,True,99,0,True,158,97,c9ff22d67bb19045
CLEAN,fold_01,state_0,det_seed_2,pert_seed_1,fold_01/state_0,True,99,0,True,158,97,c9ff22d67bb19045
CLEAN,fold_01,state_0,det_seed_2,pert_seed_2,fold_01/state_0,True,99,0,True,158,97,c9ff22d67bb19045
CLEAN,fold_01,state_0,det_seed_3,pert_seed_0,fold_01/state_0,True,99,0,True,158,97,ca11124252161856
CLEAN,fold_01,state_0,det_seed_3,pert_seed_1,fold_01/state_0,True,99,0,True,158,97,ca11124252161856
CLEAN,fold_01,state_0,det_seed_3,pert_seed_2,fold_01/state_0,True,99,0,True,158,97,ca11124252161856
CLEAN,fold_01,state_2,det_seed_1,pert_seed_0,fold_01/state_2,True,76,0,True,134,75,cce57cd558c14dbf
CLEAN,fold_01,state_2,det_seed_1,pert_seed_1,fold_01/state_2,True,76,0,True,134,75,cce57cd558c14dbf
CLEAN,fold_01,state_2,det_seed_1,pert_seed_2,fold_01/state_2,True,76,0,True,134,75,cce57cd558c14dbf
CLEAN,fold_01,state_2,det_seed_2,pert_seed_0,fold_01/state_2,True,76,0,True,134,75,3069ae81991c6c00
CLEAN,fold_01,state_2,det_seed_2,pert_seed_1,fold_01/state_2,True,76,0,True,134,75,3069ae81991c6c00
CLEAN,fold_01,state_2,det_seed_2,pert_seed_2,fold_01/state_2,True,76,0,True,134,75,3069ae81991c6c00
