condition,protocol_field,search_roots,search_terms,files_examined,hits,candidate_paths,script_sha256,conflicting_sources,status
CLEAN,epsilon,/mnt/sdc/dty_user/openvla_attack;/mnt/sdc/dty_user/table1_sota_execution_v1,artifact metadata;condition root;related manifests;related logs;launch scripts;runtime inventory;git history;output-root string search,NOT_REPRODUCIBLE_FROM_COMMITTED_LEDGER,NOT_CLAIMED_ZERO,,NOT_COMMITTED,none confirmed,UNRESOLVED_NO_FORMAL_BINDING_EVIDENCE
CLEAN,epsilon_space,/mnt/sdc/dty_user/openvla_attack;/mnt/sdc/dty_user/table1_sota_execution_v1,artifact metadata;condition root;related manifests;related logs;launch scripts;runtime inventory;git history;output-root string search,NOT_REPRODUCIBLE_FROM_COMMITTED_LEDGER,NOT_CLAIMED_ZERO,,NOT_COMMITTED,none confirmed,UNRESOLVED_NO_FORMAL_BINDING_EVIDENCE
CLEAN,pgd_steps,/mnt/sdc/dty_user/openvla_attack;/mnt/sdc/dty_user/table1_sota_execution_v1,artifact metadata;condition root;related manifests;related logs;launch scripts;runtime inventory;git history;output-root string search,NOT_REPRODUCIBLE_FROM_COMMITTED_LEDGER,NOT_CLAIMED_ZERO,,NOT_COMMITTED,none confirmed,UNRESOLVED_NO_FORMAL_BINDING_EVIDENCE
CLEAN,step_size,/mnt/sdc/dty_user/openvla_attack;/mnt/sdc/dty_user/table1_sota_execution_v1,artifact metadata;condition root;related manifests;related logs;launch scripts;runtime inventory;git history;output-root string search,NOT_REPRODUCIBLE_FROM_COMMITTED_LEDGER,NOT_CLAIMED_ZERO,,NOT_COMMITTED,none confirmed,UNRESOLVED_NO_FORMAL_BINDING_EVIDENCE
CLEAN,K,/mnt/sdc/dty_user/openvla_attack;/mnt/sdc/dty_user/table1_sota_execution_v1,artifact metadata;condition root;related manifests;related logs;launch scripts;runtime inventory;git history;output-root string search,NOT_REPRODUCIBLE_FROM_COMMITTED_LEDGER,NOT_CLAIMED_ZERO,,NOT_COMMITTED,none confirmed,UNRESOLVED_NO_FORMAL_BINDING_EVIDENCE
CLEAN,target_token,/mnt/sdc/dty_user/openvla_attack;/mnt/sdc/dty_user/table1_sota_execution_v1,artifact metadata;condition root;related manifests;related logs;launch scripts;runtime inventory;git history;output-root string search,NOT_REPRODUCIBLE_FROM_COMMITTED_LEDGER,NOT_CLAIMED_ZERO,,NOT_COMMITTED,none confirmed,UNRESOLVED_NO_FORMAL_BINDING_EVIDENCE
CLEAN,objective,/mnt/sdc/dty_user/openvla_attack;/mnt/sdc/dty_user/table1_sota_execution_v1,artifact metadata;condition root;related manifests;related logs;launch scripts;runtime inventory;git history;output-root string search,NOT_REPRODUCIBLE_FROM_COMMITTED_LEDGER,NOT_CLAIMED_ZERO,,NOT_COMMITTED,none confirmed,UNRESOLVED_NO_FORMAL_BINDING_EVIDENCE
CLEAN,route,/mnt/sdc/dty_user/openvla_attack;/mnt/sdc/dty_user/table1_sota_execution_v1,artifact metadata;condition root;related manifests;related logs;launch scripts;runtime inventory;git history;output-root string search,NOT_REPRODUCIBLE_FROM_COMMITTED_LEDGER,NOT_CLAIMED_ZERO,,NOT_COMMITTED,none confirmed,UNRESOLVED_NO_FORMAL_BINDING_EVIDENCE
CLEAN,fallback,/mnt/sdc/dty_user/openvla_attack;/mnt/sdc/dty_user/table1_sota_execution_v1,artifact metadata;condition root;related manifests;related logs;launch scripts;runtime inventory;git history;output-root string search,NOT_REPRODUCIBLE_FROM_COMMITTED_LEDGER,NOT_CLAIMED_ZERO,,NOT_COMMITTED,none confirmed,UNRESOLVED_NO_FORMAL_BINDING_EVIDENCE
CLEAN,arm_gate,/mnt/sdc/dty_user/openvla_attack;/mnt/sdc/dty_user/table1_sota_execution_v1,artifact metadata;condition root;related manifests;related logs;launch scripts;runtime inventory;git history;output-root string search,NOT_REPRODUCIBLE_FROM_COMMITTED_LEDGER,NOT_CLAIMED_ZERO,,NOT_COMMITTED,none confirmed,UNRESOLVED_NO_FORMAL_BINDING_EVIDENCE
