episode_key,summary_sha256_full,artifact_leaf_relpath,attack_applied,mlp_triggered,task_success
fold_05/state_0/det_seed_1/pert_seed_0,d873c817a384cc6701999fa599c2300400c93153d610ccc2c25b69c9d9772e95,TRUE_T10/formal_v1/fold_05/state_0/det_seed_1/pert_seed_0,False,False,True
fold_05/state_0/det_seed_1/pert_seed_1,d873c817a384cc6701999fa599c2300400c93153d610ccc2c25b69c9d9772e95,TRUE_T10/formal_v1/fold_05/state_0/det_seed_1/pert_seed_1,False,False,True
fold_05/state_0/det_seed_1/pert_seed_2,d873c817a384cc6701999fa599c2300400c93153d610ccc2c25b69c9d9772e95,TRUE_T10/formal_v1/fold_05/state_0/det_seed_1/pert_seed_2,False,False,True
fold_05/state_0/det_seed_2/pert_seed_0,f18a9cf105b47edffd841939f8bc2d49d25c89799e1fd578506f43a8283de47c,TRUE_T10/formal_v1/fold_05/state_0/det_seed_2/pert_seed_0,False,False,True
fold_05/state_0/det_seed_2/pert_seed_1,f18a9cf105b47edffd841939f8bc2d49d25c89799e1fd578506f43a8283de47c,TRUE_T10/formal_v1/fold_05/state_0/det_seed_2/pert_seed_1,False,False,True
fold_05/state_0/det_seed_2/pert_seed_2,f18a9cf105b47edffd841939f8bc2d49d25c89799e1fd578506f43a8283de47c,TRUE_T10/formal_v1/fold_05/state_0/det_seed_2/pert_seed_2,False,False,True
fold_05/state_0/det_seed_3/pert_seed_0,c6b7fd7a405bbc774d5f44f613841013a2ffbd5a4d34b639216a8c437c30815d,TRUE_T10/formal_v1/fold_05/state_0/det_seed_3/pert_seed_0,False,False,True
fold_05/state_0/det_seed_3/pert_seed_1,c6b7fd7a405bbc774d5f44f613841013a2ffbd5a4d34b639216a8c437c30815d,TRUE_T10/formal_v1/fold_05/state_0/det_seed_3/pert_seed_1,False,False,True
fold_05/state_0/det_seed_3/pert_seed_2,c6b7fd7a405bbc774d5f44f613841013a2ffbd5a4d34b639216a8c437c30815d,TRUE_T10/formal_v1/fold_05/state_0/det_seed_3/pert_seed_2,False,False,True
fold_05/state_4/det_seed_2/pert_seed_0,3f6d5ca0b8c0586187576cd74b7c86b87f438ffb0f1df2a9887eaf903fbc225a,TRUE_T10/formal_v1/fold_05/state_4/det_seed_2/pert_seed_0,False,False,True
fold_05/state_4/det_seed_2/pert_seed_1,3f6d5ca0b8c0586187576cd74b7c86b87f438ffb0f1df2a9887eaf903fbc225a,TRUE_T10/formal_v1/fold_05/state_4/det_seed_2/pert_seed_1,False,False,True
fold_05/state_4/det_seed_2/pert_seed_2,3f6d5ca0b8c0586187576cd74b7c86b87f438ffb0f1df2a9887eaf903fbc225a,TRUE_T10/formal_v1/fold_05/state_4/det_seed_2/pert_seed_2,False,False,True
fold_05/state_4/det_seed_3/pert_seed_0,79f307b82a7e107d5a1decc1fb5480d11f53dc2cb9c00441a8ed7aed9e0a7950,TRUE_T10/formal_v1/fold_05/state_4/det_seed_3/pert_seed_0,False,False,True
fold_05/state_4/det_seed_3/pert_seed_1,79f307b82a7e107d5a1decc1fb5480d11f53dc2cb9c00441a8ed7aed9e0a7950,TRUE_T10/formal_v1/fold_05/state_4/det_seed_3/pert_seed_1,False,False,True
fold_05/state_4/det_seed_3/pert_seed_2,79f307b82a7e107d5a1decc1fb5480d11f53dc2cb9c00441a8ed7aed9e0a7950,TRUE_T10/formal_v1/fold_05/state_4/det_seed_3/pert_seed_2,False,False,True
fold_07/state_1/det_seed_2/pert_seed_0,dbc9e06b68668094c55708e1a7f5471cef33cc73dbcf0580b8a571a85462b5bc,TRUE_T10/formal_v1/fold_07/state_1/det_seed_2/pert_seed_0,False,False,True
fold_07/state_1/det_seed_2/pert_seed_1,dbc9e06b68668094c55708e1a7f5471cef33cc73dbcf0580b8a571a85462b5bc,TRUE_T10/formal_v1/fold_07/state_1/det_seed_2/pert_seed_1,False,False,True
fold_07/state_1/det_seed_2/pert_seed_2,dbc9e06b68668094c55708e1a7f5471cef33cc73dbcf0580b8a571a85462b5bc,TRUE_T10/formal_v1/fold_07/state_1/det_seed_2/pert_seed_2,False,False,True
fold_07/state_1/det_seed_3/pert_seed_0,f3b551392f7084d99d85339e9dc2d4d898f13798841cf9416593b52e7a3de72c,TRUE_T10/formal_v1/fold_07/state_1/det_seed_3/pert_seed_0,False,False,True
fold_07/state_1/det_seed_3/pert_seed_1,f3b551392f7084d99d85339e9dc2d4d898f13798841cf9416593b52e7a3de72c,TRUE_T10/formal_v1/fold_07/state_1/det_seed_3/pert_seed_1,False,False,True
fold_07/state_1/det_seed_3/pert_seed_2,f3b551392f7084d99d85339e9dc2d4d898f13798841cf9416593b52e7a3de72c,TRUE_T10/formal_v1/fold_07/state_1/det_seed_3/pert_seed_2,False,False,True
