task,n_states,success,success_rate,emit,emit_rate
pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,10,10,100.0,10,100.0
pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,10,8,80.0,10,100.0
pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,10,9,90.0,10,100.0
pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,10,9,90.0,10,100.0
pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,10,6,60.0,9,90.0
pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,10,8,80.0,10,100.0
pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,10,9,90.0,10,100.0
pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,10,2,20.0,10,100.0
pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,10,9,90.0,10,100.0
pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,10,6,60.0,10,100.0
