task_key,state_id,window_start,window_end,vis_open,vis_streak,rand_open,rand_streak,cmd_susceptible,random_confounded,arm_l2,rerun_priority,rerun_reason
cream_cheese,7,91,101,11,11,0,0,1,0,0.28144,1,cmd_positive
orange_juice,0,203,212,9,9,0,0,1,0,0.190363,1,cmd_positive
alphabet_soup,9,131,141,10,8,4,3,1,0,0.692607,1,cmd_positive
cream_cheese,9,111,120,8,4,5,2,1,0,0.042073,1,cmd_positive
bbq_sauce,9,108,118,6,2,5,2,1,0,0.291927,1,cmd_positive
cream_cheese,6,124,134,11,11,0,0,1,0,0.73617,1,cmd_positive
salad_dressing,2,49,59,10,9,1,1,1,0,0.674054,1,cmd_positive
orange_juice,0,188,198,9,7,0,0,1,0,0.342748,1,cmd_positive
cream_cheese,6,85,95,9,6,0,0,1,0,0.581867,1,cmd_positive
orange_juice,2,98,108,6,2,0,0,1,0,0.148341,1,cmd_positive
butter,8,136,146,6,2,0,0,1,0,0.453529,1,cmd_positive
alphabet_soup,4,135,145,11,11,4,3,1,0,0.122699,1,cmd_positive
salad_dressing,1,81,91,7,5,3,1,1,0,0.288532,1,cmd_positive
alphabet_soup,3,128,137,8,6,3,3,1,0,0.598214,1,cmd_positive
butter,3,39,49,8,5,3,3,1,0,0.800986,1,cmd_positive
salad_dressing,6,134,143,7,4,0,0,1,0,0.207989,1,cmd_positive
milk,7,93,103,10,7,5,3,1,0,0.716066,1,cmd_positive
butter,2,143,153,8,5,0,0,1,0,0.392807,1,cmd_positive
butter,5,135,145,8,6,3,2,1,0,0.557629,1,cmd_positive
cream_cheese,2,100,110,7,4,0,0,1,0,0.336443,1,cmd_positive
cream_cheese,2,125,134,10,10,0,0,1,0,0.171189,1,cmd_positive
cream_cheese,5,109,119,6,4,0,0,1,0,0.020341,1,cmd_positive
bbq_sauce,0,142,152,11,11,5,3,1,0,0.713546,1,cmd_positive
butter,6,182,192,6,5,0,0,1,0,0.159371,1,cmd_positive
salad_dressing,7,97,107,7,3,5,2,1,0,0.607614,1,cmd_positive
orange_juice,1,96,106,11,11,0,0,1,0,0.865683,1,cmd_positive
tomato_sauce,0,184,194,7,6,5,3,1,0,0.430423,1,cmd_positive
ketchup,3,112,122,11,11,11,11,0,1,0.0,2,random_confounded_audit
tomato_sauce,6,98,108,11,11,11,11,0,1,0.92061,2,random_confounded_audit
ketchup,8,154,164,11,11,11,11,0,1,0.775211,2,random_confounded_audit
ketchup,2,98,108,10,8,11,11,0,1,0.075346,2,random_confounded_audit
alphabet_soup,2,128,138,10,5,7,4,0,1,0.887951,2,random_confounded_audit
ketchup,2,59,69,9,6,11,11,0,1,0.360699,2,random_confounded_audit
alphabet_soup,4,25,35,9,6,7,3,0,1,0.614199,2,random_confounded_audit
salad_dressing,4,86,96,8,4,6,6,0,1,0.196752,2,random_confounded_audit
tomato_sauce,0,199,208,1,1,3,2,0,0,0.39564,4,hard_negative_control
alphabet_soup,3,103,113,2,1,3,2,0,0,0.361136,4,hard_negative_control
milk,7,30,40,2,1,4,2,0,0,0.601174,4,hard_negative_control
butter,7,143,153,1,1,1,1,0,0,0.718677,4,hard_negative_control
orange_juice,4,123,132,0,0,2,1,0,0,0.672709,4,hard_negative_control
ketchup,9,148,157,2,1,5,3,0,0,0.507331,4,hard_negative_control
cream_cheese,8,95,105,1,1,0,0,0,0,0.31632,4,hard_negative_control
salad_dressing,7,122,131,1,1,0,0,0,0,0.205624,4,hard_negative_control
bbq_sauce,4,102,112,2,1,5,3,0,0,0.418842,4,hard_negative_control
