task_key,state_id,seed,n_total_steps,success,infra_status,trace_version,source_snapshot_id,prompt_style,image_preprocess_style
alphabet_soup,0,0,300,0,ok,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only
alphabet_soup,1,1,300,0,ok,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only
alphabet_soup,2,2,300,0,ok,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only
bbq_sauce,0,0,141,1,ok,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only
bbq_sauce,1,1,136,1,ok,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only
bbq_sauce,2,2,300,0,ok,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only
butter,0,0,262,1,ok,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only
butter,1,1,300,0,ok,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only
butter,2,2,300,0,ok,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only
cream_cheese,0,0,148,1,ok,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only
cream_cheese,1,1,300,0,ok,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only
cream_cheese,2,2,300,0,ok,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only
ketchup,0,0,155,1,ok,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only
ketchup,1,1,300,0,ok,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only
ketchup,2,2,300,0,ok,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only
milk,0,0,300,0,ok,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only
milk,1,1,163,1,ok,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only
milk,2,2,167,1,ok,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only
orange_juice,0,0,211,1,ok,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only
orange_juice,1,1,300,0,ok,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only
orange_juice,2,2,300,0,ok,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only
salad_dressing,0,0,300,0,ok,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only
salad_dressing,1,1,115,1,ok,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only
salad_dressing,2,2,263,1,ok,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only
tomato_sauce,0,0,141,1,ok,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only
tomato_sauce,1,1,130,1,ok,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only
tomato_sauce,2,2,300,0,ok,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only
