task_key,state_id,seed,window_start,window_end,n_window_steps,actual_max_step,done_before_window,done_inside_window,candidate_source,trace_version,source_snapshot_id,prompt_style,image_preprocess_style,open_convention,qpos_source,clean_open_count,clean_open_frac,raw_gripper_mean,raw_gripper_max,qpos_abs_sum_pre,qpos_abs_sum_window_mean,qpos_abs_sum_window_max,qpos_abs_sum_slope,eef_displacement,candidate_stratum
alphabet_soup,1,1,45,55,11,299,false,false,rc1a_clean_trace,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only,env_action_6_lt_neg_0p5_means_OPEN,obs_robot0_gripper_qpos,0,0.0,0.0,0.0,0.031547,0.008914,0.024752,-0.0022603,0.011032,high_opportunity
bbq_sauce,1,1,55,65,11,135,false,false,rc1a_clean_trace,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only,env_action_6_lt_neg_0p5_means_OPEN,obs_robot0_gripper_qpos,0,0.0,0.0,0.0,0.059726,0.036602,0.050774,-0.0017124,0.007673,high_opportunity
butter,0,0,70,80,11,261,false,false,rc1a_clean_trace,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only,env_action_6_lt_neg_0p5_means_OPEN,obs_robot0_gripper_qpos,0,0.0,0.0,0.0,0.058004,0.016625,0.049789,-0.0047442,0.023737,high_opportunity
cream_cheese,1,1,75,85,11,299,false,false,rc1a_clean_trace,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only,env_action_6_lt_neg_0p5_means_OPEN,obs_robot0_gripper_qpos,0,0.0,0.0,0.0,0.053681,0.029656,0.054061,-0.0049404,0.024708,high_opportunity
alphabet_soup,0,0,20,30,11,299,false,false,rc1a_clean_trace,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only,env_action_6_lt_neg_0p5_means_OPEN,obs_robot0_gripper_qpos,2,0.182,0.1811,0.9961,0.00268,0.002712,0.003632,-5.22e-05,0.000274,medium_opportunity
bbq_sauce,0,0,60,70,11,140,false,false,rc1a_clean_trace,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only,env_action_6_lt_neg_0p5_means_OPEN,obs_robot0_gripper_qpos,0,0.0,0.0,0.0,0.041339,0.031766,0.031817,5.2e-06,1.4e-05,medium_opportunity
butter,0,0,75,85,11,261,false,false,rc1a_clean_trace,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only,env_action_6_lt_neg_0p5_means_OPEN,obs_robot0_gripper_qpos,2,0.182,0.1811,0.9961,0.013312,0.005045,0.009634,6.33e-05,0.000308,medium_opportunity
cream_cheese,0,0,85,95,11,147,false,false,rc1a_clean_trace,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only,env_action_6_lt_neg_0p5_means_OPEN,obs_robot0_gripper_qpos,0,0.0,0.0,0.0,0.036983,0.036838,0.036882,-5.6e-06,0.000119,medium_opportunity
alphabet_soup,0,0,70,80,11,299,false,false,rc1a_clean_trace,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only,env_action_6_lt_neg_0p5_means_OPEN,obs_robot0_gripper_qpos,9,0.818,0.815,0.9961,0.035906,0.037748,0.066912,0.0030525,0.015222,hard_negative_or_idle
bbq_sauce,0,0,45,55,11,140,false,false,rc1a_clean_trace,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only,env_action_6_lt_neg_0p5_means_OPEN,obs_robot0_gripper_qpos,8,0.727,0.7244,0.9961,0.079487,0.079071,0.079654,-0.0004863,0.002368,hard_negative_or_idle
butter,0,0,55,65,11,261,false,false,rc1a_clean_trace,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only,env_action_6_lt_neg_0p5_means_OPEN,obs_robot0_gripper_qpos,8,0.727,0.7244,0.9961,0.079626,0.078623,0.079725,-0.0006018,0.003004,hard_negative_or_idle
cream_cheese,0,0,20,30,11,147,false,false,rc1a_clean_trace,corrected_stageb_v1_1,f9840cb1,official_in_out,official_rot180_only,env_action_6_lt_neg_0p5_means_OPEN,obs_robot0_gripper_qpos,10,0.909,0.9055,0.9961,0.078402,0.07876,0.079014,5.43e-05,0.000271,hard_negative_or_idle
