job_id,pair_id,task,state_id,condition,env_seed,attack_seed,window_start,window_end,window_size,n_total_steps,infra_status,decoded_open_count,longest_streak,qpos_delta,success,valid,is_retry
520077,k5c_cmd_cream,cream_cheese,1,random_linf,1,3,85,95,11,100,ok,4,1,0.014178,0,True,False
520072,k5c_cmd_cream,cream_cheese,1,vis_pgd,1,1,85,95,11,100,ok,3,2,0.015537,0,True,False
520117,k5c_phys_butter,butter,0,random_linf,0,3,135,145,11,150,ok,2,1,0.005294,0,True,False
520006,k5c_rand_butter1,butter,0,vis_pgd,0,3,90,100,11,105,ok,8,4,0.054264,0,True,False
520147,k5c_phys_bbq,bbq_sauce,0,random_linf,0,3,70,80,11,85,ok,0,0,6e-06,0,True,False
520067,k5c_cmd_milk_neg,milk,0,random_linf,0,3,235,245,11,250,ok,0,0,0.001574,0,True,False
520137,k5c_phys_salad,salad_dressing,2,random_linf,2,3,75,85,11,90,ok,11,11,6.2e-05,0,True,False
520098,k5c_cmd_alpha,alphabet_soup,0,vis_pgd,0,4,65,75,11,80,ok,5,2,0.01843,0,True,False
520082,k5c_cmd_salad_neg,salad_dressing,1,vis_pgd,1,1,55,65,11,70,ok,7,3,0.002364,0,True,False
520000,k5c_rand_butter1,butter,0,vis_pgd,0,0,90,100,11,105,ok,10,10,0.071272,0,True,False
520070,k5c_cmd_cream,cream_cheese,1,vis_pgd,1,0,85,95,11,100,ok,3,2,0.015537,0,True,False
520063,k5c_cmd_milk_neg,milk,0,random_linf,0,1,235,245,11,250,ok,0,0,0.001574,0,True,False
520114,k5c_phys_butter,butter,0,vis_pgd,0,2,135,145,11,150,ok,0,0,0.000143,0,True,False
520024,k5c_rand_cream,cream_cheese,2,vis_pgd,2,2,65,75,11,80,ok,3,1,0.006126,0,True,False
520056,k5c_cmd_tomato_early,tomato_sauce,0,vis_pgd,0,3,50,60,11,65,ok,6,5,0.014813,0,True,False
520028,k5c_rand_cream,cream_cheese,2,vis_pgd,2,4,65,75,11,80,ok,4,2,0.010308,0,True,False
520090,k5c_cmd_alpha,alphabet_soup,0,vis_pgd,0,0,65,75,11,80,ok,4,4,0.073064,0,True,True
520102,k5c_cmd_butter,butter,0,vis_pgd,0,1,80,90,11,95,ok,8,7,0.05396,0,True,False
520109,k5c_cmd_butter,butter,0,random_linf,0,4,80,90,11,95,ok,2,1,0.003755,0,True,False
520064,k5c_cmd_milk_neg,milk,0,vis_pgd,0,2,235,245,11,250,ok,11,11,0.071312,0,True,False
520135,k5c_phys_salad,salad_dressing,2,random_linf,2,2,75,85,11,90,ok,0,0,0.007993,0,True,False
520089,k5c_cmd_salad_neg,salad_dressing,1,random_linf,1,4,55,65,11,70,ok,0,0,0.001207,0,True,False
520087,k5c_cmd_salad_neg,salad_dressing,1,random_linf,1,3,55,65,11,70,ok,0,0,0.001209,0,True,False
520065,k5c_cmd_milk_neg,milk,0,random_linf,0,2,235,245,11,250,ok,11,11,0.000483,0,True,True
520046,k5c_rand_alpha,alphabet_soup,0,vis_pgd,0,3,55,65,11,70,ok,4,3,0.014803,0,True,False
520049,k5c_rand_alpha,alphabet_soup,0,random_linf,0,4,55,65,11,70,ok,0,0,0.003079,0,True,False
520023,k5c_rand_cream,cream_cheese,2,random_linf,2,1,65,75,11,80,ok,4,2,0.014152,0,True,False
520149,k5c_phys_bbq,bbq_sauce,0,random_linf,0,4,70,80,11,85,ok,0,0,0.006643,0,True,False
520036,k5c_rand_oj,orange_juice,1,vis_pgd,1,3,50,60,11,65,ok,2,1,0.004933,0,True,False
520085,k5c_cmd_salad_neg,salad_dressing,1,random_linf,1,2,55,65,11,70,ok,0,0,0.00121,0,True,False
520108,k5c_cmd_butter,butter,0,vis_pgd,0,4,80,90,11,95,ok,8,8,0.066179,0,True,False
520104,k5c_cmd_butter,butter,0,vis_pgd,0,2,80,90,11,95,ok,8,8,0.066179,0,True,False
520012,k5c_rand_butter2,butter,0,vis_pgd,0,1,95,105,11,110,ok,6,5,0.052892,0,True,False
520122,k5c_phys_tomato,tomato_sauce,2,vis_pgd,2,1,85,95,11,100,ok,3,2,0.00036,0,True,False
520038,k5c_rand_oj,orange_juice,1,vis_pgd,1,4,50,60,11,65,ok,4,2,0.014032,0,True,False
520099,k5c_cmd_alpha,alphabet_soup,0,random_linf,0,4,65,75,11,80,ok,10,9,0.067394,0,True,False
520051,k5c_cmd_tomato_early,tomato_sauce,0,random_linf,0,0,50,60,11,65,ok,1,1,0.000689,0,True,False
520019,k5c_rand_butter2,butter,0,random_linf,0,4,95,105,11,110,ok,11,11,0.039088,0,True,False
